Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-09-22 07:00:00,3.2,3.13,-0.023100000000000002,2022-09-22,07:00:00,bef
2022-06-23 07:00:00,3.23,3.76,0.1637,2022-06-23,07:00:00,bef
2022-03-24 07:00:00,2.98,3.27,0.0992,2022-03-24,07:00:00,bef
2021-12-21 06:00:00,3.0,3.25,0.0851,2021-12-21,06:00:00,bef
2021-09-28 06:00:00,2.72,2.63,-0.0345,2021-09-28,06:00:00,bef
2021-06-29 07:00:00,2.75,2.72,-0.0091,2021-06-29,07:00:00,bef
2021-03-30 06:00:00,2.74,2.72,-0.0058,2021-03-30,06:00:00,bef
2020-12-21 06:00:00,2.75,2.88,0.0477,2020-12-21,06:00:00,bef
2020-09-24 07:00:00,2.54,2.88,0.13210000000000002,2020-09-24,07:00:00,bef
2020-06-25 07:00:00,2.43,2.86,0.17550000000000002,2020-06-25,07:00:00,bef
2020-03-26 07:00:00,2.49,2.55,0.0257,2020-03-26,07:00:00,bef
2019-12-19 07:00:00,2.42,2.58,0.06570000000000001,2019-12-19,07:00:00,bef
2019-09-26 07:00:00,2.47,2.61,0.0584,2019-09-26,07:00:00,bef
2019-06-25 07:00:00,2.37,2.62,0.10460000000000001,2019-06-25,07:00:00,bef
2019-03-26 07:00:00,2.33,2.42,0.0368,2019-03-26,07:00:00,bef
2018-12-18 07:00:00,2.29,2.35,0.0244,2018-12-18,07:00:00,bef
2018-09-25 07:00:00,2.21,2.2,-0.0036,2018-09-25,07:00:00,bef
2018-06-26 07:00:00,2.13,2.18,0.022000000000000002,2018-06-26,07:00:00,bef
2018-03-27 07:00:00,2.06,2.12,0.0286,2018-03-27,07:00:00,bef
2017-12-19 07:00:00,1.98,2.04,0.0319,2017-12-19,07:00:00,bef
2017-09-26 07:00:00,1.89,1.9,0.0037,2017-09-26,07:00:00,bef
2017-06-27 07:00:00,1.84,1.85,0.006,2017-06-27,07:00:00,bef
2017-03-28 07:00:00,1.8,1.81,0.0072,2017-03-28,07:00:00,bef
2016-12-20 07:00:00,1.7,1.75,0.0282,2016-12-20,07:00:00,bef
2016-09-27 07:00:00,1.7,1.69,-0.0029,2016-09-27,07:00:00,bef
2016-06-28 07:00:00,1.61,1.64,0.018000000000000002,2016-06-28,07:00:00,bef
2016-03-15 07:00:00,1.52,1.59,0.0467,2016-03-15,07:00:00,bef
2015-12-15 07:00:00,1.47,1.48,0.0061,2015-12-15,07:00:00,bef
2015-09-22 07:00:00,1.47,1.48,0.0040999999999999995,2015-09-22,07:00:00,bef
2015-06-16 07:00:00,1.41,1.42,0.0092,2015-06-16,07:00:00,bef
2015-03-17 07:00:00,1.4,1.39,-0.0079,2015-03-17,07:00:00,bef
2014-12-16 07:00:00,1.32,1.32,-0.0023,2014-12-16,07:00:00,bef
2014-09-16 07:00:00,1.3,1.31,0.0069,2014-09-16,07:00:00,bef
2014-06-17 04:00:00,1.25,1.25,-0.0012,2014-06-17,04:00:00,bef
2014-03-18 04:00:00,1.2,1.22,0.0152,2014-03-18,04:00:00,bef
2013-12-17 05:00:00,1.24,1.22,-0.016399999999999998,2013-12-17,05:00:00,bef
2013-09-17 04:00:00,1.21,1.2,-0.0040999999999999995,2013-09-17,04:00:00,bef
2013-06-18 04:00:00,1.15,1.15,-0.001,2013-06-18,04:00:00,bef
2013-03-19 04:00:00,1.12,1.14,0.0179,2013-03-19,04:00:00,bef
2012-12-18 05:00:00,1.11,1.11,-0.0011,2012-12-18,05:00:00,bef
2012-09-25 04:00:00,1.06,1.08,0.015700000000000002,2012-09-25,04:00:00,bef
2012-06-12 04:00:00,1.04,1.05,0.0125,2012-06-12,04:00:00,bef
2012-03-13 04:00:00,1.0,1.06,0.057699999999999994,2012-03-13,04:00:00,bef
