Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 07:00:00,1.56,1.56,0.0019,2022-07-26,07:00:00,bef
2022-04-27 07:00:00,1.35,1.4,0.0355,2022-04-27,07:00:00,bef
2022-02-08 07:00:00,1.56,1.57,0.009000000000000001,2022-02-08,07:00:00,bef
2021-10-27 07:00:00,1.45,1.47,0.0131,2021-10-27,07:00:00,bef
2021-07-27 07:00:00,1.28,1.37,0.0703,2021-07-27,07:00:00,bef
2021-04-27 07:00:00,1.13,1.17,0.037200000000000004,2021-04-27,07:00:00,bef
2021-02-09 16:00:00,1.29,1.3,0.006999999999999999,2021-02-09,16:00:00,aft
2020-10-27 16:00:00,1.16,1.2,0.0363,2020-10-27,16:00:00,aft
2020-08-05 16:00:00,0.93,0.93,-0.0011,2020-08-05,16:00:00,aft
2020-05-07 16:00:00,0.99,0.99,0.002,2020-05-07,16:00:00,aft
2020-02-04 16:00:00,1.14,1.13,-0.011399999999999999,2020-02-04,16:00:00,aft
2019-11-06 16:00:00,1.0,1.02,0.019,2019-11-06,16:00:00,aft
2019-07-25 16:00:00,0.81,0.82,0.0174,2019-07-25,16:00:00,aft
2019-04-30 16:00:00,0.82,0.84,0.0219,2019-04-30,16:00:00,aft
2019-02-07 16:00:00,0.86,0.84,-0.0187,2019-02-07,16:00:00,aft
2018-10-31 16:00:00,0.77,0.75,-0.0222,2018-10-31,16:00:00,aft
2018-07-31 16:00:00,0.74,0.75,0.0163,2018-07-31,16:00:00,aft
2018-05-01 16:00:00,0.73,0.76,0.0368,2018-05-01,16:00:00,aft
2018-02-07 16:00:00,0.69,0.71,0.024700000000000003,2018-02-07,16:00:00,aft
2017-10-31 16:00:00,0.65,0.64,-0.026099999999999998,2017-10-31,16:00:00,aft
2017-08-01 16:00:00,0.62,0.6,-0.034100000000000005,2017-08-01,16:00:00,aft
2017-04-26 16:00:00,0.6,0.63,0.0504,2017-04-26,16:00:00,aft
2017-02-08 16:00:00,0.58,0.58,-0.0017000000000000001,2017-02-08,16:00:00,aft
2016-10-26 16:00:00,0.57,0.57,0.0053,2016-10-26,16:00:00,aft
2016-08-02 16:00:00,0.54,0.54,0.005600000000000001,2016-08-02,16:00:00,aft
2016-05-05 16:00:00,0.51,0.53,0.0433,2016-05-05,16:00:00,aft
2016-02-02 16:00:00,1.0,1.0,0.003,2016-02-02,16:00:00,aft
2015-10-27 16:00:00,0.97,1.03,0.058600000000000006,2015-10-27,16:00:00,aft
2015-07-29 16:00:00,0.94,0.95,0.015,2015-07-29,16:00:00,aft
2015-05-05 16:00:00,0.86,0.89,0.0301,2015-05-05,16:00:00,aft
2015-02-03 16:00:00,0.89,0.89,0.0045000000000000005,2015-02-03,16:00:00,aft
2014-10-28 16:00:00,0.84,0.86,0.023799999999999998,2014-10-28,16:00:00,aft
2014-07-29 04:00:00,0.4,0.41,0.0126,2014-07-29,04:00:00,bef
2014-04-29 04:00:00,0.37,0.41,0.1037,2014-04-29,04:00:00,bef
2014-02-05 05:00:00,0.4,0.4,-0.0227,2014-02-05,05:00:00,bef
2013-10-29 04:00:00,0.38,0.39,0.0319,2013-10-29,04:00:00,bef
2013-07-30 04:00:00,0.36,0.38,0.0409,2013-07-30,04:00:00,bef
2013-04-30 04:00:00,0.33,0.33,-0.0067,2013-04-30,04:00:00,bef
2013-02-05 05:00:00,0.35,0.35,0.0005,2013-02-05,05:00:00,bef
2012-10-30 04:00:00,0.32,0.32,-0.0026000000000000003,2012-10-30,04:00:00,bef
2012-07-30 04:00:00,0.31,0.32,0.018000000000000002,2012-07-30,04:00:00,bef
2012-05-01 04:00:00,0.29,0.3,0.0478,2012-05-01,04:00:00,bef
2011-11-01 04:00:00,0.28,0.29,0.0189,2011-11-01,04:00:00,bef
2011-07-26 04:00:00,0.27,0.28,0.0431,2011-07-26,04:00:00,bef
2011-04-27 04:00:00,0.26,0.26,-0.0175,2011-04-27,04:00:00,bef
2011-02-03 05:00:00,0.27,0.27,-0.008100000000000001,2011-02-03,05:00:00,bef
