Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 07:00:00,1.71,1.73,0.0117,2022-08-04,07:00:00,bef
2022-08-03 20:00:00,1.71,1.73,0.009300000000000001,2022-08-03,20:00:00,aft
2022-05-03 07:00:00,1.45,1.47,0.011000000000000001,2022-05-03,07:00:00,bef
2022-02-15 07:00:00,1.9,1.92,0.012700000000000001,2022-02-15,07:00:00,bef
2021-11-04 07:00:00,1.68,1.73,0.0291,2021-11-04,07:00:00,bef
2021-08-03 07:00:00,1.55,1.61,0.0367,2021-08-03,07:00:00,bef
2021-05-06 07:00:00,1.25,1.3,0.0442,2021-05-06,07:00:00,bef
2021-02-09 07:00:00,1.56,1.62,0.0405,2021-02-09,07:00:00,bef
2020-10-29 07:00:00,1.41,1.42,0.005699999999999999,2020-10-29,07:00:00,bef
2020-08-04 07:00:00,1.1,1.15,0.0464,2020-08-04,07:00:00,bef
2020-05-07 07:00:00,1.28,1.28,0.0016,2020-05-07,07:00:00,bef
2020-02-13 07:00:00,1.53,1.57,0.0235,2020-02-13,07:00:00,bef
2019-11-05 07:00:00,1.36,1.43,0.055400000000000005,2019-11-05,07:00:00,bef
2019-08-06 07:00:00,1.78,1.3,-0.2701,2019-08-06,07:00:00,bef
2019-04-30 07:00:00,1.54,1.16,-0.2487,2019-04-30,07:00:00,bef
2019-02-12 07:00:00,1.59,1.6,0.0095,2019-02-12,07:00:00,bef
2018-10-30 07:00:00,1.3,1.33,0.0215,2018-10-30,07:00:00,bef
2018-07-31 07:00:00,1.21,1.23,0.0182,2018-07-31,07:00:00,bef
2018-05-01 07:00:00,1.05,1.09,0.0342,2018-05-01,07:00:00,bef
2018-02-06 07:00:00,1.34,1.36,0.0149,2018-02-06,07:00:00,bef
2017-10-31 07:00:00,1.06,1.18,0.11109999999999999,2017-10-31,07:00:00,bef
2017-08-02 07:00:00,0.97,1.02,0.049400000000000006,2017-08-02,07:00:00,bef
2017-05-02 07:00:00,0.82,0.86,0.0437,2017-05-02,07:00:00,bef
2016-11-01 08:00:00,0.98,1.0,0.0235,2016-11-01,08:00:00,bef
2016-07-26 07:00:00,0.87,0.9,0.0381,2016-07-26,07:00:00,bef
2016-05-03 07:00:00,0.75,0.79,0.059000000000000004,2016-05-03,07:00:00,bef
2016-02-09 07:00:00,0.92,0.93,0.0087,2016-02-09,07:00:00,bef
2015-11-03 07:00:00,0.91,0.9,-0.006600000000000001,2015-11-03,07:00:00,bef
2015-07-23 07:00:00,0.71,0.74,0.0452,2015-07-23,07:00:00,bef
2015-04-30 07:00:00,0.66,0.65,-0.013700000000000002,2015-04-30,07:00:00,bef
2015-02-05 07:00:00,0.87,0.87,-0.0023,2015-02-05,07:00:00,bef
2014-10-30 07:00:00,0.79,0.8,0.0088,2014-10-30,07:00:00,bef
2014-07-29 04:00:00,0.74,0.75,0.0146,2014-07-29,04:00:00,bef
2014-05-01 04:00:00,0.68,0.68,-0.0046,2014-05-01,04:00:00,bef
2014-02-04 05:00:00,0.78,0.76,-0.025099999999999997,2014-02-04,05:00:00,bef
2013-10-29 04:00:00,0.71,0.74,0.044000000000000004,2013-10-29,04:00:00,bef
2013-07-30 04:00:00,0.7,0.71,0.0121,2013-07-30,04:00:00,bef
2013-04-30 04:00:00,0.6,0.62,0.0381,2013-04-30,04:00:00,bef
