Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 16:00:00,0.22,0.24,0.106,2022-08-03,16:00:00,aft
2022-05-04 16:00:00,0.16,0.19,0.18239999999999998,2022-05-04,16:00:00,aft
2022-02-03 16:00:00,0.23,0.25,0.0742,2022-02-03,16:00:00,aft
2021-11-04 16:00:00,0.19,0.2,0.053200000000000004,2021-11-04,16:00:00,aft
2021-07-29 16:00:00,0.18,0.19,0.0857,2021-07-29,16:00:00,aft
2021-04-29 16:00:00,0.15,0.16,0.09460000000000002,2021-04-29,16:00:00,aft
2021-02-04 16:00:00,0.19,0.21,0.0984,2021-02-04,16:00:00,aft
2020-10-29 16:00:00,0.16,0.18,0.1282,2020-10-29,16:00:00,aft
2020-08-06 16:00:00,0.13,0.16,0.2519,2020-08-06,16:00:00,aft
2020-05-06 16:00:00,0.51,0.6,0.1788,2020-05-06,16:00:00,aft
2020-02-06 16:00:00,0.7,0.76,0.0842,2020-02-06,16:00:00,aft
2019-10-31 17:00:00,0.56,0.67,0.19640000000000002,2019-10-31,17:00:00,aft
2019-08-01 16:00:00,0.5,0.58,0.15539999999999998,2019-08-01,16:00:00,aft
2019-05-02 16:00:00,0.39,0.46,0.1886,2019-05-02,16:00:00,aft
2019-02-06 16:00:00,0.52,0.59,0.1412,2019-02-06,16:00:00,aft
2018-11-01 16:00:00,0.42,0.49,0.1584,2018-11-01,16:00:00,aft
2018-08-01 16:00:00,0.36,0.41,0.1549,2018-08-01,16:00:00,aft
2018-05-03 16:00:00,0.24,0.33,0.3693,2018-05-03,16:00:00,aft
2018-02-05 16:00:00,0.29,0.32,0.0884,2018-02-05,16:00:00,aft
2017-10-26 16:00:00,0.23,0.28,0.2121,2017-10-26,16:00:00,aft
2017-07-26 16:00:00,0.2,0.27,0.3636,2017-07-26,16:00:00,aft
2017-04-27 17:00:00,0.15,0.17,0.1039,2017-04-27,17:00:00,aft
2017-02-02 16:00:00,0.21,0.3,0.46340000000000003,2017-02-02,16:00:00,aft
2016-10-27 16:00:00,0.15,0.18,0.1688,2016-10-27,16:00:00,aft
2016-07-28 16:00:00,0.14,0.14,-0.0070999999999999995,2016-07-28,16:00:00,aft
2016-04-26 16:00:00,0.09,0.12,0.3333,2016-04-26,16:00:00,aft
2016-01-28 16:00:00,0.18,0.18,-0.0217,2016-01-28,16:00:00,aft
2015-10-22 16:00:00,0.12,0.14,0.157,2015-10-22,16:00:00,aft
2015-07-22 16:00:00,0.09,0.11,0.20879999999999999,2015-07-22,16:00:00,aft
2015-04-20 16:00:00,0.06,0.08,0.2698,2015-04-20,16:00:00,aft
2015-01-28 16:00:00,0.14,0.14,0.014499999999999999,2015-01-28,16:00:00,aft
2014-10-22 16:00:00,0.11,0.12,0.08109999999999999,2014-10-22,16:00:00,aft
2014-07-23 04:00:00,0.1,0.11,0.0659,2014-07-23,04:00:00,bef
2014-04-23 04:00:00,0.08,0.11,0.297,2014-04-23,04:00:00,bef
2014-01-29 05:00:00,0.14,0.15,0.10289999999999999,2014-01-29,05:00:00,bef
2013-10-23 04:00:00,0.11,0.12,0.0909,2013-10-23,04:00:00,bef
2013-07-30 04:00:00,0.1,0.1,0.046,2013-07-30,04:00:00,bef
2013-04-30 04:00:00,0.1,0.1,-0.0212,2013-04-30,04:00:00,bef
2013-01-30 05:00:00,0.15,0.17,0.1362,2013-01-30,05:00:00,bef
2012-10-16 04:00:00,0.14,0.14,0.009000000000000001,2012-10-16,04:00:00,bef
2012-07-25 04:00:00,0.12,0.12,-0.0075,2012-07-25,04:00:00,bef
2012-04-24 04:00:00,0.11,0.11,-0.0122,2012-04-24,04:00:00,bef
2012-01-31 05:00:00,0.12,0.14,0.1492,2012-01-31,05:00:00,bef
2011-10-24 04:00:00,0.09,0.13,0.3969,2011-10-24,04:00:00,bef
2011-07-19 04:00:00,0.08,0.09,0.08259999999999999,2011-07-19,04:00:00,bef
2011-04-27 04:00:00,0.07,0.09,0.24559999999999998,2011-04-27,04:00:00,bef
2011-01-25 05:00:00,0.07,0.11,0.5640999999999999,2011-01-25,05:00:00,bef
2010-10-21 04:00:00,0.05,0.09,0.6014,2010-10-21,04:00:00,bef
2010-07-22 04:00:00,0.04,0.06,0.2856,2010-07-22,04:00:00,bef
2010-04-28 04:00:00,0.03,0.04,0.4119,2010-04-28,04:00:00,bef
2010-01-27 05:00:00,0.04,0.07,0.8571,2010-01-27,05:00:00,bef
