Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 07:00:00,0.72,0.78,0.0833,2022-07-28,07:00:00,bef
2022-04-28 07:00:00,0.68,0.7,0.0309,2022-04-28,07:00:00,bef
2022-02-03 07:00:00,0.78,0.79,0.0154,2022-02-03,07:00:00,bef
2021-10-28 16:00:00,0.65,0.66,0.0154,2021-10-28,16:00:00,aft
2021-07-29 16:00:00,0.6,0.66,0.09820000000000001,2021-07-29,16:00:00,aft
2021-04-29 16:00:00,0.6,0.63,0.057,2021-04-29,16:00:00,aft
2021-02-04 16:00:00,0.62,0.7,0.1272,2021-02-04,16:00:00,aft
2020-10-27 16:00:00,0.85,0.94,0.10460000000000001,2020-10-27,16:00:00,aft
2020-07-28 16:00:00,0.58,0.68,0.1684,2020-07-28,16:00:00,aft
2020-04-30 16:00:00,0.71,0.74,0.04820000000000001,2020-04-30,16:00:00,aft
2020-02-06 16:00:00,0.97,1.03,0.064,2020-02-06,16:00:00,aft
2019-10-24 16:00:00,0.87,0.87,0.0023,2019-10-24,16:00:00,aft
2019-07-25 16:00:00,0.9,0.9,0.005600000000000001,2019-07-25,16:00:00,aft
2019-02-07 16:00:00,0.85,0.91,0.0706,2019-02-07,16:00:00,aft
2018-10-25 16:00:00,0.87,0.74,-0.1514,2018-10-25,16:00:00,aft
2018-07-26 16:00:00,0.89,0.76,-0.14800000000000002,2018-07-26,16:00:00,aft
2018-04-26 16:00:00,0.75,0.65,-0.131,2018-04-26,16:00:00,aft
2018-02-08 16:00:00,0.78,0.82,0.045899999999999996,2018-02-08,16:00:00,aft
2017-10-26 16:00:00,0.73,0.77,0.05480000000000001,2017-10-26,16:00:00,aft
2017-07-27 16:00:00,0.69,0.71,0.023100000000000002,2017-07-27,16:00:00,aft
2017-04-27 17:00:00,0.57,0.6,0.049,2017-04-27,17:00:00,aft
2017-02-07 16:00:00,0.67,0.68,0.018000000000000002,2017-02-07,16:00:00,aft
2016-10-27 16:00:00,0.59,0.67,0.1318,2016-10-27,16:00:00,aft
2016-08-03 13:00:00,0.61,0.64,0.044000000000000004,2016-08-03,13:00:00,bef
