Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-09-21 07:00:00,1.0,1.11,0.10779999999999999,2022-09-21,07:00:00,bef
2022-06-29 07:00:00,1.01,1.12,0.10890000000000001,2022-06-29,07:00:00,bef
2022-03-23 07:00:00,0.78,0.84,0.0755,2022-03-23,07:00:00,bef
2021-12-21 07:00:00,1.05,0.99,-0.0553,2021-12-21,07:00:00,bef
2021-09-22 07:00:00,0.89,0.99,0.1161,2021-09-22,07:00:00,bef
2021-06-30 07:00:00,0.85,0.91,0.0757,2021-06-30,07:00:00,bef
2021-03-24 07:00:00,0.84,0.82,-0.0215,2021-03-24,07:00:00,bef
2020-12-17 07:00:00,0.97,1.06,0.0894,2020-12-17,07:00:00,bef
2020-09-23 07:00:00,0.87,1.0,0.14550000000000002,2020-09-23,07:00:00,bef
2020-07-01 07:00:00,1.06,1.1,0.0368,2020-07-01,07:00:00,bef
2020-03-18 07:00:00,0.76,0.77,0.0172,2020-03-18,07:00:00,bef
2019-12-18 07:00:00,0.88,0.95,0.08320000000000001,2019-12-18,07:00:00,bef
2019-09-18 07:00:00,0.77,0.79,0.022000000000000002,2019-09-18,07:00:00,bef
2019-06-26 07:00:00,0.77,0.83,0.0836,2019-06-26,07:00:00,bef
2019-03-20 07:00:00,0.69,0.83,0.2046,2019-03-20,07:00:00,bef
2018-12-19 07:00:00,0.81,0.85,0.049400000000000006,2018-12-19,07:00:00,bef
2018-09-18 07:00:00,0.64,0.71,0.1129,2018-09-18,07:00:00,bef
2018-06-27 07:00:00,0.72,0.79,0.1003,2018-06-27,07:00:00,bef
2018-03-21 07:00:00,0.78,0.79,0.0128,2018-03-21,07:00:00,bef
2017-12-20 07:00:00,0.82,0.82,0.0024,2017-12-20,07:00:00,bef
2017-09-20 07:00:00,0.76,0.71,-0.0695,2017-09-20,07:00:00,bef
2017-06-28 06:00:00,0.71,0.73,0.0282,2017-06-28,06:00:00,bef
2017-03-21 06:00:00,0.71,0.72,0.012700000000000001,2017-03-21,06:00:00,bef
2016-12-20 06:00:00,0.86,0.85,-0.016200000000000003,2016-12-20,06:00:00,bef
2016-09-21 07:00:00,0.75,0.78,0.0359,2016-09-21,07:00:00,bef
2016-06-29 07:00:00,0.6,0.66,0.1,2016-06-29,07:00:00,bef
2016-03-23 07:00:00,0.62,0.65,0.0467,2016-03-23,07:00:00,bef
2015-12-17 07:00:00,0.83,0.82,-0.0097,2015-12-17,07:00:00,bef
2015-09-22 07:00:00,0.69,0.79,0.1416,2015-09-22,07:00:00,bef
2015-07-01 07:00:00,0.71,0.75,0.0504,2015-07-01,07:00:00,bef
2015-03-18 06:00:00,0.67,0.7,0.0495,2015-03-18,06:00:00,bef
2014-12-17 07:00:00,0.77,0.8,0.0363,2014-12-17,07:00:00,bef
2014-09-17 06:00:00,0.69,0.61,-0.11080000000000001,2014-09-17,06:00:00,bef
2014-06-25 04:00:00,0.72,0.67,-0.069,2014-06-25,04:00:00,bef
2014-03-19 04:00:00,0.64,0.62,-0.0354,2014-03-19,04:00:00,bef
2013-12-18 05:00:00,0.88,0.83,-0.05280000000000001,2013-12-18,05:00:00,bef
2013-09-18 04:00:00,0.7,0.7,-0.0008,2013-09-18,04:00:00,bef
2013-06-26 04:00:00,0.53,0.53,-0.005600000000000001,2013-06-26,04:00:00,bef
2013-03-20 04:00:00,0.57,0.64,0.1291,2013-03-20,04:00:00,bef
2012-12-19 05:00:00,0.79,0.86,0.0917,2012-12-19,05:00:00,bef
2012-09-19 04:00:00,0.62,0.66,0.0575,2012-09-19,04:00:00,bef
2012-06-27 04:00:00,0.59,0.6,0.0246,2012-06-27,04:00:00,bef
2012-03-21 04:00:00,0.55,0.55,-0.0084,2012-03-21,04:00:00,bef
2011-12-20 05:00:00,0.79,0.76,-0.0342,2011-12-20,05:00:00,bef
2011-09-21 04:00:00,0.62,0.64,0.027400000000000004,2011-09-21,04:00:00,bef
2011-06-29 04:00:00,0.52,0.52,0.0075,2011-06-29,04:00:00,bef
2011-03-23 04:00:00,0.56,0.56,0.0063,2011-03-23,04:00:00,bef
2010-12-16 05:00:00,0.78,0.76,-0.0234,2010-12-16,05:00:00,bef
2010-09-22 04:00:00,0.63,0.64,0.0209,2010-09-22,04:00:00,bef
2010-06-29 04:00:00,0.41,0.41,-0.0026000000000000003,2010-06-29,04:00:00,bef
2010-03-24 04:00:00,0.47,0.49,0.0415,2010-03-24,04:00:00,bef
2009-12-17 05:00:00,0.72,0.77,0.0631,2009-12-17,05:00:00,bef
2009-09-23 04:00:00,0.51,0.64,0.2457,2009-09-23,04:00:00,bef
2009-07-01 04:00:00,0.4,0.43,0.0667,2009-07-01,04:00:00,bef
2009-03-18 04:00:00,0.44,0.4,-0.0989,2009-03-18,04:00:00,bef
2008-12-17 05:00:00,0.61,0.68,0.1094,2008-12-17,05:00:00,bef
2008-09-17 04:00:00,0.44,0.48,0.09820000000000001,2008-09-17,04:00:00,bef
2008-06-25 04:00:00,0.36,0.37,0.0034000000000000002,2008-06-25,04:00:00,bef
2008-03-19 04:00:00,0.39,0.44,0.1032,2008-03-19,04:00:00,bef
2007-12-19 05:00:00,0.64,0.57,-0.1103,2007-12-19,05:00:00,bef
2007-09-19 04:00:00,0.4,0.41,0.008100000000000001,2007-09-19,04:00:00,bef
2007-06-28 04:00:00,0.31,0.31,-0.0129,2007-06-28,04:00:00,bef
2007-03-22 04:00:00,0.35,0.37,0.0555,2007-03-22,04:00:00,bef
2006-12-21 05:00:00,0.52,0.54,0.0443,2006-12-21,05:00:00,bef
2006-09-21 04:00:00,0.33,0.37,0.1106,2006-09-21,04:00:00,bef
2006-06-29 04:00:00,0.31,0.31,-0.0012,2006-06-29,04:00:00,bef
2006-03-23 05:00:00,0.32,0.35,0.06280000000000001,2006-03-23,05:00:00,bef
2005-12-22 05:00:00,0.48,0.51,0.0602,2005-12-22,05:00:00,bef
2005-09-22 04:00:00,0.28,0.34,0.2236,2005-09-22,04:00:00,bef
