Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,2.05,2.07,0.0078000000000000005,2022-07-27,16:00:00,aft
2022-04-20 16:00:00,1.72,1.7,-0.0122,2022-04-20,16:00:00,aft
2022-02-02 16:00:00,1.76,1.7,-0.0357,2022-02-02,16:00:00,aft
2021-10-20 16:00:00,1.89,1.78,-0.0572,2021-10-20,16:00:00,aft
2021-07-21 16:00:00,1.82,1.85,0.0148,2021-07-21,16:00:00,aft
2021-04-21 16:00:00,1.61,1.53,-0.050300000000000004,2021-04-21,16:00:00,aft
2021-02-02 16:00:00,1.72,1.74,0.0105,2021-02-02,16:00:00,aft
2020-10-21 16:00:00,1.75,1.75,0.0017000000000000001,2020-10-21,16:00:00,aft
2020-07-22 16:00:00,1.53,1.65,0.07980000000000001,2020-07-22,16:00:00,aft
2020-04-22 16:00:00,1.71,1.73,0.0099,2020-04-22,16:00:00,aft
2020-02-04 16:00:00,1.72,1.7,-0.0111,2020-02-04,16:00:00,aft
2019-10-23 16:00:00,1.7,1.73,0.0206,2019-10-23,16:00:00,aft
2019-07-24 16:00:00,1.65,1.67,0.0121,2019-07-24,16:00:00,aft
2019-04-17 16:00:00,1.59,1.64,0.034,2019-04-17,16:00:00,aft
2019-02-05 16:00:00,1.56,1.56,-0.0019,2019-02-05,16:00:00,aft
2018-10-24 16:00:00,1.53,1.59,0.0392,2018-10-24,16:00:00,aft
2018-07-25 16:00:00,1.49,1.51,0.0121,2018-07-25,16:00:00,aft
2018-04-18 16:00:00,1.45,1.47,0.014499999999999999,2018-04-18,16:00:00,aft
2018-02-07 17:00:00,1.23,1.24,0.0106,2018-02-07,17:00:00,aft
2017-10-24 16:00:00,1.2,1.23,0.0276,2017-10-24,16:00:00,aft
2017-07-26 16:00:00,1.17,1.19,0.018000000000000002,2017-07-26,16:00:00,aft
2017-04-19 16:00:00,1.14,1.15,0.0079,2017-04-19,16:00:00,aft
2017-02-01 16:00:00,1.13,1.15,0.0195,2017-02-01,16:00:00,aft
2016-10-25 16:00:00,1.12,1.15,0.0286,2016-10-25,16:00:00,aft
2016-07-27 16:00:00,1.09,1.11,0.015600000000000001,2016-07-27,16:00:00,aft
2016-04-26 16:00:00,1.06,1.08,0.016,2016-04-26,16:00:00,aft
2016-02-03 17:00:00,1.06,1.05,-0.013200000000000002,2016-02-03,17:00:00,aft
2015-10-26 16:00:00,1.06,1.08,0.0227,2015-10-26,16:00:00,aft
2015-07-27 16:00:00,1.06,1.05,-0.013200000000000002,2015-07-27,16:00:00,aft
2015-04-22 16:00:00,1.05,1.04,-0.0048,2015-04-22,16:00:00,aft
2015-02-02 16:00:00,1.0,1.0,-0.001,2015-02-02,16:00:00,aft
2014-10-22 16:00:00,1.02,0.99,-0.0332,2014-10-22,16:00:00,aft
2014-07-23 04:00:00,1.03,1.02,-0.0083,2014-07-23,04:00:00,bef
2014-04-22 04:00:00,1.0,1.01,0.0091,2014-04-22,04:00:00,bef
2014-02-03 05:00:00,0.97,0.97,0.0024,2014-02-03,05:00:00,bef
2013-10-23 04:00:00,0.95,0.95,-0.0011,2013-10-23,04:00:00,bef
2013-07-24 04:00:00,0.93,0.95,0.015300000000000001,2013-07-24,04:00:00,bef
2013-04-23 04:00:00,0.91,0.93,0.0163,2013-04-23,04:00:00,bef
2013-02-04 05:00:00,0.88,0.89,0.0124,2013-02-04,05:00:00,bef
2012-10-24 04:00:00,0.87,0.86,-0.0061,2012-10-24,04:00:00,bef
2012-07-25 04:00:00,0.87,0.87,-0.0036,2012-07-25,04:00:00,bef
2012-04-24 04:00:00,0.85,0.85,-0.0068000000000000005,2012-04-24,04:00:00,bef
2012-02-06 05:00:00,0.82,0.83,0.0102,2012-02-06,05:00:00,bef
2011-10-26 04:00:00,0.8,0.81,0.0221,2011-10-26,04:00:00,bef
2011-07-27 04:00:00,0.75,0.76,0.009000000000000001,2011-07-27,04:00:00,bef
2011-04-26 04:00:00,0.73,0.72,-0.0099,2011-04-26,04:00:00,bef
2011-02-09 05:00:00,0.73,0.75,0.018500000000000003,2011-02-09,05:00:00,bef
2010-10-27 04:00:00,0.7,0.72,0.0361,2010-10-27,04:00:00,bef
2010-07-28 04:00:00,0.68,0.7,0.0378,2010-07-28,04:00:00,bef
2010-04-27 04:00:00,0.67,0.68,0.0125,2010-04-27,04:00:00,bef
2010-02-10 05:00:00,0.64,0.65,0.0199,2010-02-10,05:00:00,bef
2009-10-28 04:00:00,0.66,0.66,-0.0085,2009-10-28,04:00:00,bef
2009-07-27 04:00:00,0.67,0.68,0.021400000000000002,2009-07-27,04:00:00,bef
2009-04-22 04:00:00,0.66,0.66,0.0048,2009-04-22,04:00:00,bef
2009-02-04 05:00:00,0.67,0.62,-0.0652,2009-02-04,05:00:00,bef
2008-10-22 04:00:00,0.67,0.67,0.0067,2008-10-22,04:00:00,bef
2008-07-23 04:00:00,0.65,0.64,-0.018000000000000002,2008-07-23,04:00:00,bef
2008-04-16 04:00:00,0.64,0.64,-0.0029,2008-04-16,04:00:00,bef
2008-02-06 05:00:00,0.62,0.63,0.006,2008-02-06,05:00:00,bef
2007-10-17 04:00:00,0.61,0.61,0.0084,2007-10-17,04:00:00,bef
2007-07-18 04:00:00,0.59,0.6,0.0021,2007-07-18,04:00:00,bef
2007-04-18 04:00:00,0.57,0.59,0.0204,2007-04-18,04:00:00,bef
2007-02-07 05:00:00,0.58,0.58,0.0092,2007-02-07,05:00:00,bef
2006-10-18 04:00:00,0.56,0.56,-0.0053,2006-10-18,04:00:00,bef
2006-07-19 04:00:00,0.54,0.54,-0.0036,2006-07-19,04:00:00,bef
2006-04-19 04:00:00,0.53,0.53,0.011200000000000002,2006-04-19,04:00:00,bef
2006-02-08 05:00:00,0.52,0.52,-0.005699999999999999,2006-02-08,05:00:00,bef
2005-07-20 04:00:00,0.51,0.51,-0.0029,2005-07-20,04:00:00,bef
2005-04-20 04:00:00,0.49,0.5,0.0116,2005-04-20,04:00:00,bef
2005-02-09 05:00:00,0.48,0.48,-0.019,2005-02-09,05:00:00,bef
2004-10-20 04:00:00,0.48,0.48,0.0053,2004-10-20,04:00:00,bef
2004-07-21 04:00:00,0.47,0.47,-0.0029,2004-07-21,04:00:00,bef
2004-04-21 04:00:00,0.46,0.46,0.0007000000000000001,2004-04-21,04:00:00,bef
2004-02-09 05:00:00,0.44,0.44,0.005699999999999999,2004-02-09,05:00:00,bef
2003-10-23 04:00:00,0.43,0.44,0.0079,2003-10-23,04:00:00,bef
2003-07-22 04:00:00,0.42,0.42,0.0014000000000000002,2003-07-22,04:00:00,bef
2003-04-22 04:00:00,0.41,0.41,0.0009,2003-04-22,04:00:00,bef
2003-02-06 05:00:00,0.4,0.4,-0.0101,2003-02-06,05:00:00,bef
2002-10-22 04:00:00,0.39,0.4,0.005699999999999999,2002-10-22,04:00:00,bef
2002-07-18 04:00:00,0.39,0.39,0.001,2002-07-18,04:00:00,bef
2002-04-18 04:00:00,0.37,0.38,0.0108,2002-04-18,04:00:00,bef
2002-02-07 05:00:00,0.36,0.36,-0.0022,2002-02-07,05:00:00,bef
2001-10-23 04:00:00,0.35,0.35,0.0028000000000000004,2001-10-23,04:00:00,bef
2001-07-19 04:00:00,0.34,0.35,0.0141,2001-07-19,04:00:00,bef
2001-04-19 04:00:00,0.34,0.33,-0.0158,2001-04-19,04:00:00,bef
2001-02-06 05:00:00,0.33,0.33,0.003,2001-02-06,05:00:00,bef
2000-07-25 04:00:00,0.31,0.31,-0.0121,2000-07-25,04:00:00,bef
2000-04-20 04:00:00,0.3,0.31,0.0147,2000-04-20,04:00:00,bef
2000-02-01 05:00:00,0.29,0.29,0.0015,2000-02-01,05:00:00,bef
1999-10-19 04:00:00,0.28,0.28,-0.0016,1999-10-19,04:00:00,bef
1999-07-20 04:00:00,0.28,0.28,-0.0063,1999-07-20,04:00:00,bef
1999-04-20 04:00:00,0.27,0.28,0.020800000000000003,1999-04-20,04:00:00,bef
1999-02-02 05:00:00,0.26,0.27,0.0131,1999-02-02,05:00:00,bef
1998-10-22 04:00:00,0.29,0.25,-0.1552,1998-10-22,04:00:00,bef
1998-07-21 04:00:00,0.3,0.3,-0.0042,1998-07-21,04:00:00,bef
1998-04-20 04:00:00,0.3,0.3,-0.0126,1998-04-20,04:00:00,bef
1998-02-03 05:00:00,0.3,0.3,-0.0123,1998-02-03,05:00:00,bef
1997-10-16 04:00:00,0.29,0.3,0.0281,1997-10-16,04:00:00,bef
1997-07-17 04:00:00,0.27,0.29,0.0512,1997-07-17,04:00:00,bef
1997-04-21 04:00:00,0.26,0.27,0.0359,1997-04-21,04:00:00,bef
1997-01-31 05:00:00,0.25,0.26,0.029300000000000003,1997-01-31,05:00:00,bef
1996-10-21 04:00:00,0.24,0.25,0.0495,1996-10-21,04:00:00,bef
1996-07-30 04:00:00,0.23,0.24,0.057699999999999994,1996-07-30,04:00:00,bef
1996-04-22 04:00:00,0.23,0.23,0.0148,1996-04-22,04:00:00,bef
1996-02-01 05:00:00,0.22,0.23,0.027700000000000002,1996-02-01,05:00:00,bef
1995-07-20 04:00:00,0.22,0.22,-0.0101,1995-07-20,04:00:00,bef
1995-04-24 04:00:00,0.23,0.21,-0.0787,1995-04-24,04:00:00,bef
1995-02-02 05:00:00,0.22,0.21,-0.0587,1995-02-02,05:00:00,bef
1994-10-21 04:00:00,0.23,0.2,-0.1261,1994-10-21,04:00:00,bef
1994-07-20 04:00:00,0.23,0.22,-0.0666,1994-07-20,04:00:00,bef
1994-04-19 04:00:00,0.24,0.22,-0.08410000000000001,1994-04-19,04:00:00,bef
1994-02-07 05:00:00,0.23,0.23,-0.0048,1994-02-07,05:00:00,bef
1993-10-19 04:00:00,0.22,0.23,0.0316,1993-10-19,04:00:00,bef
1993-07-19 04:00:00,0.22,0.23,0.0513,1993-07-19,04:00:00,bef
1993-04-20 04:00:00,0.21,0.22,0.0722,1993-04-20,04:00:00,bef
1993-02-02 05:00:00,0.2,0.2,-0.0013000000000000002,1993-02-02,05:00:00,bef
