Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 16:00:00,1.28,1.21,-0.053899999999999997,2022-07-26,16:00:00,aft
2022-04-26 16:00:00,1.3,1.23,-0.050199999999999995,2022-04-26,16:00:00,aft
2022-02-01 16:00:00,1.37,1.54,0.1229,2022-02-01,16:00:00,aft
2021-10-26 16:00:00,1.17,1.4,0.1925,2021-10-26,16:00:00,aft
2021-07-27 16:00:00,0.97,1.36,0.40950000000000003,2021-07-27,16:00:00,aft
2021-04-27 16:00:00,0.79,1.32,0.6625,2021-04-27,16:00:00,aft
2021-02-02 16:00:00,0.8,1.12,0.4025,2021-02-02,16:00:00,aft
2020-10-29 16:00:00,0.56,0.82,0.4539,2020-10-29,16:00:00,aft
2020-07-30 16:00:00,0.41,0.51,0.2366,2020-07-30,16:00:00,aft
2020-04-28 16:00:00,10.33,9.87,-0.0441,2020-04-28,16:00:00,aft
2020-02-03 16:00:00,12.53,15.35,0.225,2020-02-03,16:00:00,aft
2019-10-28 16:00:00,12.42,10.12,-0.18530000000000002,2019-10-28,16:00:00,aft
2019-07-25 16:00:00,11.3,14.21,0.2579,2019-07-25,16:00:00,aft
2019-04-29 16:00:00,10.61,9.5,-0.105,2019-04-29,16:00:00,aft
2019-02-04 16:00:00,10.82,12.77,0.18050000000000002,2019-02-04,16:00:00,aft
2018-10-25 16:00:00,10.42,13.06,0.2532,2018-10-25,16:00:00,aft
2018-07-23 16:00:00,9.59,4.54,-0.5267000000000001,2018-07-23,16:00:00,aft
2018-04-23 16:00:00,9.28,13.33,0.4363,2018-04-23,16:00:00,aft
2018-02-01 16:00:00,9.98,9.7,-0.027999999999999997,2018-02-01,16:00:00,aft
2017-10-26 16:00:00,8.33,9.57,0.1491,2017-10-26,16:00:00,aft
2017-07-24 16:00:00,4.49,5.01,0.1168,2017-07-24,16:00:00,aft
2017-04-27 16:00:00,7.39,7.73,0.045899999999999996,2017-04-27,16:00:00,aft
2017-01-26 16:00:00,9.65,9.36,-0.029500000000000002,2017-01-26,16:00:00,aft
2016-10-27 16:00:00,8.63,9.06,0.050199999999999995,2016-10-27,16:00:00,aft
2016-07-28 16:00:00,8.04,8.42,0.04730000000000001,2016-07-28,16:00:00,aft
2016-04-21 16:00:00,7.97,7.5,-0.0587,2016-04-21,16:00:00,aft
2016-02-01 16:00:00,8.11,8.67,0.0697,2016-02-01,16:00:00,aft
2015-10-22 16:00:00,7.21,7.35,0.0201,2015-10-22,16:00:00,aft
2015-07-16 16:00:00,6.7,6.99,0.04360000000000001,2015-07-16,16:00:00,aft
2015-04-23 16:00:00,6.6,6.57,-0.0039000000000000003,2015-04-23,16:00:00,aft
2015-01-29 16:00:00,7.11,6.88,-0.032799999999999996,2015-01-29,16:00:00,aft
2014-10-16 16:00:00,6.53,6.35,-0.027400000000000004,2014-10-16,16:00:00,aft
2014-07-17 04:00:00,6.24,6.08,-0.0256,2014-07-17,04:00:00,bef
2014-04-16 04:00:00,6.41,6.27,-0.0213,2014-04-16,04:00:00,bef
2014-01-30 05:00:00,6.1,6.01,-0.0158,2014-01-30,05:00:00,bef
2013-10-17 04:00:00,5.17,5.37,0.0385,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,5.39,4.78,-0.1128,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,5.33,5.79,0.08650000000000001,2013-04-18,04:00:00,bef
2013-01-22 05:00:00,5.21,5.3,0.0159,2013-01-22,05:00:00,bef
2012-10-18 04:00:00,5.33,4.51,-0.1522,2012-10-18,04:00:00,bef
2012-07-19 04:00:00,5.02,5.06,0.008,2012-07-19,04:00:00,bef
2012-04-12 04:00:00,4.83,5.04,0.0441,2012-04-12,04:00:00,bef
2012-01-19 05:00:00,5.25,4.75,-0.09519999999999999,2012-01-19,05:00:00,bef
2011-10-13 04:00:00,4.37,4.86,0.1118,2011-10-13,04:00:00,bef
2011-07-14 04:00:00,3.93,4.37,0.1131,2011-07-14,04:00:00,bef
2011-04-14 04:00:00,4.05,4.04,-0.003,2011-04-14,04:00:00,bef
2011-01-20 05:00:00,4.05,4.38,0.08070000000000001,2011-01-20,05:00:00,bef
2010-10-14 04:00:00,3.35,3.82,0.1419,2010-10-14,04:00:00,bef
2010-07-15 04:00:00,3.26,3.23,-0.010400000000000001,2010-07-15,04:00:00,bef
2010-04-15 04:00:00,3.3,3.38,0.024900000000000002,2010-04-15,04:00:00,bef
2010-01-21 05:00:00,3.24,3.4,0.0479,2010-01-21,05:00:00,bef
2009-10-15 04:00:00,2.71,2.95,0.0867,2009-10-15,04:00:00,bef
