Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-01 06:00:00,2.34,2.36,0.0068000000000000005,2022-08-01,06:00:00,bef
2022-05-02 06:00:00,2.04,2.07,0.012700000000000001,2022-05-02,06:00:00,bef
2022-02-10 06:00:00,2.12,2.13,0.0028000000000000004,2022-02-10,06:00:00,bef
2021-11-02 06:00:00,2.15,2.18,0.0163,2021-11-02,06:00:00,bef
2021-08-02 06:00:00,1.9,2.04,0.0737,2021-08-02,06:00:00,bef
2021-05-04 06:00:00,1.78,1.82,0.0242,2021-05-04,06:00:00,bef
2021-02-08 06:00:00,1.76,1.8,0.021,2021-02-08,06:00:00,bef
2020-10-29 06:00:00,1.66,1.71,0.029500000000000002,2020-10-29,06:00:00,bef
2020-08-03 06:00:00,1.2,1.31,0.0908,2020-08-03,06:00:00,bef
2020-05-06 06:00:00,1.53,1.58,0.032,2020-05-06,06:00:00,bef
2020-02-12 06:00:00,1.6,1.62,0.015700000000000002,2020-02-12,06:00:00,bef
2019-10-31 06:00:00,1.67,1.7,0.0204,2019-10-31,06:00:00,bef
2019-07-30 06:00:00,1.46,1.51,0.0342,2019-07-30,06:00:00,bef
2019-05-02 06:00:00,1.29,1.34,0.0355,2019-05-02,06:00:00,bef
2019-02-13 06:00:00,1.32,1.33,0.0061,2019-02-13,06:00:00,bef
2018-10-30 07:00:00,1.39,1.44,0.0337,2018-10-30,07:00:00,bef
2018-08-02 06:00:00,1.22,1.29,0.05740000000000001,2018-08-02,06:00:00,bef
2018-05-03 06:00:00,1.1,1.13,0.032,2018-05-03,06:00:00,bef
2018-02-15 06:00:00,1.06,1.07,0.0113,2018-02-15,06:00:00,bef
2017-11-08 06:00:00,1.1,1.15,0.0493,2017-11-08,06:00:00,bef
2017-08-03 06:00:00,0.91,0.94,0.0296,2017-08-03,06:00:00,bef
2017-05-04 06:00:00,0.8,0.85,0.0692,2017-05-04,06:00:00,bef
2017-01-09 06:00:00,0.85,0.89,0.0533,2017-01-09,06:00:00,bef
2015-10-07 07:00:00,0.72,0.79,0.09789999999999999,2015-10-07,07:00:00,bef
2015-07-28 07:00:00,0.59,0.61,0.0339,2015-07-28,07:00:00,bef
2015-04-08 07:00:00,0.55,0.57,0.030699999999999998,2015-04-08,07:00:00,bef
2015-01-08 07:00:00,0.6,0.64,0.056600000000000004,2015-01-08,07:00:00,bef
2014-10-02 07:00:00,0.57,0.61,0.0664,2014-10-02,07:00:00,bef
2014-07-29 04:00:00,0.53,0.55,0.0193,2014-07-29,04:00:00,bef
2014-04-03 04:00:00,0.47,0.48,0.0128,2014-04-03,04:00:00,bef
2014-01-08 05:00:00,0.51,0.54,0.0424,2014-01-08,05:00:00,bef
2013-10-01 04:00:00,0.47,0.5,0.0556,2013-10-01,04:00:00,bef
2013-07-25 04:00:00,0.51,0.49,-0.0376,2013-07-25,04:00:00,bef
2013-04-02 04:00:00,0.44,0.44,-0.02,2013-04-02,04:00:00,bef
2013-01-08 05:00:00,0.43,0.47,0.0705,2013-01-08,05:00:00,bef
2012-09-27 04:00:00,0.44,0.44,-0.0025,2012-09-27,04:00:00,bef
2012-07-26 04:00:00,0.48,0.49,0.0126,2012-07-26,04:00:00,bef
2012-04-02 04:00:00,0.42,0.42,-0.010900000000000002,2012-04-02,04:00:00,bef
2012-01-05 05:00:00,0.44,0.43,-0.0232,2012-01-05,05:00:00,bef
2011-10-04 04:00:00,0.37,0.4,0.06620000000000001,2011-10-04,04:00:00,bef
2011-07-21 04:00:00,0.36,0.38,0.0471,2011-07-21,04:00:00,bef
2011-03-31 04:00:00,0.32,0.32,-0.0106,2011-03-31,04:00:00,bef
2011-01-06 05:00:00,0.33,0.35,0.0449,2011-01-06,05:00:00,bef
2010-10-11 04:00:00,0.35,0.34,-0.0313,2010-10-11,04:00:00,bef
2010-07-27 04:00:00,0.28,0.29,0.0225,2010-07-27,04:00:00,bef
2010-03-31 04:00:00,0.26,0.29,0.0994,2010-03-31,04:00:00,bef
2010-01-07 05:00:00,0.3,0.36,0.1746,2010-01-07,05:00:00,bef
2009-10-01 04:00:00,0.32,0.34,0.053200000000000004,2009-10-01,04:00:00,bef
2009-07-23 04:00:00,0.22,0.23,0.052000000000000005,2009-07-23,04:00:00,bef
2009-04-02 04:00:00,0.21,0.23,0.0714,2009-04-02,04:00:00,bef
2009-01-06 05:00:00,0.28,0.3,0.05940000000000001,2009-01-06,05:00:00,bef
2008-10-02 04:00:00,0.3,0.36,0.192,2008-10-02,04:00:00,bef
2008-07-24 04:00:00,0.25,0.26,0.023799999999999998,2008-07-24,04:00:00,bef
2008-03-27 04:00:00,0.21,0.22,0.0541,2008-03-27,04:00:00,bef
2008-01-03 05:00:00,0.23,0.24,0.059500000000000004,2008-01-03,05:00:00,bef
2007-09-27 04:00:00,0.25,0.27,0.08,2007-09-27,04:00:00,bef
2007-07-26 04:00:00,0.22,0.23,0.027700000000000002,2007-07-26,04:00:00,bef
2007-03-30 04:00:00,0.21,0.22,0.071,2007-03-30,04:00:00,bef
2007-01-05 05:00:00,0.22,0.22,-0.0087,2007-01-05,05:00:00,bef
2006-09-29 04:00:00,0.22,0.27,0.2461,2006-09-29,04:00:00,bef
2006-07-28 04:00:00,0.19,0.21,0.0747,2006-07-28,04:00:00,bef
2006-03-31 05:00:00,0.17,0.18,0.0596,2006-03-31,05:00:00,bef
2005-12-22 05:00:00,0.17,0.19,0.0986,2005-12-22,05:00:00,bef
2005-09-22 04:00:00,0.18,0.19,0.0951,2005-09-22,04:00:00,bef
2005-07-20 04:00:00,0.15,0.16,0.0729,2005-07-20,04:00:00,bef
2005-03-21 05:00:00,0.13,0.14,0.0385,2005-03-21,05:00:00,bef
2004-12-22 05:00:00,0.13,0.15,0.1034,2004-12-22,05:00:00,bef
2004-09-22 04:00:00,0.13,0.16,0.2115,2004-09-22,04:00:00,bef
2004-07-21 04:00:00,0.11,0.12,0.0352,2004-07-21,04:00:00,bef
2004-03-17 05:00:00,0.1,0.11,0.0483,2004-03-17,05:00:00,bef
2003-12-18 05:00:00,0.1,0.11,0.0353,2003-12-18,05:00:00,bef
2003-09-17 04:00:00,0.11,0.11,0.0253,2003-09-17,04:00:00,bef
2003-07-17 04:00:00,0.09,0.09,0.0308,2003-07-17,04:00:00,bef
2003-03-19 05:00:00,0.08,0.08,0.0379,2003-03-19,05:00:00,bef
2002-12-18 05:00:00,0.09,0.09,0.0313,2002-12-18,05:00:00,bef
2002-09-18 04:00:00,0.09,0.1,0.0438,2002-09-18,04:00:00,bef
2002-07-17 04:00:00,0.08,0.08,0.003,2002-07-17,04:00:00,bef
2002-03-19 05:00:00,0.06,0.07,0.060700000000000004,2002-03-19,05:00:00,bef
2001-09-20 04:00:00,0.08,0.09,0.0542,2001-09-20,04:00:00,bef
