Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-29 08:00:00,6.65,7.19,0.08140000000000001,2022-07-29,08:00:00,bef
2022-04-28 08:00:00,6.12,7.07,0.1558,2022-04-28,08:00:00,bef
2022-02-03 08:00:00,5.24,5.44,0.0376,2022-02-03,08:00:00,bef
2021-10-29 08:00:00,5.3,5.65,0.06620000000000001,2021-10-29,08:00:00,bef
2021-07-30 08:00:00,4.61,4.27,-0.0729,2021-07-30,08:00:00,bef
2021-04-30 08:00:00,4.3,4.48,0.0409,2021-04-30,08:00:00,bef
2021-02-03 08:00:00,3.86,3.66,-0.0525,2021-02-03,08:00:00,bef
2020-10-22 08:00:00,4.15,4.52,0.0884,2020-10-22,08:00:00,bef
2020-07-23 08:00:00,3.39,3.75,0.10650000000000001,2020-07-23,08:00:00,bef
2020-04-23 08:00:00,4.43,4.24,-0.044000000000000004,2020-04-23,08:00:00,bef
2020-01-30 08:00:00,4.01,3.88,-0.031200000000000002,2020-01-30,08:00:00,bef
2019-10-23 08:00:00,4.4,4.26,-0.031400000000000004,2019-10-23,08:00:00,bef
2019-07-24 08:00:00,4.64,4.64,-0.0004,2019-07-24,08:00:00,bef
2019-04-22 08:00:00,4.44,4.51,0.016200000000000003,2019-04-22,08:00:00,bef
2019-01-24 08:00:00,3.59,3.96,0.1028,2019-01-24,08:00:00,bef
2018-10-16 08:00:00,3.94,4.19,0.0626,2018-10-16,08:00:00,bef
2018-07-18 08:00:00,3.72,4.37,0.17600000000000002,2018-07-18,08:00:00,bef
2018-04-19 08:00:00,3.44,4.18,0.2151,2018-04-19,08:00:00,bef
2018-01-24 08:00:00,2.2,2.94,0.33640000000000003,2018-01-24,08:00:00,bef
2017-10-17 08:00:00,2.56,2.9,0.131,2017-10-17,08:00:00,bef
2017-07-19 08:00:00,2.65,2.74,0.0351,2017-07-19,08:00:00,bef
2017-04-18 08:00:00,2.99,2.88,-0.0374,2017-04-18,08:00:00,bef
2017-01-25 07:00:00,2.36,2.45,0.0386,2017-01-25,07:00:00,bef
2016-10-18 07:00:00,2.99,3.06,0.023799999999999998,2016-10-18,07:00:00,bef
2016-07-19 07:00:00,3.17,2.89,-0.08689999999999999,2016-07-19,07:00:00,bef
2016-04-18 07:00:00,2.86,3.18,0.1134,2016-04-18,07:00:00,bef
2016-01-26 07:00:00,2.24,2.49,0.11359999999999999,2016-01-26,07:00:00,bef
2015-10-16 07:00:00,3.06,3.03,-0.0088,2015-10-16,07:00:00,bef
2015-07-17 07:00:00,3.05,3.27,0.0732,2015-07-17,07:00:00,bef
2015-04-16 07:00:00,3.11,3.1,-0.0042,2015-04-16,07:00:00,bef
2015-01-26 07:00:00,2.83,2.8,-0.0116,2015-01-26,07:00:00,bef
2014-10-16 07:00:00,3.29,3.3,0.0046,2014-10-16,07:00:00,bef
2014-07-17 04:00:00,3.09,3.09,-0.0012,2014-07-17,04:00:00,bef
2014-04-16 04:00:00,2.96,3.07,0.037000000000000005,2014-04-16,04:00:00,bef
2014-01-24 05:00:00,2.62,2.59,-0.0126,2014-01-24,05:00:00,bef
2013-10-16 04:00:00,3.03,2.95,-0.0276,2013-10-16,04:00:00,bef
2013-07-17 04:00:00,2.96,3.03,0.023,2013-07-17,04:00:00,bef
2013-04-16 04:00:00,2.73,2.94,0.0784,2013-04-16,04:00:00,bef
2013-01-24 05:00:00,2.61,2.42,-0.07110000000000001,2013-01-24,05:00:00,bef
2012-10-16 04:00:00,2.89,2.81,-0.028900000000000002,2012-10-16,04:00:00,bef
2012-07-18 04:00:00,2.62,2.63,0.0036,2012-07-18,04:00:00,bef
2012-04-17 04:00:00,2.52,2.57,0.0201,2012-04-17,04:00:00,bef
2012-01-25 05:00:00,2.12,2.13,0.0044,2012-01-25,05:00:00,bef
2011-10-18 04:00:00,2.33,2.51,0.0752,2011-10-18,04:00:00,bef
2011-07-19 04:00:00,2.11,2.22,0.05,2011-07-19,04:00:00,bef
2011-04-18 04:00:00,1.8,2.18,0.21350000000000002,2011-04-18,04:00:00,bef
2011-01-25 05:00:00,1.68,1.79,0.0681,2011-01-25,05:00:00,bef
2010-10-14 04:00:00,1.82,1.99,0.0919,2010-10-14,04:00:00,bef
2010-07-15 04:00:00,1.5,1.65,0.099,2010-07-15,04:00:00,bef
2010-04-14 04:00:00,1.38,1.38,0.0016,2010-04-14,04:00:00,bef
2010-01-26 05:00:00,1.24,1.27,0.027700000000000002,2010-01-26,05:00:00,bef
2009-10-14 04:00:00,1.34,1.51,0.1274,2009-10-14,04:00:00,bef
2009-07-15 04:00:00,1.14,1.21,0.05740000000000001,2009-07-15,04:00:00,bef
2009-04-14 04:00:00,1.06,1.25,0.18480000000000002,2009-04-14,04:00:00,bef
2009-01-26 05:00:00,1.34,1.39,0.0406,2009-01-26,05:00:00,bef
2008-10-14 04:00:00,1.53,1.79,0.16870000000000002,2008-10-14,04:00:00,bef
2008-07-15 04:00:00,1.46,1.48,0.0131,2008-07-15,04:00:00,bef
2008-04-14 04:00:00,1.36,1.43,0.0547,2008-04-14,04:00:00,bef
2008-01-25 05:00:00,1.27,1.28,0.0054,2008-01-25,05:00:00,bef
2007-10-15 04:00:00,1.26,1.29,0.0211,2007-10-15,04:00:00,bef
2007-07-16 04:00:00,1.19,1.21,0.0199,2007-07-16,04:00:00,bef
2007-04-16 04:00:00,1.09,1.17,0.07830000000000001,2007-04-16,04:00:00,bef
2007-01-26 05:00:00,1.05,1.08,0.0265,2007-01-26,05:00:00,bef
2006-10-16 04:00:00,1.06,1.07,0.0139,2006-10-16,04:00:00,bef
2006-07-17 04:00:00,1.02,1.02,0.002,2006-07-17,04:00:00,bef
2006-04-17 04:00:00,0.88,0.93,0.0558,2006-04-17,04:00:00,bef
2006-01-26 05:00:00,1.02,1.03,0.0049,2006-01-26,05:00:00,bef
2005-10-17 04:00:00,0.91,0.97,0.0698,2005-10-17,04:00:00,bef
2005-07-15 04:00:00,0.82,0.89,0.0876,2005-07-15,04:00:00,bef
2005-04-15 04:00:00,0.78,0.79,0.0074,2005-04-15,04:00:00,bef
2005-01-27 05:00:00,0.85,0.87,0.0235,2005-01-27,05:00:00,bef
2004-10-18 04:00:00,0.71,0.74,0.04360000000000001,2004-10-18,04:00:00,bef
2004-07-16 04:00:00,0.69,0.72,0.048,2004-07-16,04:00:00,bef
2004-04-16 04:00:00,0.58,0.69,0.18739999999999998,2004-04-16,04:00:00,bef
2004-01-29 05:00:00,0.66,0.67,0.0126,2004-01-29,05:00:00,bef
2003-10-16 04:00:00,0.64,0.62,-0.0236,2003-10-16,04:00:00,bef
2003-07-17 04:00:00,0.61,0.6,-0.0134,2003-07-17,04:00:00,bef
2003-04-16 04:00:00,0.57,0.57,-0.0015,2003-04-16,04:00:00,bef
2003-01-29 05:00:00,0.66,0.66,-0.003,2003-01-29,05:00:00,bef
2002-10-16 04:00:00,0.63,0.64,0.0233,2002-10-16,04:00:00,bef
2002-07-16 04:00:00,0.6,0.61,0.0213,2002-07-16,04:00:00,bef
2002-04-16 04:00:00,0.55,0.57,0.044000000000000004,2002-04-16,04:00:00,bef
2002-01-29 05:00:00,0.61,0.64,0.0509,2002-01-29,05:00:00,bef
2001-10-15 04:00:00,0.57,0.59,0.029700000000000004,2001-10-15,04:00:00,bef
2001-07-17 04:00:00,0.51,0.55,0.0742,2001-07-17,04:00:00,bef
2001-04-16 04:00:00,0.43,0.45,0.0438,2001-04-16,04:00:00,bef
2001-01-30 05:00:00,0.5,0.51,0.0279,2001-01-30,05:00:00,bef
2000-10-16 04:00:00,0.49,0.49,0.0075,2000-10-16,04:00:00,bef
2000-07-18 04:00:00,0.46,0.43,-0.0635,2000-07-18,04:00:00,bef
2000-04-17 04:00:00,0.43,0.44,0.0211,2000-04-17,04:00:00,bef
2000-01-31 05:00:00,0.3,0.3,-0.006,2000-01-31,05:00:00,bef
1999-10-13 04:00:00,0.5,0.49,-0.0118,1999-10-13,04:00:00,bef
1999-07-15 04:00:00,0.63,0.53,-0.1587,1999-07-15,04:00:00,bef
1999-04-13 04:00:00,0.62,0.61,-0.021400000000000002,1999-04-13,04:00:00,bef
1999-02-03 05:00:00,0.61,0.69,0.1283,1999-02-03,05:00:00,bef
1998-10-13 04:00:00,0.6,0.57,-0.0529,1998-10-13,04:00:00,bef
1998-07-15 04:00:00,0.63,0.62,-0.0087,1998-07-15,04:00:00,bef
1998-04-13 04:00:00,0.57,0.58,0.0227,1998-04-13,04:00:00,bef
1998-02-03 05:00:00,0.62,0.63,0.0089,1998-02-03,05:00:00,bef
1997-10-13 04:00:00,0.56,0.56,-0.0088,1997-10-13,04:00:00,bef
1997-07-15 04:00:00,0.53,0.56,0.0733,1997-07-15,04:00:00,bef
1997-04-11 04:00:00,0.54,0.52,-0.039900000000000005,1997-04-11,04:00:00,bef
1997-02-04 05:00:00,0.55,0.54,-0.011399999999999999,1997-02-04,05:00:00,bef
1996-10-14 04:00:00,0.51,0.51,0.006999999999999999,1996-10-14,04:00:00,bef
1996-07-12 04:00:00,0.48,0.48,-0.006500000000000001,1996-07-12,04:00:00,bef
1996-04-12 04:00:00,0.49,0.49,0.0103,1996-04-12,04:00:00,bef
1996-02-02 05:00:00,0.51,0.5,-0.0315,1996-02-02,05:00:00,bef
1995-10-13 04:00:00,0.43,0.48,0.10470000000000002,1995-10-13,04:00:00,bef
1995-07-14 04:00:00,0.45,0.39,-0.1444,1995-07-14,04:00:00,bef
1995-04-17 04:00:00,0.46,0.46,-0.0068000000000000005,1995-04-17,04:00:00,bef
1995-02-09 05:00:00,0.45,0.48,0.06269999999999999,1995-02-09,05:00:00,bef
1994-10-15 04:00:00,0.43,0.42,-0.0263,1994-10-15,04:00:00,bef
1994-07-15 04:00:00,0.41,0.42,0.0075,1994-07-15,04:00:00,bef
1994-04-14 04:00:00,0.36,0.41,0.1142,1994-04-14,04:00:00,bef
1994-02-11 05:00:00,0.37,0.4,0.079,1994-02-11,05:00:00,bef
1993-10-15 04:00:00,0.37,0.38,0.0077,1993-10-15,04:00:00,bef
1993-07-16 04:00:00,0.38,0.34,-0.1101,1993-07-16,04:00:00,bef
1993-05-04 04:00:00,0.31,0.33,0.056100000000000004,1993-05-04,04:00:00,bef
1993-02-10 05:00:00,0.35,0.34,-0.029500000000000002,1993-02-10,05:00:00,bef
