Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-19 06:00:00,0.94,1.15,0.2208,2022-07-19,06:00:00,bef
2022-04-19 06:00:00,0.61,0.57,-0.06860000000000001,2022-04-19,06:00:00,bef
2022-02-07 06:00:00,0.88,1.21,0.375,2022-02-07,06:00:00,bef
2021-10-26 06:00:00,1.69,1.96,0.1611,2021-10-26,06:00:00,bef
2021-07-26 06:00:00,0.47,1.05,1.2293,2021-07-26,06:00:00,bef
2021-04-27 06:00:00,0.65,1.0,0.5385,2021-04-27,06:00:00,bef
2021-02-08 06:00:00,1.14,1.27,0.1121,2021-02-08,06:00:00,bef
2020-10-26 06:00:00,1.63,1.88,0.15410000000000001,2020-10-26,06:00:00,bef
2020-07-27 06:00:00,0.23,0.02,-0.913,2020-07-27,06:00:00,bef
2020-04-29 06:00:00,0.58,0.57,-0.0206,2020-04-29,06:00:00,bef
2020-02-11 06:00:00,0.91,1.24,0.36869999999999997,2020-02-11,06:00:00,bef
2019-10-22 06:00:00,2.21,1.84,-0.1663,2019-10-22,06:00:00,bef
2019-07-23 06:00:00,0.5,0.78,0.5538000000000001,2019-07-23,06:00:00,bef
2019-04-23 06:00:00,-0.11,0.21,2.9266,2019-04-23,06:00:00,bef
2019-02-08 06:00:00,1.67,1.33,-0.20550000000000002,2019-02-08,06:00:00,bef
2018-10-22 06:00:00,2.23,1.93,-0.1361,2018-10-22,06:00:00,bef
2018-07-23 06:00:00,0.29,0.48,0.6552,2018-07-23,06:00:00,bef
2018-04-23 06:00:00,0.33,0.1,-0.696,2018-04-23,06:00:00,bef
2018-02-07 06:00:00,1.8,2.3,0.2792,2018-02-07,06:00:00,bef
2017-10-23 06:00:00,1.94,2.09,0.0795,2017-10-23,06:00:00,bef
2017-07-24 06:00:00,0.46,0.53,0.1648,2017-07-24,06:00:00,bef
2017-04-24 06:00:00,0.38,0.54,0.42479999999999996,2017-04-24,06:00:00,bef
2017-02-06 06:00:00,1.27,1.64,0.2893,2017-02-06,06:00:00,bef
2016-10-17 07:00:00,1.74,2.03,0.168,2016-10-17,07:00:00,bef
2016-07-18 06:00:00,0.39,0.41,0.0513,2016-07-18,06:00:00,bef
2016-04-18 06:00:00,0.24,0.38,0.5768,2016-04-18,06:00:00,bef
2016-02-08 06:00:00,1.3,1.39,0.0668,2016-02-08,06:00:00,bef
2015-10-19 06:00:00,1.52,1.58,0.0381,2015-10-19,06:00:00,bef
2015-07-20 06:00:00,0.28,0.33,0.15789999999999998,2015-07-20,06:00:00,bef
2015-04-20 06:00:00,0.08,0.21,1.7272999999999998,2015-04-20,06:00:00,bef
2015-02-09 06:00:00,1.21,1.22,0.0049,2015-02-09,06:00:00,bef
2014-10-20 06:00:00,1.45,1.46,0.010400000000000001,2014-10-20,06:00:00,bef
2014-07-21 04:00:00,0.36,0.36,-0.0046,2014-07-21,04:00:00,bef
2014-04-21 04:00:00,0.1,0.14,0.42600000000000005,2014-04-21,04:00:00,bef
2014-02-10 05:00:00,1.22,1.12,-0.0836,2014-02-10,05:00:00,bef
2013-10-21 04:00:00,1.29,1.31,0.0179,2013-10-21,04:00:00,bef
2013-07-22 04:00:00,0.34,0.29,-0.1509,2013-07-22,04:00:00,bef
2013-04-22 04:00:00,0.04,0.05,0.36350000000000005,2013-04-22,04:00:00,bef
2013-02-07 05:00:00,1.19,1.2,0.011200000000000002,2013-02-07,05:00:00,bef
2012-10-22 04:00:00,1.2,1.24,0.0309,2012-10-22,04:00:00,bef
2012-07-23 04:00:00,0.23,0.33,0.4216,2012-07-23,04:00:00,bef
2012-04-23 04:00:00,0.08,0.04,-0.4747,2012-04-23,04:00:00,bef
2012-02-06 05:00:00,1.05,1.06,0.0058,2012-02-06,05:00:00,bef
2011-10-17 04:00:00,1.3,1.27,-0.025,2011-10-17,04:00:00,bef
2011-07-18 04:00:00,0.39,0.33,-0.1451,2011-07-18,04:00:00,bef
2011-04-14 04:00:00,0.17,0.12,-0.2863,2011-04-14,04:00:00,bef
2011-02-07 05:00:00,0.92,0.99,0.0815,2011-02-07,05:00:00,bef
2010-10-18 04:00:00,1.04,1.09,0.047400000000000005,2010-10-18,04:00:00,bef
2010-07-19 04:00:00,0.24,0.29,0.2048,2010-07-19,04:00:00,bef
2010-04-19 04:00:00,0.16,0.26,0.647,2010-04-19,04:00:00,bef
2010-02-08 05:00:00,0.81,1.09,0.3398,2010-02-08,05:00:00,bef
2009-10-19 04:00:00,0.93,0.99,0.0676,2009-10-19,04:00:00,bef
2009-07-20 04:00:00,0.23,0.26,0.1345,2009-07-20,04:00:00,bef
2009-04-20 04:00:00,0.14,0.14,0.0055000000000000005,2009-04-20,04:00:00,bef
2009-02-09 05:00:00,0.75,0.62,-0.17629999999999998,2009-02-09,05:00:00,bef
2008-10-20 04:00:00,0.86,0.89,0.0393,2008-10-20,04:00:00,bef
2008-07-21 04:00:00,0.22,0.25,0.1574,2008-07-21,04:00:00,bef
2008-04-21 04:00:00,0.14,0.25,0.8292,2008-04-21,04:00:00,bef
2008-02-11 05:00:00,0.81,0.84,0.037000000000000005,2008-02-11,05:00:00,bef
2007-10-22 04:00:00,0.71,0.78,0.10439999999999999,2007-10-22,04:00:00,bef
2007-07-23 04:00:00,0.18,0.24,0.3333,2007-07-23,04:00:00,bef
2007-02-09 05:00:00,0.67,0.62,-0.0746,2007-02-09,05:00:00,bef
2006-10-23 04:00:00,0.5,0.58,0.167,2006-10-23,04:00:00,bef
2006-07-24 04:00:00,0.07,0.07,0.032799999999999996,2006-07-24,04:00:00,bef
2006-04-24 04:00:00,-0.01,-0.03,-3.2017,2006-04-24,04:00:00,bef
2006-02-06 05:00:00,0.58,0.61,0.045700000000000005,2006-02-06,05:00:00,bef
2005-10-17 04:00:00,0.51,0.47,-0.0718,2005-10-17,04:00:00,bef
