Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 07:00:00,3.35,4.44,0.327,2022-08-04,07:00:00,bef
2022-05-05 07:00:00,3.19,3.5,0.09720000000000001,2022-05-05,07:00:00,bef
2022-02-10 07:00:00,2.97,2.99,0.005699999999999999,2022-02-10,07:00:00,bef
2021-11-04 07:00:00,2.99,3.65,0.2211,2021-11-04,07:00:00,bef
2021-08-05 07:00:00,2.51,3.2,0.2774,2021-08-05,07:00:00,bef
2021-05-06 07:00:00,2.63,3.68,0.4008,2021-05-06,07:00:00,bef
2021-02-11 07:00:00,4.56,6.15,0.34869999999999995,2021-02-11,07:00:00,bef
2020-11-05 07:00:00,4.13,5.45,0.31829999999999997,2020-11-05,07:00:00,bef
2020-08-06 07:00:00,4.17,1.3,-0.6885,2020-08-06,07:00:00,bef
2020-05-07 07:00:00,4.52,4.23,-0.06420000000000001,2020-05-07,07:00:00,bef
2020-02-13 07:00:00,4.2,4.36,0.0381,2020-02-13,07:00:00,bef
2019-11-07 07:00:00,3.63,3.74,0.031200000000000002,2019-11-07,07:00:00,bef
2019-08-01 07:00:00,3.58,3.07,-0.142,2019-08-01,07:00:00,bef
2019-05-02 07:00:00,3.23,2.85,-0.1168,2019-05-02,07:00:00,bef
2019-02-14 07:00:00,4.52,4.94,0.09390000000000001,2019-02-14,07:00:00,bef
2018-11-08 08:00:00,4.13,5.29,0.2812,2018-11-08,08:00:00,bef
2018-08-02 07:00:00,4.09,5.4,0.32060000000000005,2018-08-02,07:00:00,bef
2018-05-03 07:00:00,4.07,3.48,-0.1452,2018-05-03,07:00:00,bef
2018-02-15 07:00:00,2.9,3.11,0.0728,2018-02-15,07:00:00,bef
2017-11-08 07:00:00,2.79,3.27,0.172,2017-11-08,07:00:00,bef
2017-08-03 08:00:00,2.67,3.21,0.2036,2017-08-03,08:00:00,bef
2017-05-04 07:00:00,2.73,2.56,-0.0633,2017-05-04,07:00:00,bef
2017-02-16 07:00:00,2.45,4.2,0.7171,2017-02-16,07:00:00,bef
2016-11-03 07:00:00,2.4,2.27,-0.053,2016-11-03,07:00:00,bef
2016-08-04 07:00:00,2.32,2.8,0.2064,2016-08-04,07:00:00,bef
2016-05-05 07:00:00,2.13,2.87,0.3468,2016-05-05,07:00:00,bef
2016-02-18 07:00:00,2.35,2.24,-0.0452,2016-02-18,07:00:00,bef
2015-11-05 10:00:00,2.13,2.35,0.1059,2015-11-05,10:00:00,bef
2015-08-06 07:00:00,2.12,2.36,0.1143,2015-08-06,07:00:00,bef
2015-05-07 07:00:00,2.08,1.79,-0.1394,2015-05-07,07:00:00,bef
2015-02-19 07:00:00,1.98,1.05,-0.47000000000000003,2015-02-19,07:00:00,bef
2014-11-06 07:00:00,1.83,1.96,0.0734,2014-11-06,07:00:00,bef
2014-08-07 04:00:00,1.81,2.04,0.1247,2014-08-07,04:00:00,bef
2014-05-08 04:00:00,1.63,1.81,0.1127,2014-05-08,04:00:00,bef
2014-02-27 05:00:00,1.19,1.82,0.5313,2014-02-27,05:00:00,bef
2013-11-07 05:00:00,0.82,1.17,0.42350000000000004,2013-11-07,05:00:00,bef
2013-08-07 04:00:00,0.93,1.12,0.2053,2013-08-07,04:00:00,bef
2013-05-08 04:00:00,0.86,0.87,0.015600000000000001,2013-05-08,04:00:00,bef
2013-02-27 05:00:00,0.9,1.3,0.4471,2013-02-27,05:00:00,bef
2012-11-08 05:00:00,0.8,0.74,-0.0785,2012-11-08,05:00:00,bef
2012-08-08 04:00:00,0.69,1.0,0.44170000000000004,2012-08-08,04:00:00,bef
2012-05-09 04:00:00,0.69,0.67,-0.0315,2012-05-09,04:00:00,bef
2012-03-28 04:00:00,0.94,1.19,0.2684,2012-03-28,04:00:00,bef
2011-11-10 05:00:00,0.85,1.05,0.23170000000000002,2011-11-10,05:00:00,bef
2011-08-11 04:00:00,0.82,0.8,-0.0217,2011-08-11,04:00:00,bef
2011-05-11 04:00:00,0.98,0.92,-0.0653,2011-05-11,04:00:00,bef
