Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 06:00:00,2.03,2.1,0.035,2022-07-28,06:00:00,bef
2022-04-29 05:00:00,1.86,1.91,0.0263,2022-04-29,05:00:00,bef
2022-02-03 06:00:00,2.08,2.09,0.0072,2022-02-03,06:00:00,bef
2021-10-22 06:00:00,1.99,2.02,0.013000000000000001,2021-10-22,06:00:00,bef
2021-07-23 06:00:00,1.94,2.02,0.0434,2021-07-23,06:00:00,bef
2021-04-23 06:00:00,1.8,1.92,0.0684,2021-04-23,06:00:00,bef
2021-01-29 06:00:00,2.0,2.07,0.0355,2021-01-29,06:00:00,bef
2020-10-30 06:00:00,1.49,1.56,0.0484,2020-10-30,06:00:00,bef
2020-07-24 06:00:00,1.21,1.26,0.038700000000000005,2020-07-24,06:00:00,bef
2020-05-01 06:00:00,1.96,2.21,0.1304,2020-05-01,06:00:00,bef
2020-01-31 06:00:00,2.04,2.06,0.0088,2020-01-31,06:00:00,bef
2019-10-17 06:00:00,2.01,2.08,0.0348,2019-10-17,06:00:00,bef
2019-07-18 06:00:00,2.08,2.1,0.008199999999999999,2019-07-18,06:00:00,bef
2019-04-18 06:00:00,1.83,1.92,0.046900000000000004,2019-04-18,06:00:00,bef
2019-02-01 06:00:00,1.89,1.91,0.0117,2019-02-01,06:00:00,bef
2018-10-19 06:00:00,1.99,2.03,0.018600000000000002,2018-10-19,06:00:00,bef
2018-07-20 06:00:00,2.01,2.12,0.0547,2018-07-20,06:00:00,bef
2018-04-20 06:00:00,1.9,1.95,0.024700000000000003,2018-04-20,06:00:00,bef
2018-01-26 06:00:00,1.84,1.85,0.0049,2018-01-26,06:00:00,bef
2017-10-20 06:00:00,1.75,1.75,0.0017000000000000001,2017-10-20,06:00:00,bef
2017-07-21 06:00:00,1.78,1.8,0.011200000000000002,2017-07-21,06:00:00,bef
2017-04-21 06:00:00,1.62,1.71,0.0536,2017-04-21,06:00:00,bef
2016-07-22 06:00:00,1.64,1.66,0.0116,2016-07-22,06:00:00,bef
2016-04-22 06:00:00,1.5,1.53,0.02,2016-04-22,06:00:00,bef
2016-01-29 06:00:00,1.58,1.58,-0.0025,2016-01-29,06:00:00,bef
2015-10-16 06:00:00,1.55,1.6,0.0349,2015-10-16,06:00:00,bef
2015-07-17 07:00:00,1.49,1.51,0.012700000000000001,2015-07-17,07:00:00,bef
2015-04-17 07:00:00,1.39,1.41,0.0122,2015-04-17,07:00:00,bef
2015-01-23 07:00:00,1.42,1.43,0.0092,2015-01-23,07:00:00,bef
2014-10-17 06:00:00,1.41,1.47,0.041100000000000005,2014-10-17,06:00:00,bef
2014-07-18 04:00:00,1.36,1.38,0.0168,2014-07-18,04:00:00,bef
2014-04-17 04:00:00,1.26,1.28,0.0152,2014-04-17,04:00:00,bef
2014-01-24 05:00:00,1.21,1.24,0.0219,2014-01-24,05:00:00,bef
2013-10-18 04:00:00,1.24,1.24,-0.0031,2013-10-18,04:00:00,bef
2013-07-19 04:00:00,1.21,1.28,0.0541,2013-07-19,04:00:00,bef
