Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 16:00:00,0.25,0.36,0.4173,2022-08-03,16:00:00,aft
2022-05-04 16:00:00,0.03,0.16,5.1538,2022-05-04,16:00:00,aft
2022-02-16 16:00:00,-0.01,0.45,31.0,2022-02-16,16:00:00,aft
2021-11-03 18:00:00,-0.09,-0.17,-0.9540000000000001,2021-11-03,18:00:00,aft
2021-08-03 16:00:00,-0.23,-0.09,0.6018,2021-08-03,16:00:00,aft
2021-05-04 16:00:00,-0.4,-0.22,0.4514,2021-05-04,16:00:00,aft
2021-02-18 16:00:00,-0.42,-0.09,0.7857,2021-02-18,16:00:00,aft
2020-11-04 17:00:00,-0.45,-0.44,0.0308,2020-11-04,17:00:00,aft
2020-07-30 16:00:00,-0.46,-0.5,-0.087,2020-07-30,16:00:00,aft
2020-02-19 16:00:00,0.12,0.11,-0.0984,2020-02-19,16:00:00,aft
2019-11-05 18:00:00,0.43,0.5,0.1521,2019-11-05,18:00:00,aft
2019-08-06 16:00:00,0.31,0.39,0.2662,2019-08-06,16:00:00,aft
2019-05-01 16:00:00,0.21,0.25,0.20190000000000002,2019-05-01,16:00:00,aft
2019-02-19 16:00:00,0.18,0.4,1.2857,2019-02-19,16:00:00,aft
2018-11-01 16:00:00,0.11,0.43,2.7719,2018-11-01,16:00:00,aft
2018-08-07 16:00:00,0.26,0.28,0.060599999999999994,2018-08-07,16:00:00,aft
2018-05-02 17:00:00,0.21,0.34,0.5962,2018-05-02,17:00:00,aft
2018-02-21 17:00:00,0.15,0.12,-0.2,2018-02-21,17:00:00,aft
2017-11-01 17:00:00,0.14,0.14,-0.0070999999999999995,2017-11-01,17:00:00,aft
2017-07-26 16:00:00,0.29,0.28,-0.0444,2017-07-26,16:00:00,aft
2017-04-28 06:00:00,0.16,0.21,0.3462,2017-04-28,06:00:00,bef
2017-02-22 06:00:00,0.14,0.17,0.25,2017-02-22,06:00:00,bef
2016-11-02 06:00:00,0.13,0.14,0.0526,2016-11-02,06:00:00,bef
2016-07-29 06:00:00,0.43,0.47,0.0855,2016-07-29,06:00:00,bef
2016-04-29 06:00:00,0.2,0.24,0.18230000000000002,2016-04-29,06:00:00,bef
2016-02-17 06:00:00,0.16,0.22,0.3924,2016-02-17,06:00:00,bef
2015-10-29 06:00:00,0.11,0.11,-0.0265,2015-10-29,06:00:00,bef
2015-07-30 06:00:00,0.23,0.28,0.20690000000000003,2015-07-30,06:00:00,bef
2015-04-30 06:00:00,0.11,0.13,0.22640000000000002,2015-04-30,06:00:00,bef
2015-02-19 06:00:00,0.28,0.33,0.1786,2015-02-19,06:00:00,bef
2014-10-30 06:00:00,0.09,0.19,1.0879,2014-10-30,06:00:00,bef
2014-07-31 04:00:00,0.21,0.21,0.0138,2014-07-31,04:00:00,bef
2014-05-01 04:00:00,0.18,0.1,-0.44880000000000003,2014-05-01,04:00:00,bef
2014-02-19 05:00:00,0.12,0.16,0.3763,2014-02-19,05:00:00,bef
2013-11-05 05:00:00,0.03,0.03,0.0909,2013-11-05,05:00:00,bef
2013-08-02 04:00:00,0.16,0.16,-0.0229,2013-08-02,04:00:00,bef
2013-05-03 04:00:00,0.01,0.08,5.4,2013-05-03,04:00:00,bef
2013-02-21 05:00:00,0.09,0.02,-0.7701000000000001,2013-02-21,05:00:00,bef
2012-10-10 04:00:00,-0.02,-0.05,-1.2502,2012-10-10,04:00:00,bef
2012-07-17 04:00:00,0.13,0.11,-0.15380000000000002,2012-07-17,04:00:00,bef
2012-02-14 05:00:00,0.04,0.02,-0.4615,2012-02-14,05:00:00,bef
2011-10-12 04:00:00,-0.04,-0.05,-0.2857,2011-10-12,04:00:00,bef
2011-07-20 04:00:00,0.09,0.09,-0.027000000000000003,2011-07-20,04:00:00,bef
2011-04-28 04:00:00,-0.07,-0.09,-0.26,2011-04-28,04:00:00,bef
2010-10-13 04:00:00,-0.11,-0.09,0.1818,2010-10-13,04:00:00,bef
2010-07-21 04:00:00,-0.01,0.02,3.0,2010-07-21,04:00:00,bef
2010-02-17 05:00:00,-0.1,-0.12,-0.2,2010-02-17,05:00:00,bef
2009-10-14 04:00:00,-0.13,-0.09,0.3333,2009-10-14,04:00:00,bef
2009-07-22 04:00:00,0.02,-0.12,-9.0,2009-07-22,04:00:00,bef
2009-04-23 04:00:00,-0.11,-0.12,-0.11109999999999999,2009-04-23,04:00:00,bef
2009-02-18 05:00:00,0.16,0.19,0.21789999999999998,2009-02-18,05:00:00,bef
2008-10-10 04:00:00,0.07,0.1,0.4286,2008-10-10,04:00:00,bef
2008-04-23 04:00:00,0.08,0.11,0.3201,2008-04-23,04:00:00,bef
2008-02-20 05:00:00,0.58,0.54,-0.069,2008-02-20,05:00:00,bef
2007-10-10 04:00:00,0.13,0.18,0.42100000000000004,2007-10-10,04:00:00,bef
2007-07-18 04:00:00,0.23,0.27,0.2,2007-07-18,04:00:00,bef
2007-04-25 04:00:00,0.27,0.35,0.28440000000000004,2007-04-25,04:00:00,bef
2007-02-21 05:00:00,0.41,0.31,-0.2346,2007-02-21,05:00:00,bef
2006-10-11 04:00:00,0.08,0.06,-0.2,2006-10-11,04:00:00,bef
2006-07-19 04:00:00,0.64,0.62,-0.0236,2006-07-19,04:00:00,bef
2006-04-26 04:00:00,0.99,0.44,-0.5567000000000001,2006-04-26,04:00:00,bef
2006-02-23 05:00:00,0.21,0.17,-0.1905,2006-02-23,05:00:00,bef
2005-10-12 04:00:00,-0.04,-0.03,0.3182,2005-10-12,04:00:00,bef
2005-07-20 04:00:00,0.17,0.22,0.2791,2005-07-20,04:00:00,bef
2005-04-27 04:00:00,0.11,-0.01,-1.0937000000000001,2005-04-27,04:00:00,bef
2005-02-24 05:00:00,0.04,0.15,2.75,2005-02-24,05:00:00,bef
2004-10-13 04:00:00,-0.14,-0.17,-0.1724,2004-10-13,04:00:00,bef
2004-07-21 04:00:00,-0.02,0.02,1.8,2004-07-21,04:00:00,bef
2004-04-28 04:00:00,-0.07,-0.08,-0.1429,2004-04-28,04:00:00,bef
2003-10-15 04:00:00,-0.29,-0.35,-0.2209,2003-10-15,04:00:00,bef
2003-02-26 05:00:00,-0.16,-0.04,0.75,2003-02-26,05:00:00,bef
1998-10-13 04:00:00,0.08,0.02,-0.7419,1998-10-13,04:00:00,bef
1998-07-14 04:00:00,0.14,0.18,0.2676,1998-07-14,04:00:00,bef
1998-05-01 04:00:00,0.05,0.14,1.9998,1998-05-01,04:00:00,bef
1998-03-03 05:00:00,0.04,0.03,-0.25,1998-03-03,05:00:00,bef
1997-10-13 04:00:00,0.01,0.03,1.2506000000000002,1997-10-13,04:00:00,bef
1997-07-21 04:00:00,0.1,0.13,0.36840000000000006,1997-07-21,04:00:00,bef
