Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 06:00:00,1.69,1.8,0.0651,2022-07-28,06:00:00,bef
2022-04-28 06:00:00,2.1,2.53,0.2059,2022-04-28,06:00:00,bef
2022-02-03 06:00:00,1.62,1.69,0.0464,2022-02-03,06:00:00,bef
2021-10-28 06:00:00,2.01,2.1,0.0458,2021-10-28,06:00:00,bef
2021-07-29 06:00:00,1.43,1.47,0.0294,2021-07-29,06:00:00,bef
2021-04-29 06:00:00,1.8,1.92,0.06730000000000001,2021-04-29,06:00:00,bef
2021-02-04 06:00:00,1.43,1.49,0.0449,2021-02-04,06:00:00,bef
2020-11-06 06:00:00,1.72,1.86,0.0827,2020-11-06,06:00:00,bef
2020-07-23 06:00:00,1.13,1.31,0.1593,2020-07-23,06:00:00,bef
2020-04-23 07:00:00,1.71,1.63,-0.049,2020-04-23,07:00:00,bef
2020-01-30 07:00:00,1.24,1.28,0.0298,2020-01-30,07:00:00,bef
2019-10-24 07:00:00,1.6,1.61,0.005,2019-10-24,07:00:00,bef
2019-07-25 07:00:00,1.18,1.31,0.1139,2019-07-25,07:00:00,bef
2019-04-25 07:00:00,1.47,1.59,0.07940000000000001,2019-04-25,07:00:00,bef
2019-01-31 07:00:00,1.27,1.26,-0.0063,2019-01-31,07:00:00,bef
2018-10-25 07:00:00,1.55,1.55,-0.0026000000000000003,2018-10-25,07:00:00,bef
2018-07-26 07:00:00,1.1,1.14,0.0383,2018-07-26,07:00:00,bef
2018-04-26 07:00:00,1.4,1.41,0.0070999999999999995,2018-04-26,07:00:00,bef
2018-02-01 07:00:00,1.07,1.03,-0.0374,2018-02-01,07:00:00,bef
2017-10-26 07:00:00,1.3,1.33,0.027000000000000003,2017-10-26,07:00:00,bef
2017-07-26 07:00:00,0.9,1.09,0.2125,2017-07-26,07:00:00,bef
2017-04-26 07:00:00,1.25,1.31,0.0514,2017-04-26,07:00:00,bef
2017-02-03 07:00:00,1.08,1.17,0.0853,2017-02-03,07:00:00,bef
2016-10-28 07:00:00,1.18,1.29,0.0895,2016-10-28,07:00:00,bef
2016-07-28 07:00:00,0.78,0.85,0.094,2016-07-28,07:00:00,bef
2016-04-26 07:00:00,1.07,1.1,0.028999999999999998,2016-04-26,07:00:00,bef
2016-01-28 06:00:00,1.05,1.08,0.026600000000000002,2016-01-28,06:00:00,bef
2015-10-28 07:00:00,1.13,1.17,0.0382,2015-10-28,07:00:00,bef
2015-08-07 07:00:00,0.75,0.78,0.042800000000000005,2015-08-07,07:00:00,bef
2015-04-23 07:00:00,1.16,1.09,-0.0571,2015-04-23,07:00:00,bef
2015-01-29 07:00:00,1.06,1.04,-0.0226,2015-01-29,07:00:00,bef
2014-10-29 07:00:00,1.08,1.05,-0.0278,2014-10-29,07:00:00,bef
2014-07-24 04:00:00,0.76,0.76,-0.0032,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,1.14,1.15,0.005600000000000001,2014-04-24,04:00:00,bef
2014-01-30 05:00:00,0.86,0.86,0.0001,2014-01-30,05:00:00,bef
2013-10-24 04:00:00,1.01,1.04,0.0319,2013-10-24,04:00:00,bef
2013-07-25 04:00:00,0.71,0.72,0.015,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,1.04,1.09,0.0481,2013-04-25,04:00:00,bef
2013-01-31 05:00:00,0.76,0.74,-0.0207,2013-01-31,05:00:00,bef
2012-10-25 04:00:00,0.86,0.87,0.0087,2012-10-25,04:00:00,bef
2012-07-26 04:00:00,0.61,0.66,0.0843,2012-07-26,04:00:00,bef
2012-04-24 04:00:00,0.81,0.96,0.1852,2012-04-24,04:00:00,bef
2012-02-01 05:00:00,0.7,0.7,-0.0033000000000000004,2012-02-01,05:00:00,bef
2011-10-27 04:00:00,0.84,0.84,0.0008,2011-10-27,04:00:00,bef
2011-07-26 04:00:00,0.55,0.56,0.0195,2011-07-26,04:00:00,bef
2011-04-26 04:00:00,0.7,0.72,0.0275,2011-04-26,04:00:00,bef
2011-02-02 05:00:00,0.61,0.61,-0.0058,2011-02-02,05:00:00,bef
2010-10-21 04:00:00,0.79,0.79,0.0029,2010-10-21,04:00:00,bef
2010-07-22 04:00:00,0.46,0.51,0.09949999999999999,2010-07-22,04:00:00,bef
2010-04-22 04:00:00,0.47,0.64,0.3729,2010-04-22,04:00:00,bef
2010-02-02 05:00:00,0.6,0.63,0.0559,2010-02-02,05:00:00,bef
2009-10-22 04:00:00,0.67,0.73,0.0861,2009-10-22,04:00:00,bef
2009-07-23 04:00:00,0.35,0.43,0.2336,2009-07-23,04:00:00,bef
2009-04-23 04:00:00,0.35,0.38,0.08789999999999999,2009-04-23,04:00:00,bef
2009-01-27 05:00:00,0.54,0.59,0.0859,2009-01-27,05:00:00,bef
2008-10-16 04:00:00,0.64,0.64,-0.0072,2008-10-16,04:00:00,bef
2008-07-23 04:00:00,0.28,0.29,0.0388,2008-07-23,04:00:00,bef
2008-04-24 04:00:00,0.39,0.37,-0.0437,2008-04-24,04:00:00,bef
2008-01-24 05:00:00,0.55,0.54,-0.0169,2008-01-24,05:00:00,bef
2007-10-18 04:00:00,0.71,0.68,-0.048499999999999995,2007-10-18,04:00:00,bef
2007-07-19 04:00:00,0.35,0.35,0.0102,2007-07-19,04:00:00,bef
2007-04-19 04:00:00,0.51,0.51,0.0044,2007-04-19,04:00:00,bef
2007-01-24 05:00:00,0.71,0.67,-0.057699999999999994,2007-01-24,05:00:00,bef
2006-10-19 04:00:00,0.81,0.78,-0.0363,2006-10-19,04:00:00,bef
2006-07-20 04:00:00,0.42,0.42,0.0067,2006-07-20,04:00:00,bef
2006-04-20 04:00:00,0.51,0.5,-0.0121,2006-04-20,04:00:00,bef
2006-01-25 05:00:00,0.76,0.76,0.0051,2006-01-25,05:00:00,bef
2005-10-20 04:00:00,0.74,0.75,0.0152,2005-10-20,04:00:00,bef
2005-07-21 04:00:00,0.38,0.39,0.031400000000000004,2005-07-21,04:00:00,bef
2005-04-21 04:00:00,0.46,0.47,0.0178,2005-04-21,04:00:00,bef
2005-01-26 05:00:00,0.66,0.68,0.034,2005-01-26,05:00:00,bef
2004-10-21 04:00:00,0.64,0.66,0.0294,2004-10-21,04:00:00,bef
2004-07-22 04:00:00,0.31,0.33,0.055999999999999994,2004-07-22,04:00:00,bef
