Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 16:00:00,1.89,2.02,0.0688,2022-07-26,16:00:00,aft
2022-04-26 16:00:00,1.74,1.96,0.12390000000000001,2022-04-26,16:00:00,aft
2022-02-01 16:00:00,1.58,1.71,0.0809,2022-02-01,16:00:00,aft
2021-10-26 16:00:00,1.59,1.63,0.0239,2021-10-26,16:00:00,aft
2021-07-27 16:00:00,1.62,1.61,-0.0031,2021-07-27,16:00:00,aft
2021-04-27 16:00:00,1.42,1.51,0.0671,2021-04-27,16:00:00,aft
2021-02-03 16:00:00,1.3,1.37,0.0538,2021-02-03,16:00:00,aft
2020-10-27 16:00:00,1.2,1.4,0.1696,2020-10-27,16:00:00,aft
2020-07-23 16:00:00,1.0,1.1,0.0978,2020-07-23,16:00:00,aft
2020-04-23 16:00:00,1.3,1.33,0.024700000000000003,2020-04-23,16:00:00,aft
2020-01-29 16:00:00,1.35,1.33,-0.015500000000000002,2020-01-29,16:00:00,aft
2019-10-29 16:00:00,1.46,1.52,0.044000000000000004,2019-10-29,16:00:00,aft
2019-07-25 16:00:00,1.49,1.5,0.0067,2019-07-25,16:00:00,aft
2019-04-25 16:00:00,1.37,1.44,0.0519,2019-04-25,16:00:00,aft
2019-01-29 16:00:00,1.27,1.31,0.033100000000000004,2019-01-29,16:00:00,aft
2018-10-23 16:00:00,1.31,1.41,0.0763,2018-10-23,16:00:00,aft
2018-07-24 16:00:00,1.31,1.4,0.0671,2018-07-24,16:00:00,aft
2018-04-30 07:00:00,1.24,1.29,0.042,2018-04-30,07:00:00,bef
2018-01-29 17:00:00,1.08,1.12,0.039900000000000005,2018-01-29,17:00:00,aft
2017-10-16 16:00:00,1.06,1.08,0.016,2017-10-16,16:00:00,aft
2017-07-25 16:00:00,1.06,1.08,0.0198,2017-07-25,16:00:00,aft
2017-04-19 16:00:00,0.93,1.03,0.1075,2017-04-19,16:00:00,aft
2017-01-30 17:00:00,0.93,0.96,0.0278,2017-01-30,17:00:00,aft
2016-10-17 17:00:00,0.92,0.92,0.0011,2016-10-17,17:00:00,aft
2016-07-18 16:00:00,0.93,0.99,0.0668,2016-07-18,16:00:00,aft
2016-04-18 17:00:00,0.81,0.89,0.0974,2016-04-18,17:00:00,aft
2016-01-27 20:00:00,0.9,0.94,0.040999999999999995,2016-01-27,20:00:00,aft
2015-10-19 16:00:00,0.89,0.89,0.0011,2015-10-19,16:00:00,aft
2015-07-22 16:00:00,0.89,0.89,-0.0022,2015-07-22,16:00:00,aft
2015-04-20 16:00:00,0.82,0.84,0.0207,2015-04-20,16:00:00,aft
2015-01-28 17:00:00,0.87,0.89,0.0206,2015-01-28,17:00:00,aft
2014-10-20 16:00:00,0.84,0.88,0.0464,2014-10-20,16:00:00,aft
2014-07-22 04:00:00,0.86,0.88,0.0209,2014-07-22,04:00:00,bef
2014-04-22 04:00:00,0.84,0.91,0.0842,2014-04-22,04:00:00,bef
2014-01-29 05:00:00,0.8,0.82,0.031000000000000003,2014-01-29,05:00:00,bef
2013-10-21 04:00:00,0.74,0.75,0.0174,2013-10-21,04:00:00,bef
2013-07-22 04:00:00,0.74,0.76,0.024100000000000003,2013-07-22,04:00:00,bef
2013-04-22 04:00:00,0.72,0.74,0.035,2013-04-22,04:00:00,bef
2013-02-04 05:00:00,0.68,0.69,0.0197,2013-02-04,05:00:00,bef
2012-10-22 04:00:00,0.63,0.66,0.0405,2012-10-22,04:00:00,bef
2012-07-23 04:00:00,0.71,0.67,-0.060700000000000004,2012-07-23,04:00:00,bef
2012-04-23 04:00:00,0.64,0.66,0.035,2012-04-23,04:00:00,bef
2012-02-06 05:00:00,0.63,0.65,0.035,2012-02-06,05:00:00,bef
2011-10-19 04:00:00,0.62,0.71,0.1526,2011-10-19,04:00:00,bef
2011-07-20 04:00:00,0.6,0.62,0.037700000000000004,2011-07-20,04:00:00,bef
2011-04-20 04:00:00,0.53,0.57,0.0738,2011-04-20,04:00:00,bef
2011-02-02 05:00:00,0.51,0.54,0.0547,2011-02-02,05:00:00,bef
2010-10-18 04:00:00,0.47,0.5,0.0638,2010-10-18,04:00:00,bef
2010-07-19 04:00:00,0.47,0.5,0.0753,2010-07-19,04:00:00,bef
2010-04-19 04:00:00,0.42,0.46,0.1072,2010-04-19,04:00:00,bef
2010-02-03 05:00:00,0.37,0.43,0.1749,2010-02-03,05:00:00,bef
2009-10-19 04:00:00,0.35,0.39,0.1085,2009-10-19,04:00:00,bef
2009-07-20 04:00:00,0.35,0.37,0.0725,2009-07-20,04:00:00,bef
2009-04-20 04:00:00,0.34,0.33,-0.0242,2009-04-20,04:00:00,bef
2009-02-04 05:00:00,0.39,0.41,0.0468,2009-02-04,05:00:00,bef
2008-10-20 04:00:00,0.52,0.53,0.0139,2008-10-20,04:00:00,bef
2008-07-21 04:00:00,0.55,0.56,0.015300000000000001,2008-07-21,04:00:00,bef
2008-04-21 04:00:00,0.48,0.5,0.044800000000000006,2008-04-21,04:00:00,bef
2008-02-05 05:00:00,0.48,0.47,-0.0285,2008-02-05,05:00:00,bef
2007-10-18 04:00:00,0.48,0.47,-0.0271,2007-10-18,04:00:00,bef
2007-07-24 04:00:00,0.51,0.51,0.005600000000000001,2007-07-24,04:00:00,bef
2007-04-19 04:00:00,0.45,0.45,0.0184,2007-04-19,04:00:00,bef
