Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 07:00:00,0.76,1.01,0.3325,2022-08-02,07:00:00,bef
2022-05-03 07:00:00,0.67,0.55,-0.184,2022-05-03,07:00:00,bef
2022-02-08 07:00:00,0.87,0.1,-0.8844,2022-02-08,07:00:00,bef
2021-11-02 07:00:00,0.75,1.18,0.5839,2021-11-02,07:00:00,bef
2021-08-03 07:00:00,0.74,0.8,0.0782,2021-08-03,07:00:00,bef
2021-05-04 07:00:00,0.64,0.67,0.0404,2021-05-04,07:00:00,bef
2021-02-09 07:00:00,0.75,0.93,0.2433,2021-02-09,07:00:00,bef
2020-11-05 07:00:00,0.75,0.23,-0.6933,2020-11-05,07:00:00,bef
2020-08-04 07:00:00,0.87,1.24,0.4286,2020-08-04,07:00:00,bef
2020-05-05 07:00:00,0.61,-2.86,-5.6655999999999995,2020-05-05,07:00:00,bef
2020-02-13 07:00:00,0.57,0.65,0.13640000000000002,2020-02-13,07:00:00,bef
2019-10-29 07:00:00,0.65,0.82,0.2693,2019-10-29,07:00:00,bef
2019-07-30 07:00:00,0.48,0.75,0.556,2019-07-30,07:00:00,bef
2019-04-30 07:00:00,0.4,0.62,0.5385,2019-04-30,07:00:00,bef
2019-02-14 07:00:00,0.46,0.4,-0.1379,2019-02-14,07:00:00,bef
2018-10-30 08:00:00,0.4,0.38,-0.0571,2018-10-30,08:00:00,bef
2018-07-31 07:00:00,0.35,0.26,-0.2464,2018-07-31,07:00:00,bef
2018-05-01 07:00:00,0.04,-0.01,-1.2703,2018-05-01,07:00:00,bef
2018-02-15 07:00:00,-0.44,-0.71,-0.5955,2018-02-15,07:00:00,bef
2017-10-31 07:00:00,0.07,0.17,1.4286,2017-10-31,07:00:00,bef
2017-08-01 07:00:00,-0.05,-0.06,-0.25,2017-08-01,07:00:00,bef
2017-05-04 07:00:00,-1.0,-0.96,0.040999999999999995,2017-05-04,07:00:00,bef
2017-02-14 07:00:00,0.13,0.05,-0.6063000000000001,2017-02-14,07:00:00,bef
2016-11-01 08:00:00,-0.01,0.19,15.6154,2016-11-01,08:00:00,bef
2016-08-09 08:00:00,-0.02,0.18,11.588199999999999,2016-08-09,08:00:00,bef
2016-05-09 07:00:00,0.17,0.12,-0.28140000000000004,2016-05-09,07:00:00,bef
2016-02-11 07:00:00,0.09,0.29,2.3333000000000004,2016-02-11,07:00:00,bef
2015-11-03 08:00:00,-0.41,-0.22,0.4581,2015-11-03,08:00:00,bef
2015-08-04 07:00:00,-0.11,0.05,1.4425000000000001,2015-08-04,07:00:00,bef
2015-04-30 07:00:00,-0.1,-0.11,-0.11109999999999999,2015-04-30,07:00:00,bef
2015-02-12 07:00:00,-0.09,-0.22,-1.3404,2015-02-12,07:00:00,bef
2014-10-30 07:00:00,0.01,0.33,65.0,2014-10-30,07:00:00,bef
2014-07-31 04:00:00,-0.04,-0.22,-4.7396,2014-07-31,04:00:00,bef
2014-05-01 04:00:00,-0.18,-0.21,-0.15380000000000002,2014-05-01,04:00:00,bef
2014-02-12 05:00:00,-0.11,-0.15,-0.4,2014-02-12,05:00:00,bef
2013-10-31 04:00:00,-0.13,-0.14,-0.0833,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,0.08,0.05,-0.3925,2013-08-01,04:00:00,bef
2013-05-02 04:00:00,-0.19,-0.12,0.3834,2013-05-02,04:00:00,bef
2013-02-14 05:00:00,-0.02,0.14,8.303099999999999,2013-02-14,05:00:00,bef
2012-11-01 04:00:00,-0.21,-0.17,0.1937,2012-11-01,04:00:00,bef
2012-04-26 04:00:00,-0.46,-0.36,0.2113,2012-04-26,04:00:00,bef
2012-02-15 05:00:00,-0.39,-0.44,-0.12,2012-02-15,05:00:00,bef
2011-10-27 04:00:00,-0.45,-0.42,0.0637,2011-10-27,04:00:00,bef
2011-07-28 04:00:00,-0.36,-0.41,-0.1368,2011-07-28,04:00:00,bef
2011-05-03 04:00:00,-0.32,-0.21,0.3351,2011-05-03,04:00:00,bef
2011-02-10 05:00:00,0.19,0.24,0.27440000000000003,2011-02-10,05:00:00,bef
2010-11-09 05:00:00,-0.32,-0.26,0.1925,2010-11-09,05:00:00,bef
2010-08-05 04:00:00,-0.04,0.02,1.5161000000000002,2010-08-05,04:00:00,bef
2010-05-06 04:00:00,-0.32,-0.3,0.07690000000000001,2010-05-06,04:00:00,bef
