Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 07:00:00,2.38,2.44,0.0248,2022-07-21,07:00:00,bef
2022-04-27 07:00:00,2.42,2.47,0.0211,2022-04-27,07:00:00,bef
2022-02-15 07:00:00,2.43,2.55,0.0477,2022-02-15,07:00:00,bef
2021-10-21 07:00:00,2.12,2.17,0.0221,2021-10-21,07:00:00,bef
2021-07-27 07:00:00,2.08,2.13,0.026000000000000002,2021-07-27,07:00:00,bef
2021-04-22 09:00:00,1.85,2.18,0.17579999999999998,2021-04-22,09:00:00,bef
2021-02-10 07:00:00,2.0,2.11,0.053899999999999997,2021-02-10,07:00:00,bef
2020-10-20 07:00:00,1.54,1.63,0.061900000000000004,2020-10-20,07:00:00,bef
2020-07-22 07:00:00,1.06,1.18,0.1153,2020-07-22,07:00:00,bef
2020-04-28 07:00:00,1.48,1.5,0.0128,2020-04-28,07:00:00,bef
2020-02-12 07:00:00,1.72,1.74,0.0116,2020-02-12,07:00:00,bef
2019-10-30 07:00:00,1.57,1.6,0.0165,2019-10-30,07:00:00,bef
2019-07-24 07:00:00,1.49,1.53,0.0248,2019-07-24,07:00:00,bef
2019-05-01 07:00:00,1.51,1.53,0.015300000000000001,2019-05-01,07:00:00,bef
2019-02-14 07:00:00,1.47,1.5,0.0183,2019-02-14,07:00:00,bef
2018-10-22 07:00:00,1.39,1.42,0.020800000000000003,2018-10-22,07:00:00,bef
2018-07-24 07:00:00,1.23,1.29,0.0454,2018-07-24,07:00:00,bef
2018-05-02 10:00:00,1.27,1.34,0.0543,2018-05-02,10:00:00,bef
2018-02-14 07:00:00,1.34,1.4,0.0417,2018-02-14,07:00:00,bef
2017-10-26 07:00:00,1.14,1.19,0.0475,2017-10-26,07:00:00,bef
2017-08-03 09:00:00,1.05,1.09,0.0361,2017-08-03,09:00:00,bef
2017-05-03 07:00:00,0.96,1.01,0.055400000000000005,2017-05-03,07:00:00,bef
2017-02-14 07:00:00,1.05,1.09,0.0342,2017-02-14,07:00:00,bef
2016-11-02 07:00:00,0.99,1.0,0.0111,2016-11-02,07:00:00,bef
2016-07-27 06:00:00,0.9,0.93,0.0322,2016-07-27,06:00:00,bef
2016-05-03 06:00:00,0.86,0.89,0.0325,2016-05-03,06:00:00,bef
2016-02-11 06:00:00,0.87,0.9,0.0381,2016-02-11,06:00:00,bef
2015-10-28 06:00:00,0.81,0.94,0.1605,2015-10-28,06:00:00,bef
2015-07-29 06:00:00,0.7,0.78,0.1223,2015-07-29,06:00:00,bef
2015-04-29 06:00:00,0.71,0.72,0.0169,2015-04-29,06:00:00,bef
2015-02-12 06:00:00,0.67,0.71,0.0565,2015-02-12,06:00:00,bef
2014-10-30 06:00:00,0.64,0.65,0.0172,2014-10-30,06:00:00,bef
2014-07-31 04:00:00,0.61,0.64,0.057300000000000004,2014-07-31,04:00:00,bef
2014-05-02 04:00:00,0.6,0.68,0.13140000000000002,2014-05-02,04:00:00,bef
2014-02-13 05:00:00,0.55,0.58,0.0514,2014-02-13,05:00:00,bef
2013-10-31 04:00:00,0.51,0.54,0.0636,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,0.47,0.5,0.0703,2013-08-01,04:00:00,bef
