Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,0.4,0.46,0.1471,2022-08-04,06:00:00,bef
2022-04-28 06:00:00,0.37,0.38,0.016,2022-04-28,06:00:00,bef
2022-02-24 06:00:00,0.4,0.43,0.0804,2022-02-24,06:00:00,bef
2021-11-04 06:00:00,0.4,0.4,0.0076,2021-11-04,06:00:00,bef
2021-08-05 06:00:00,0.35,0.38,0.08259999999999999,2021-08-05,06:00:00,bef
2021-05-06 06:00:00,0.25,0.32,0.25980000000000003,2021-05-06,06:00:00,bef
2021-02-24 06:00:00,0.31,0.29,-0.0735,2021-02-24,06:00:00,bef
2020-11-05 06:00:00,0.25,0.31,0.24,2020-11-05,06:00:00,bef
2020-08-06 06:00:00,0.13,0.22,0.746,2020-08-06,06:00:00,bef
2020-05-07 06:00:00,0.18,0.27,0.5084000000000001,2020-05-07,06:00:00,bef
2020-02-13 06:00:00,0.32,0.31,-0.0252,2020-02-13,06:00:00,bef
2019-10-31 06:00:00,0.3,0.32,0.08109999999999999,2019-10-31,06:00:00,bef
2019-08-01 06:00:00,0.23,0.23,0.0044,2019-08-01,06:00:00,bef
2019-04-25 06:00:00,0.24,0.17,-0.2887,2019-04-25,06:00:00,bef
2019-02-14 06:00:00,0.25,0.25,0.008100000000000001,2019-02-14,06:00:00,bef
2018-10-25 05:00:00,0.27,0.28,0.037000000000000005,2018-10-25,05:00:00,bef
2018-07-27 06:00:00,0.25,0.3,0.1905,2018-07-27,06:00:00,bef
2018-04-26 06:00:00,0.23,0.24,0.0435,2018-04-26,06:00:00,bef
2018-02-16 06:00:00,0.31,0.29,-0.0584,2018-02-16,06:00:00,bef
2017-10-24 16:00:00,0.29,0.31,0.057999999999999996,2017-10-24,16:00:00,aft
2017-07-28 06:00:00,0.27,0.3,0.0989,2017-07-28,06:00:00,bef
2017-04-27 06:00:00,0.26,0.24,-0.0909,2017-04-27,06:00:00,bef
2017-02-23 06:00:00,0.28,0.26,-0.061399999999999996,2017-02-23,06:00:00,bef
2016-11-01 06:00:00,0.27,0.27,0.0075,2016-11-01,06:00:00,bef
2016-08-04 06:00:00,0.23,0.24,0.0526,2016-08-04,06:00:00,bef
2016-04-28 06:00:00,0.24,0.33,0.3636,2016-04-28,06:00:00,bef
2016-02-26 16:00:00,0.32,0.33,0.0217,2016-02-26,16:00:00,aft
2015-10-30 06:00:00,0.27,0.31,0.1355,2015-10-30,06:00:00,bef
2015-07-30 08:00:00,0.33,0.28,-0.1411,2015-07-30,08:00:00,bef
2015-04-28 10:00:00,0.29,0.32,0.115,2015-04-28,10:00:00,bef
2015-02-20 06:00:00,0.29,0.25,-0.1349,2015-02-20,06:00:00,bef
2014-10-30 10:00:00,0.37,0.35,-0.051500000000000004,2014-10-30,10:00:00,bef
