Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 16:00:00,0.52,0.54,0.0365,2022-08-03,16:00:00,aft
2022-05-04 16:00:00,0.45,0.49,0.0889,2022-05-04,16:00:00,aft
2022-02-23 16:00:00,0.6,0.68,0.1429,2022-02-23,16:00:00,aft
2021-11-03 07:00:00,0.47,0.57,0.21789999999999998,2021-11-03,07:00:00,bef
2021-07-28 16:00:00,0.42,0.46,0.0849,2021-07-28,16:00:00,aft
2021-04-28 16:00:00,0.35,0.45,0.2968,2021-04-28,16:00:00,aft
2021-02-22 17:00:00,0.45,0.53,0.18300000000000002,2021-02-22,17:00:00,aft
2020-11-02 17:00:00,0.31,0.4,0.3029,2020-11-02,17:00:00,aft
2020-08-03 16:00:00,0.19,0.31,0.5979,2020-08-03,16:00:00,aft
2020-05-12 06:00:00,0.28,0.25,-0.0975,2020-05-12,06:00:00,bef
2020-02-17 16:00:00,0.34,0.37,0.0787,2020-02-17,16:00:00,aft
2019-10-28 16:00:00,0.38,0.41,0.0761,2019-10-28,16:00:00,aft
2019-07-31 16:00:00,0.39,0.43,0.1082,2019-07-31,16:00:00,aft
2019-04-30 06:00:00,0.34,0.38,0.11109999999999999,2019-04-30,06:00:00,bef
2019-02-19 07:00:00,0.53,0.57,0.0837,2019-02-19,07:00:00,bef
2018-10-25 16:00:00,0.48,0.49,0.020800000000000003,2018-10-25,16:00:00,aft
2018-08-01 16:00:00,0.41,0.44,0.0758,2018-08-01,16:00:00,aft
2018-04-26 16:00:00,0.29,0.38,0.2925,2018-04-26,16:00:00,aft
2018-02-15 16:00:00,0.48,0.48,0.0042,2018-02-15,16:00:00,aft
2017-10-25 16:00:00,0.36,0.41,0.13570000000000002,2017-10-25,16:00:00,aft
2017-08-02 16:00:00,0.22,0.24,0.11109999999999999,2017-08-02,16:00:00,aft
