Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 08:00:00,2.2,2.37,0.0758,2022-08-02,08:00:00,bef
2022-05-03 08:00:00,2.07,2.11,0.021800000000000003,2022-05-03,08:00:00,bef
2022-02-03 08:00:00,1.9,1.95,0.024700000000000003,2022-02-03,08:00:00,bef
2021-10-28 08:00:00,2.01,2.02,0.005,2021-10-28,08:00:00,bef
2021-07-30 08:00:00,2.09,2.45,0.1751,2021-07-30,08:00:00,bef
2021-04-30 08:00:00,1.9,2.11,0.11230000000000001,2021-04-30,08:00:00,bef
2021-02-05 08:00:00,1.79,2.02,0.126,2021-02-05,08:00:00,bef
2020-10-23 08:00:00,1.49,1.83,0.23070000000000002,2020-10-23,08:00:00,bef
2020-07-31 08:00:00,0.7,1.01,0.44079999999999997,2020-07-31,08:00:00,bef
2020-05-05 08:00:00,1.71,1.77,0.0357,2020-05-05,08:00:00,bef
2020-01-31 08:00:00,1.85,1.99,0.0751,2020-01-31,08:00:00,bef
2019-10-25 08:00:00,1.94,2.04,0.051,2019-10-25,08:00:00,bef
2019-07-26 08:00:00,1.98,1.91,-0.0334,2019-07-26,08:00:00,bef
2019-04-25 09:00:00,1.8,1.81,0.0039000000000000003,2019-04-25,09:00:00,bef
2019-02-01 08:00:00,1.82,1.83,0.0072,2019-02-01,08:00:00,bef
2018-10-24 08:00:00,1.88,1.9,0.0085,2018-10-24,08:00:00,bef
2018-07-23 08:00:00,1.97,1.97,-0.0005,2018-07-23,08:00:00,bef
2018-04-26 08:00:00,1.86,1.9,0.0221,2018-04-26,08:00:00,bef
2018-01-24 08:00:00,1.62,1.7,0.0526,2018-01-24,08:00:00,bef
2017-10-23 08:00:00,1.65,1.85,0.1226,2017-10-23,08:00:00,bef
2017-07-24 08:00:00,1.64,1.69,0.033,2017-07-24,08:00:00,bef
2017-04-24 08:00:00,1.45,1.54,0.0643,2017-04-24,08:00:00,bef
2017-01-25 08:00:00,1.37,1.39,0.0131,2017-01-25,08:00:00,bef
2016-10-20 07:00:00,1.49,1.5,0.006,2016-10-20,07:00:00,bef
