Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 06:00:00,2.13,2.85,0.33490000000000003,2022-08-02,06:00:00,bef
2022-05-03 06:00:00,1.75,2.33,0.3337,2022-05-03,06:00:00,bef
2022-02-08 06:00:00,2.42,2.99,0.2371,2022-02-08,06:00:00,bef
2021-11-02 06:00:00,1.56,2.03,0.30460000000000004,2021-11-02,06:00:00,bef
2021-08-03 06:00:00,1.73,2.24,0.2963,2021-08-03,06:00:00,bef
2021-05-04 06:00:00,1.05,2.0,0.8975,2021-05-04,06:00:00,bef
2021-02-09 06:00:00,0.82,1.59,0.9485,2021-02-09,06:00:00,bef
2020-11-03 06:00:00,0.53,0.91,0.7333,2020-11-03,06:00:00,bef
2020-08-04 06:00:00,0.81,1.2,0.4888,2020-08-04,06:00:00,bef
2020-05-07 06:00:00,0.32,1.2,2.7037,2020-05-07,06:00:00,bef
2020-02-04 06:00:00,0.81,1.18,0.4514,2020-02-04,06:00:00,bef
2019-10-31 06:00:00,0.43,0.7,0.6204,2019-10-31,06:00:00,bef
2019-07-30 06:00:00,1.18,1.45,0.2288,2019-07-30,06:00:00,bef
2019-05-07 06:00:00,0.53,0.58,0.0943,2019-05-07,06:00:00,bef
2019-02-05 06:00:00,1.25,1.2,-0.037700000000000004,2019-02-05,06:00:00,bef
2018-11-01 06:00:00,0.62,0.85,0.371,2018-11-01,06:00:00,bef
2018-08-01 06:00:00,0.96,1.03,0.0752,2018-08-01,06:00:00,bef
2018-05-08 06:00:00,0.58,0.72,0.24350000000000002,2018-05-08,06:00:00,bef
2018-02-06 06:00:00,1.32,1.17,-0.11359999999999999,2018-02-06,06:00:00,bef
2017-11-02 06:00:00,0.52,0.65,0.2548,2017-11-02,06:00:00,bef
2017-08-08 06:00:00,0.83,0.88,0.057699999999999994,2017-08-08,06:00:00,bef
2017-05-04 06:00:00,0.6,0.6,0.0084,2017-05-04,06:00:00,bef
