Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,0.85,0.85,-0.0023,2022-08-04,06:00:00,bef
2022-02-02 06:00:00,0.53,0.54,0.015,2022-02-02,06:00:00,bef
2021-11-05 06:00:00,0.87,0.88,0.0069,2021-11-05,06:00:00,bef
2021-07-30 06:00:00,0.83,0.83,-0.0024,2021-07-30,06:00:00,bef
2021-04-30 06:00:00,0.49,0.52,0.06559999999999999,2021-04-30,06:00:00,bef
2021-01-29 06:00:00,0.4,0.43,0.0644,2021-01-29,06:00:00,bef
2020-11-03 06:00:00,0.73,0.76,0.041100000000000005,2020-11-03,06:00:00,bef
2020-07-31 06:00:00,0.48,0.67,0.3929,2020-07-31,06:00:00,bef
2020-05-01 06:00:00,0.36,0.42,0.16670000000000001,2020-05-01,06:00:00,bef
2020-01-31 06:00:00,0.38,0.4,0.055400000000000005,2020-01-31,06:00:00,bef
2019-11-07 06:00:00,0.76,0.78,0.0236,2019-11-07,06:00:00,bef
2019-07-31 06:00:00,0.63,0.65,0.035,2019-07-31,06:00:00,bef
2019-05-01 06:00:00,0.3,0.32,0.0631,2019-05-01,06:00:00,bef
2019-02-01 06:00:00,0.24,0.26,0.0833,2019-02-01,06:00:00,bef
2018-07-31 06:00:00,0.79,0.81,0.021400000000000002,2018-07-31,06:00:00,bef
2018-05-01 06:00:00,0.52,0.53,0.0212,2018-05-01,06:00:00,bef
2018-01-31 06:00:00,0.53,0.54,0.026600000000000002,2018-01-31,06:00:00,bef
2017-11-09 06:00:00,0.87,0.87,0.0034999999999999996,2017-11-09,06:00:00,bef
2017-07-27 06:00:00,0.71,0.71,-0.0028000000000000004,2017-07-27,06:00:00,bef
2017-04-27 06:00:00,0.49,0.5,0.0121,2017-04-27,06:00:00,bef
2017-02-01 06:00:00,0.52,0.53,0.025099999999999997,2017-02-01,06:00:00,bef
2016-11-08 06:00:00,1.06,1.21,0.1458,2016-11-08,06:00:00,bef
2016-07-29 06:00:00,0.56,0.56,0.0125,2016-07-29,06:00:00,bef
2016-04-29 06:00:00,0.48,0.47,-0.0084,2016-04-29,06:00:00,bef
2016-01-29 06:00:00,0.44,0.44,0.0115,2016-01-29,06:00:00,bef
2015-07-31 06:00:00,0.59,0.62,0.0546,2015-07-31,06:00:00,bef
2015-04-24 06:00:00,0.52,0.58,0.11630000000000001,2015-04-24,06:00:00,bef
2015-01-30 06:00:00,0.51,0.51,-0.0019,2015-01-30,06:00:00,bef
2014-11-13 06:00:00,0.59,0.59,-0.0017000000000000001,2014-11-13,06:00:00,bef
