Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-19 06:00:00,2.54,2.59,0.0217,2022-07-19,06:00:00,bef
2022-04-19 06:00:00,2.56,2.67,0.041299999999999996,2022-04-19,06:00:00,bef
2022-01-25 06:00:00,2.12,2.13,0.0061,2022-01-25,06:00:00,bef
2021-10-19 06:00:00,2.35,2.6,0.1059,2021-10-19,06:00:00,bef
2021-07-21 06:00:00,2.27,2.48,0.0944,2021-07-21,06:00:00,bef
2021-04-20 06:00:00,2.34,2.59,0.10830000000000001,2021-04-20,06:00:00,bef
2021-01-26 06:00:00,1.82,1.86,0.021400000000000002,2021-01-26,06:00:00,bef
2020-10-13 06:00:00,1.98,2.2,0.1128,2020-10-13,06:00:00,bef
2020-07-16 06:00:00,1.5,1.67,0.11710000000000001,2020-07-16,06:00:00,bef
2020-04-14 06:00:00,2.0,2.3,0.1529,2020-04-14,06:00:00,bef
2020-01-22 06:00:00,1.87,1.88,0.0064,2020-01-22,06:00:00,bef
2019-10-15 06:00:00,2.01,2.12,0.0553,2019-10-15,06:00:00,bef
2019-07-16 06:00:00,2.46,2.58,0.0501,2019-07-16,06:00:00,bef
2019-04-16 06:00:00,2.04,2.1,0.0319,2019-04-16,06:00:00,bef
2019-01-22 06:00:00,1.95,1.97,0.0092,2019-01-22,06:00:00,bef
2018-10-16 06:00:00,2.03,2.05,0.0103,2018-10-16,06:00:00,bef
2018-07-17 06:00:00,2.07,2.1,0.014499999999999999,2018-07-17,06:00:00,bef
2018-04-17 06:00:00,2.02,2.06,0.020800000000000003,2018-04-17,06:00:00,bef
2018-01-23 06:00:00,1.72,1.74,0.0099,2018-01-23,06:00:00,bef
2017-10-17 06:00:00,1.8,1.9,0.054400000000000004,2017-10-17,06:00:00,bef
2017-07-18 06:00:00,1.8,1.83,0.0195,2017-07-18,06:00:00,bef
2017-04-18 06:00:00,1.77,1.83,0.0327,2017-04-18,06:00:00,bef
2017-01-24 06:00:00,1.56,1.58,0.0102,2017-01-24,06:00:00,bef
2016-10-18 06:00:00,1.66,1.68,0.0139,2016-10-18,06:00:00,bef
2016-07-19 06:00:00,1.68,1.74,0.0357,2016-07-19,06:00:00,bef
2016-04-19 06:00:00,1.65,1.68,0.0207,2016-04-19,06:00:00,bef
2016-01-26 06:00:00,1.42,1.44,0.0148,2016-01-26,06:00:00,bef
2015-10-13 07:00:00,1.45,1.49,0.0262,2015-10-13,07:00:00,bef
2015-07-14 07:00:00,1.67,1.71,0.0233,2015-07-14,07:00:00,bef
2015-04-14 07:00:00,1.54,1.56,0.013000000000000001,2015-04-14,07:00:00,bef
2015-01-20 07:00:00,1.25,1.27,0.012,2015-01-20,07:00:00,bef
2014-10-14 07:00:00,1.45,1.5,0.0381,2014-10-14,07:00:00,bef
2014-07-15 04:00:00,1.55,1.66,0.07200000000000001,2014-07-15,04:00:00,bef
2014-04-15 04:00:00,1.48,1.54,0.0429,2014-04-15,04:00:00,bef
2014-01-21 05:00:00,1.2,1.24,0.0326,2014-01-21,05:00:00,bef
2013-10-15 04:00:00,1.32,1.36,0.0278,2013-10-15,04:00:00,bef
2013-07-16 04:00:00,1.39,1.48,0.066,2013-07-16,04:00:00,bef
2013-04-16 04:00:00,1.4,1.44,0.0286,2013-04-16,04:00:00,bef
2013-01-22 05:00:00,1.17,1.19,0.0184,2013-01-22,05:00:00,bef
2012-10-16 04:00:00,1.21,1.25,0.0316,2012-10-16,04:00:00,bef
2012-07-17 04:00:00,1.29,1.3,0.0074,2012-07-17,04:00:00,bef
2012-04-17 04:00:00,1.35,1.37,0.0125,2012-04-17,04:00:00,bef
2012-01-24 05:00:00,1.09,1.13,0.0337,2012-01-24,05:00:00,bef
2011-10-18 04:00:00,1.21,1.24,0.0263,2011-10-18,04:00:00,bef
2011-07-19 04:00:00,1.24,1.28,0.0305,2011-07-19,04:00:00,bef
2011-04-19 04:00:00,1.26,1.35,0.0704,2011-04-19,04:00:00,bef
2011-01-25 05:00:00,1.03,1.03,0.0037,2011-01-25,05:00:00,bef
2010-10-19 04:00:00,1.15,1.23,0.0706,2010-10-19,04:00:00,bef
2010-07-20 04:00:00,1.21,1.21,0.0021,2010-07-20,04:00:00,bef
2010-04-20 04:00:00,1.27,1.29,0.0129,2010-04-20,04:00:00,bef
2010-01-26 05:00:00,0.97,1.02,0.0475,2010-01-26,05:00:00,bef
2009-10-13 04:00:00,1.13,1.2,0.0592,2009-10-13,04:00:00,bef
2009-07-14 04:00:00,1.12,1.15,0.030600000000000002,2009-07-14,04:00:00,bef
2009-04-14 04:00:00,1.22,1.26,0.0308,2009-04-14,04:00:00,bef
2009-01-20 05:00:00,0.92,0.94,0.021,2009-01-20,05:00:00,bef
2008-10-14 04:00:00,1.11,1.17,0.051500000000000004,2008-10-14,04:00:00,bef
2008-07-15 04:00:00,1.12,1.18,0.050199999999999995,2008-07-15,04:00:00,bef
2008-04-15 04:00:00,1.2,1.26,0.0467,2008-04-15,04:00:00,bef
2008-01-22 05:00:00,0.86,0.88,0.0201,2008-01-22,05:00:00,bef
2007-10-16 04:00:00,0.99,1.06,0.06559999999999999,2007-10-16,04:00:00,bef
2007-07-17 04:00:00,1.0,1.05,0.05,2007-07-17,04:00:00,bef
2007-04-17 04:00:00,1.05,1.16,0.1038,2007-04-17,04:00:00,bef
2007-01-23 05:00:00,0.79,0.81,0.0192,2007-01-23,05:00:00,bef
2006-10-17 04:00:00,0.93,0.98,0.0563,2006-10-17,04:00:00,bef
2006-07-18 04:00:00,0.97,0.98,0.008,2006-07-18,04:00:00,bef
2006-04-18 04:00:00,0.98,0.99,0.0072,2006-04-18,04:00:00,bef
2006-01-24 05:00:00,0.73,0.73,0.0058,2006-01-24,05:00:00,bef
2005-10-18 04:00:00,0.86,0.87,0.013999999999999999,2005-10-18,04:00:00,bef
2005-07-19 04:00:00,0.91,0.93,0.023100000000000002,2005-07-19,04:00:00,bef
2005-04-19 04:00:00,0.92,0.97,0.052300000000000006,2005-04-19,04:00:00,bef
2005-01-25 05:00:00,0.64,0.67,0.046900000000000004,2005-01-25,05:00:00,bef
2004-10-12 04:00:00,0.76,0.78,0.029300000000000003,2004-10-12,04:00:00,bef
2004-07-13 04:00:00,0.79,0.82,0.038,2004-07-13,04:00:00,bef
2004-04-13 04:00:00,0.8,0.83,0.0421,2004-04-13,04:00:00,bef
2004-01-20 05:00:00,0.56,0.57,0.0124,2004-01-20,05:00:00,bef
2003-10-14 04:00:00,0.68,0.69,0.01,2003-10-14,04:00:00,bef
2003-07-15 04:00:00,0.69,0.7,0.0096,2003-07-15,04:00:00,bef
2003-04-15 04:00:00,0.68,0.69,0.0209,2003-04-15,04:00:00,bef
2003-01-21 05:00:00,0.47,0.46,-0.0242,2003-01-21,05:00:00,bef
2002-10-15 04:00:00,0.59,0.57,-0.0357,2002-10-15,04:00:00,bef
2002-07-16 04:00:00,0.58,0.6,0.0305,2002-07-16,04:00:00,bef
2002-04-16 04:00:00,0.58,0.59,0.0192,2002-04-16,04:00:00,bef
2002-01-22 05:00:00,0.39,0.39,0.008199999999999999,2002-01-22,05:00:00,bef
2001-10-16 04:00:00,0.48,0.5,0.0351,2001-10-16,04:00:00,bef
2001-07-17 04:00:00,0.53,0.51,-0.0386,2001-07-17,04:00:00,bef
2001-04-17 04:00:00,0.52,0.5,-0.0365,2001-04-17,04:00:00,bef
2001-01-23 05:00:00,0.32,0.33,0.0202,2001-01-23,05:00:00,bef
2000-10-17 04:00:00,0.44,0.45,0.008199999999999999,2000-10-17,04:00:00,bef
2000-07-18 04:00:00,0.46,0.47,0.0206,2000-07-18,04:00:00,bef
2000-04-18 04:00:00,0.45,0.47,0.0234,2000-04-18,04:00:00,bef
2000-01-25 05:00:00,0.28,0.28,0.011000000000000001,2000-01-25,05:00:00,bef
1999-10-19 04:00:00,0.39,0.4,0.0245,1999-10-19,04:00:00,bef
1999-07-20 04:00:00,0.41,0.42,0.026000000000000002,1999-07-20,04:00:00,bef
1999-04-20 04:00:00,0.4,0.41,0.018600000000000002,1999-04-20,04:00:00,bef
1999-01-26 05:00:00,0.25,0.25,-0.005200000000000001,1999-01-26,05:00:00,bef
1998-10-13 04:00:00,0.35,0.35,0.0037,1998-10-13,04:00:00,bef
1998-07-14 04:00:00,0.37,0.38,0.0181,1998-07-14,04:00:00,bef
1998-04-14 04:00:00,0.37,0.37,-0.005,1998-04-14,04:00:00,bef
1998-01-20 05:00:00,0.23,0.24,0.001,1998-01-20,05:00:00,bef
1997-10-14 04:00:00,0.32,0.32,-0.0011,1997-10-14,04:00:00,bef
1997-07-15 04:00:00,0.34,0.34,-0.0026000000000000003,1997-07-15,04:00:00,bef
1997-04-15 04:00:00,0.34,0.34,0.0042,1997-04-15,04:00:00,bef
1997-01-21 05:00:00,0.21,0.21,0.0173,1997-01-21,05:00:00,bef
1996-10-16 04:00:00,0.28,0.28,0.0096,1996-10-16,04:00:00,bef
1996-07-16 04:00:00,0.29,0.3,0.0223,1996-07-16,04:00:00,bef
1996-04-16 04:00:00,0.29,0.3,0.0202,1996-04-16,04:00:00,bef
1996-01-24 05:00:00,0.17,0.18,0.059800000000000006,1996-01-24,05:00:00,bef
1995-10-18 04:00:00,0.24,0.24,0.014499999999999999,1995-10-18,04:00:00,bef
1995-07-18 04:00:00,0.25,0.26,0.0271,1995-07-18,04:00:00,bef
1995-04-18 04:00:00,0.24,0.26,0.0697,1995-04-18,04:00:00,bef
1995-01-24 05:00:00,0.15,0.15,0.005699999999999999,1995-01-24,05:00:00,bef
1994-10-19 04:00:00,0.2,0.21,0.045899999999999996,1994-10-19,04:00:00,bef
1994-07-20 04:00:00,0.21,0.22,0.0309,1994-07-20,04:00:00,bef
1994-04-28 04:00:00,0.21,0.21,0.0013000000000000002,1994-04-28,04:00:00,bef
1994-02-01 05:00:00,0.13,0.13,-0.0151,1994-02-01,05:00:00,bef
1993-10-20 04:00:00,0.17,0.18,0.0106,1993-10-20,04:00:00,bef
1993-07-22 04:00:00,0.19,0.19,-0.0234,1993-07-22,04:00:00,bef
1993-04-29 04:00:00,0.19,0.19,0.0008,1993-04-29,04:00:00,bef
1993-02-02 05:00:00,0.12,0.12,-0.0271,1993-02-02,05:00:00,bef
