Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 16:00:00,0.45,0.42,-0.058300000000000005,2022-07-26,16:00:00,aft
2022-04-26 16:00:00,0.32,0.31,-0.019,2022-04-26,16:00:00,aft
2022-01-27 16:00:00,0.53,0.56,0.0546,2022-01-27,16:00:00,aft
2021-10-26 16:00:00,0.46,0.46,0.0022,2021-10-26,16:00:00,aft
2021-07-27 16:00:00,0.39,0.43,0.11109999999999999,2021-07-27,16:00:00,aft
2021-04-27 16:00:00,0.25,0.3,0.1858,2021-04-27,16:00:00,aft
2021-01-28 16:00:00,0.53,0.55,0.0358,2021-01-28,16:00:00,aft
2020-10-27 16:00:00,0.43,0.43,-0.0092,2020-10-27,16:00:00,aft
2020-07-28 16:00:00,0.34,0.35,0.026400000000000003,2020-07-28,16:00:00,aft
2020-04-28 16:00:00,0.25,0.23,-0.0837,2020-04-28,16:00:00,aft
2020-01-27 16:00:00,0.57,0.58,0.0087,2020-01-27,16:00:00,aft
2019-10-24 16:00:00,0.46,0.48,0.039,2019-10-24,16:00:00,aft
2019-07-25 16:00:00,0.4,0.4,0.0076,2019-07-25,16:00:00,aft
2019-04-25 16:00:00,0.21,0.26,0.22640000000000002,2019-04-25,16:00:00,aft
2019-01-29 16:00:00,0.57,0.59,0.0369,2019-01-29,16:00:00,aft
2018-10-23 16:00:00,0.45,0.54,0.21350000000000002,2018-10-23,16:00:00,aft
2018-07-26 16:00:00,0.44,0.48,0.0959,2018-07-26,16:00:00,aft
2018-05-01 16:00:00,0.26,0.28,0.098,2018-05-01,16:00:00,aft
2018-01-30 16:00:00,0.52,0.53,0.0212,2018-01-30,16:00:00,aft
2017-10-24 16:00:00,0.55,0.55,0.0055000000000000005,2017-10-24,16:00:00,aft
2017-07-25 16:00:00,0.54,0.57,0.0497,2017-07-25,16:00:00,aft
2017-04-25 16:00:00,0.42,0.46,0.09,2017-04-25,16:00:00,aft
2017-01-26 16:00:00,0.63,0.66,0.0443,2017-01-26,16:00:00,aft
2016-10-25 16:00:00,0.52,0.58,0.1219,2016-10-25,16:00:00,aft
2016-07-26 16:00:00,0.47,0.5,0.0638,2016-07-26,16:00:00,aft
2016-04-28 16:00:00,0.38,0.37,-0.0365,2016-04-28,16:00:00,aft
2016-01-27 16:00:00,0.6,0.63,0.0588,2016-01-27,16:00:00,aft
2015-10-22 16:00:00,0.53,0.57,0.0714,2015-10-22,16:00:00,aft
2015-07-23 16:00:00,0.4,0.53,0.3119,2015-07-23,16:00:00,aft
2015-04-23 16:00:00,0.31,0.32,0.0458,2015-04-23,16:00:00,aft
2015-01-27 16:00:00,0.31,0.41,0.3312,2015-01-27,16:00:00,aft
2014-10-23 16:00:00,0.35,0.36,0.0169,2014-10-23,16:00:00,aft
2014-07-22 04:00:00,0.38,0.4,0.0593,2014-07-22,04:00:00,bef
2014-04-22 04:00:00,0.29,0.29,0.0021,2014-04-22,04:00:00,bef
2014-01-23 05:00:00,0.37,0.43,0.17190000000000003,2014-01-23,05:00:00,bef
2013-10-22 04:00:00,0.31,0.33,0.061,2013-10-22,04:00:00,bef
2013-07-23 04:00:00,0.25,0.29,0.1572,2013-07-23,04:00:00,bef
2013-04-23 04:00:00,0.21,0.21,-0.0173,2013-04-23,04:00:00,bef
2013-01-24 05:00:00,0.22,0.28,0.2882,2013-01-24,05:00:00,bef
2012-10-23 04:00:00,0.17,0.22,0.26230000000000003,2012-10-23,04:00:00,bef
2012-07-24 04:00:00,0.16,0.19,0.1565,2012-07-24,04:00:00,bef
2012-04-24 04:00:00,0.13,0.16,0.2036,2012-04-24,04:00:00,bef
2012-01-26 05:00:00,0.28,0.28,0.0051,2012-01-26,05:00:00,bef
2011-10-18 04:00:00,0.28,0.28,0.0097,2011-10-18,04:00:00,bef
2011-07-26 04:00:00,0.33,0.31,-0.0739,2011-07-26,04:00:00,bef
2011-04-19 04:00:00,0.32,0.32,0.011399999999999999,2011-04-19,04:00:00,bef
2011-01-25 05:00:00,0.37,0.39,0.060599999999999994,2011-01-25,05:00:00,bef
2010-10-19 04:00:00,0.32,0.32,0.0117,2010-10-19,04:00:00,bef
2010-07-20 04:00:00,0.29,0.3,0.044500000000000005,2010-07-20,04:00:00,bef
