Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-17 16:00:00,1.79,2.01,0.1261,2022-08-17,16:00:00,aft
2022-05-17 16:00:00,1.68,1.83,0.0925,2022-05-17,16:00:00,aft
2022-02-17 16:00:00,1.55,1.65,0.0625,2022-02-17,16:00:00,aft
2021-11-22 16:00:00,1.64,1.82,0.1077,2021-11-22,16:00:00,aft
2021-08-18 16:00:00,1.44,1.54,0.0687,2021-08-18,16:00:00,aft
2021-05-19 16:00:00,1.34,1.44,0.0762,2021-05-19,16:00:00,aft
2021-02-18 16:00:00,1.37,1.43,0.043,2021-02-18,16:00:00,aft
2020-11-18 16:00:00,1.46,1.62,0.1103,2020-11-18,16:00:00,aft
2020-08-20 16:00:00,0.83,1.19,0.4269,2020-08-20,16:00:00,aft
2020-05-26 16:00:00,1.16,0.78,-0.32530000000000003,2020-05-26,16:00:00,aft
2020-02-24 16:00:00,1.08,1.26,0.1721,2020-02-24,16:00:00,aft
2019-11-26 16:00:00,1.18,1.33,0.13,2019-11-26,16:00:00,aft
2019-08-21 16:00:00,1.02,1.25,0.22190000000000001,2019-08-21,16:00:00,aft
2019-05-29 16:00:00,0.99,1.22,0.2386,2019-05-29,16:00:00,aft
2019-02-21 16:00:00,0.8,0.93,0.1582,2019-02-21,16:00:00,aft
2018-11-20 16:00:00,0.91,1.01,0.11599999999999999,2018-11-20,16:00:00,aft
2018-08-21 16:00:00,0.79,0.89,0.12369999999999999,2018-08-21,16:00:00,aft
2018-03-01 16:00:00,0.39,0.51,0.3247,2018-03-01,16:00:00,aft
2017-12-06 16:00:00,0.64,0.71,0.1042,2017-12-06,16:00:00,aft
2017-08-30 16:00:00,0.6,0.61,0.0201,2017-08-30,16:00:00,aft
2017-06-06 16:00:00,0.55,0.64,0.1552,2017-06-06,16:00:00,aft
2017-02-16 16:00:00,0.56,0.57,0.0106,2017-02-16,16:00:00,aft
2016-11-17 16:00:00,0.64,0.64,0.0063,2016-11-17,16:00:00,aft
2016-08-17 16:00:00,0.6,0.63,0.057,2016-08-17,16:00:00,aft
2016-05-19 16:00:00,0.56,0.61,0.0816,2016-05-19,16:00:00,aft
2016-02-18 16:00:00,0.49,0.55,0.12240000000000001,2016-02-18,16:00:00,aft
2015-11-19 16:00:00,0.64,0.71,0.11810000000000001,2015-11-19,16:00:00,aft
2015-08-19 16:00:00,0.46,0.55,0.20879999999999999,2015-08-19,16:00:00,aft
2015-05-19 16:00:00,0.65,0.7,0.07690000000000001,2015-05-19,16:00:00,aft
2015-02-19 16:00:00,0.49,0.56,0.1429,2015-02-19,16:00:00,aft
2014-11-17 16:00:00,0.77,0.75,-0.0298,2014-11-17,16:00:00,aft
