Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-18 16:00:00,0.52,0.54,0.0385,2022-08-18,16:00:00,aft
2022-07-21 06:00:00,0.52,0.54,0.0425,2022-07-21,06:00:00,bef
2022-04-21 06:00:00,0.49,0.45,-0.07980000000000001,2022-04-21,06:00:00,bef
2022-01-20 06:00:00,0.57,0.64,0.12869999999999998,2022-01-20,06:00:00,bef
2021-10-21 06:00:00,0.57,0.66,0.15990000000000001,2021-10-21,06:00:00,bef
2021-07-20 06:00:00,0.54,0.73,0.3569,2021-07-20,06:00:00,bef
2021-04-20 06:00:00,0.48,0.61,0.2735,2021-04-20,06:00:00,bef
2021-01-21 06:00:00,0.43,0.57,0.32560000000000006,2021-01-21,06:00:00,bef
2020-10-21 06:00:00,0.37,0.41,0.11720000000000001,2020-10-21,06:00:00,bef
2020-07-22 06:00:00,0.08,0.17,1.0732,2020-07-22,06:00:00,bef
2020-04-16 06:00:00,0.18,0.12,-0.337,2020-04-16,06:00:00,bef
2020-01-23 06:00:00,0.48,0.48,-0.0062,2020-01-23,06:00:00,bef
2019-10-17 06:00:00,0.46,0.38,-0.1739,2019-10-17,06:00:00,bef
2019-07-23 06:00:00,0.44,0.4,-0.0888,2019-07-23,06:00:00,bef
2019-04-18 06:00:00,0.41,0.38,-0.07769999999999999,2019-04-18,06:00:00,bef
2019-01-17 06:00:00,0.47,0.48,0.0148,2019-01-17,06:00:00,bef
2018-10-18 06:00:00,0.45,0.45,0.011200000000000002,2018-10-18,06:00:00,bef
2018-07-19 06:00:00,0.42,0.44,0.057699999999999994,2018-07-19,06:00:00,bef
2018-01-18 06:00:00,0.36,0.33,-0.073,2018-01-18,06:00:00,bef
2017-10-19 06:00:00,0.35,0.32,-0.0883,2017-10-19,06:00:00,bef
2017-07-20 06:00:00,0.34,0.36,0.0746,2017-07-20,06:00:00,bef
2017-04-20 06:00:00,0.28,0.27,-0.0391,2017-04-20,06:00:00,bef
2017-01-19 06:00:00,0.29,0.31,0.0653,2017-01-19,06:00:00,bef
2016-10-25 06:00:00,0.26,0.3,0.14070000000000002,2016-10-25,06:00:00,bef
2016-07-26 06:00:00,0.27,0.27,-0.0146,2016-07-26,06:00:00,bef
2016-04-21 06:00:00,0.25,0.24,-0.047599999999999996,2016-04-21,06:00:00,bef
2016-01-21 06:00:00,0.28,0.27,-0.0391,2016-01-21,06:00:00,bef
2015-10-15 06:00:00,0.27,0.26,-0.0226,2015-10-15,06:00:00,bef
2015-07-16 06:00:00,0.28,0.27,-0.0253,2015-07-16,06:00:00,bef
2015-04-16 06:00:00,0.26,0.26,-0.011399999999999999,2015-04-16,06:00:00,bef
2015-01-22 06:00:00,0.26,0.28,0.08109999999999999,2015-01-22,06:00:00,bef
2014-10-15 06:00:00,0.26,0.23,-0.10160000000000001,2014-10-15,06:00:00,bef
2014-07-17 04:00:00,0.25,0.24,-0.058600000000000006,2014-07-17,04:00:00,bef
2014-04-17 04:00:00,0.24,0.26,0.0818,2014-04-17,04:00:00,bef
2014-01-23 05:00:00,0.24,0.25,0.0366,2014-01-23,05:00:00,bef
2013-10-16 04:00:00,0.22,0.19,-0.1445,2013-10-16,04:00:00,bef
2013-07-18 04:00:00,0.2,0.22,0.1165,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,0.2,0.22,0.1274,2013-04-18,04:00:00,bef
2013-01-24 05:00:00,0.21,0.22,0.0432,2013-01-24,05:00:00,bef
2012-10-18 04:00:00,0.21,0.23,0.1079,2012-10-18,04:00:00,bef
2012-07-19 04:00:00,0.18,0.24,0.30710000000000004,2012-07-19,04:00:00,bef
2012-04-19 04:00:00,0.19,0.2,0.0444,2012-04-19,04:00:00,bef
2012-01-24 05:00:00,0.2,0.2,-0.0098,2012-01-24,05:00:00,bef
2011-10-20 04:00:00,0.21,0.22,0.0517,2011-10-20,04:00:00,bef
2011-07-19 04:00:00,0.2,0.25,0.24960000000000002,2011-07-19,04:00:00,bef
2011-04-18 04:00:00,0.15,0.19,0.245,2011-04-18,04:00:00,bef
2011-01-25 05:00:00,0.13,0.32,1.4512,2011-01-25,05:00:00,bef
2010-10-22 04:00:00,0.03,0.2,5.6313,2010-10-22,04:00:00,bef
2010-07-22 04:00:00,-0.11,0.03,1.2706,2010-07-22,04:00:00,bef
2010-04-21 04:00:00,-0.3,-0.11,0.6273,2010-04-21,04:00:00,bef
2010-01-21 05:00:00,-0.4,-0.3,0.2413,2010-01-21,05:00:00,bef
2009-10-21 04:00:00,-0.41,-0.52,-0.2657,2009-10-21,04:00:00,bef
2009-07-22 04:00:00,-0.41,-0.68,-0.6609999999999999,2009-07-22,04:00:00,bef
2009-04-21 04:00:00,-0.21,-1.09,-4.2987,2009-04-21,04:00:00,bef
