Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-09-09 08:00:00,0.83,0.9,0.0883,2022-09-09,08:00:00,bef
2022-06-16 08:00:00,1.3,1.45,0.11800000000000001,2022-06-16,08:00:00,bef
2022-03-03 08:00:00,0.74,0.91,0.2347,2022-03-03,08:00:00,bef
2021-12-02 08:00:00,0.66,0.78,0.1765,2021-12-02,08:00:00,bef
2021-09-10 08:00:00,0.64,0.8,0.2461,2021-09-10,08:00:00,bef
2021-06-17 08:00:00,1.01,1.19,0.1794,2021-06-17,08:00:00,bef
2021-03-04 08:00:00,0.69,0.81,0.1808,2021-03-04,08:00:00,bef
2020-12-03 08:00:00,0.67,0.71,0.0645,2020-12-03,08:00:00,bef
2020-09-11 08:00:00,0.55,0.73,0.3321,2020-09-11,08:00:00,bef
2020-06-18 07:00:00,1.09,1.22,0.12240000000000001,2020-06-18,07:00:00,bef
2020-03-05 08:00:00,0.55,0.57,0.028900000000000002,2020-03-05,08:00:00,bef
2019-12-05 07:00:00,0.48,0.47,-0.028900000000000002,2019-12-05,07:00:00,bef
2019-11-05 05:00:00,0.48,0.47,-0.019,2019-11-05,05:00:00,bef
2019-09-12 08:00:00,0.41,0.44,0.0654,2019-09-12,08:00:00,bef
2019-06-20 08:00:00,0.71,0.72,0.0098,2019-06-20,08:00:00,bef
2019-03-07 07:00:00,0.52,0.48,-0.084,2019-03-07,07:00:00,bef
2018-12-06 08:00:00,0.43,0.48,0.11109999999999999,2018-12-06,08:00:00,bef
2018-09-13 07:00:00,0.38,0.41,0.08470000000000001,2018-09-13,07:00:00,bef
2018-06-21 07:00:00,0.63,0.73,0.1606,2018-06-21,07:00:00,bef
2018-03-08 07:00:00,0.63,0.63,0.0048,2018-03-08,07:00:00,bef
2017-11-30 07:00:00,0.4,0.44,0.10550000000000001,2017-11-30,07:00:00,bef
2017-09-08 07:00:00,0.39,0.39,-0.0051,2017-09-08,07:00:00,bef
2017-06-15 07:00:00,0.57,0.58,0.0087,2017-06-15,07:00:00,bef
2017-03-02 07:00:00,0.52,0.53,0.0192,2017-03-02,07:00:00,bef
2016-12-01 08:00:00,0.41,0.41,0.0024,2016-12-01,08:00:00,bef
2016-09-09 07:00:00,0.45,0.47,0.0444,2016-09-09,07:00:00,bef
2016-06-16 08:00:00,0.69,0.7,0.016,2016-06-16,08:00:00,bef
2016-03-03 08:00:00,0.54,0.57,0.0478,2016-03-03,08:00:00,bef
2015-12-03 08:00:00,0.39,0.43,0.09970000000000001,2015-12-03,08:00:00,bef
2015-09-11 08:00:00,0.4,0.44,0.1139,2015-09-11,08:00:00,bef
2015-06-18 08:00:00,0.61,0.63,0.027999999999999997,2015-06-18,08:00:00,bef
2015-03-05 08:00:00,0.45,0.52,0.153,2015-03-05,08:00:00,bef
2014-12-04 08:00:00,0.31,0.35,0.12380000000000001,2014-12-04,08:00:00,bef
2014-09-11 08:00:00,0.35,0.35,0.0086,2014-09-11,08:00:00,bef
2014-06-19 04:00:00,0.52,0.55,0.0408,2014-06-19,04:00:00,bef
2014-03-06 05:00:00,0.36,0.39,0.0781,2014-03-06,05:00:00,bef
2013-12-05 05:00:00,0.27,0.27,-0.0032,2013-12-05,05:00:00,bef
2013-09-12 04:00:00,0.3,0.3,0.0068000000000000005,2013-09-12,04:00:00,bef
2013-06-20 04:00:00,0.44,0.46,0.042,2013-06-20,04:00:00,bef
2013-03-07 05:00:00,0.35,0.35,0.0007000000000000001,2013-03-07,05:00:00,bef
2012-11-29 05:00:00,0.21,0.23,0.07690000000000001,2012-11-29,05:00:00,bef
2012-09-07 04:00:00,0.25,0.26,0.0355,2012-09-07,04:00:00,bef
2012-06-14 04:00:00,0.36,0.39,0.0781,2012-06-14,04:00:00,bef
2012-03-01 05:00:00,0.25,0.25,0.0182,2012-03-01,05:00:00,bef
2011-12-01 05:00:00,0.16,0.17,0.045,2011-12-01,05:00:00,bef
2011-09-09 04:00:00,0.22,0.23,0.0625,2011-09-09,04:00:00,bef
2011-06-16 04:00:00,0.32,0.35,0.1018,2011-06-16,04:00:00,bef
2011-03-03 05:00:00,0.22,0.23,0.0514,2011-03-03,05:00:00,bef
2010-12-02 05:00:00,0.16,0.16,-0.0018,2010-12-02,05:00:00,bef
2010-09-14 04:00:00,0.18,0.21,0.1389,2010-09-14,04:00:00,bef
2010-06-17 04:00:00,0.27,0.29,0.0788,2010-06-17,04:00:00,bef
2010-03-09 05:00:00,0.17,0.2,0.1527,2010-03-09,05:00:00,bef
2009-12-08 05:00:00,0.18,0.14,-0.26030000000000003,2009-12-08,05:00:00,bef
2009-09-15 04:00:00,0.22,0.2,-0.1034,2009-09-15,04:00:00,bef
2009-06-23 04:00:00,0.31,0.33,0.0761,2009-06-23,04:00:00,bef
2009-03-10 04:00:00,0.26,0.27,0.0291,2009-03-10,04:00:00,bef
2008-12-09 05:00:00,0.19,0.2,0.0181,2008-12-09,05:00:00,bef
2008-09-16 04:00:00,0.2,0.21,0.0265,2008-09-16,04:00:00,bef
2008-06-24 04:00:00,0.28,0.29,0.0507,2008-06-24,04:00:00,bef
2008-03-11 04:00:00,0.23,0.24,0.0259,2008-03-11,04:00:00,bef
2007-12-11 05:00:00,0.17,0.19,0.0591,2007-12-11,05:00:00,bef
2007-09-18 04:00:00,0.17,0.19,0.1202,2007-09-18,04:00:00,bef
2007-06-26 04:00:00,0.24,0.25,0.0143,2007-06-26,04:00:00,bef
2007-03-13 04:00:00,0.22,0.26,0.1461,2007-03-13,04:00:00,bef
2006-12-05 05:00:00,0.14,0.15,0.0844,2006-12-05,05:00:00,bef
2006-09-12 04:00:00,0.15,0.14,-0.005699999999999999,2006-09-12,04:00:00,bef
2006-06-20 04:00:00,0.21,0.21,-0.010900000000000002,2006-06-20,04:00:00,bef
2006-03-07 05:00:00,0.18,0.2,0.09640000000000001,2006-03-07,05:00:00,bef
2005-12-06 05:00:00,0.13,0.13,-0.0113,2005-12-06,05:00:00,bef
2005-09-13 04:00:00,0.13,0.14,0.0031,2005-09-13,04:00:00,bef
2005-06-21 04:00:00,0.17,0.2,0.161,2005-06-21,04:00:00,bef
2005-03-08 05:00:00,0.17,0.14,-0.1895,2005-03-08,05:00:00,bef
2004-12-07 05:00:00,0.12,0.1,-0.189,2004-12-07,05:00:00,bef
2004-09-14 04:00:00,0.13,0.11,-0.2198,2004-09-14,04:00:00,bef
2004-06-22 04:00:00,0.17,0.18,0.0294,2004-06-22,04:00:00,bef
2004-03-09 05:00:00,0.11,0.12,0.0575,2004-03-09,05:00:00,bef
2003-12-09 05:00:00,0.15,0.08,-0.4853,2003-12-09,05:00:00,bef
2003-09-16 04:00:00,0.16,0.16,-0.0313,2003-09-16,04:00:00,bef
2003-06-24 04:00:00,0.22,0.23,0.0255,2003-06-24,04:00:00,bef
2003-03-11 05:00:00,0.24,0.25,0.0032,2003-03-11,05:00:00,bef
2002-12-10 05:00:00,0.17,0.17,-0.0025,2002-12-10,05:00:00,bef
2002-09-17 04:00:00,0.19,0.18,-0.0613,2002-09-17,04:00:00,bef
2002-06-25 04:00:00,0.22,0.24,0.08470000000000001,2002-06-25,04:00:00,bef
2002-03-12 05:00:00,0.23,0.24,0.0092,2002-03-12,05:00:00,bef
2001-12-11 05:00:00,0.16,0.16,0.0074,2001-12-11,05:00:00,bef
2001-09-19 04:00:00,0.16,0.16,0.0037,2001-09-19,04:00:00,bef
2001-06-26 04:00:00,0.19,0.19,-0.004,2001-06-26,04:00:00,bef
2001-03-15 05:00:00,0.24,0.24,0.0042,2001-03-15,05:00:00,bef
2000-09-12 04:00:00,0.14,0.14,0.0048,2000-09-12,04:00:00,bef
2000-06-20 04:00:00,0.16,0.17,0.0362,2000-06-20,04:00:00,bef
2000-03-09 05:00:00,0.19,0.2,0.0139,2000-03-09,05:00:00,bef
1999-01-28 05:00:00,0.16,0.17,0.037200000000000004,1999-01-28,05:00:00,bef
1998-10-19 04:00:00,0.11,0.12,0.0726,1998-10-19,04:00:00,bef
1998-07-15 04:00:00,0.12,0.12,0.0213,1998-07-15,04:00:00,bef
