Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 06:00:00,1.56,1.59,0.0173,2022-08-02,06:00:00,bef
2022-05-03 06:00:00,1.5,1.58,0.0512,2022-05-03,06:00:00,bef
2022-02-15 06:00:00,1.6,1.56,-0.0232,2022-02-15,06:00:00,bef
2021-11-02 06:00:00,1.62,1.8,0.1118,2021-11-02,06:00:00,bef
2021-08-03 06:00:00,1.58,1.52,-0.0386,2021-08-03,06:00:00,bef
2021-05-04 06:00:00,1.48,1.73,0.1681,2021-05-04,06:00:00,bef
2021-02-23 06:00:00,1.62,1.63,0.009300000000000001,2021-02-23,06:00:00,bef
2020-11-02 06:00:00,1.24,1.47,0.19030000000000002,2020-11-02,06:00:00,bef
2020-08-04 06:00:00,1.09,1.55,0.4194,2020-08-04,06:00:00,bef
2020-05-05 06:00:00,1.23,1.19,-0.0294,2020-05-05,06:00:00,bef
2020-02-18 06:00:00,1.35,1.51,0.1227,2020-02-18,06:00:00,bef
2019-10-29 06:00:00,1.19,1.36,0.14,2019-10-29,06:00:00,bef
2019-07-30 06:00:00,1.11,1.16,0.0422,2019-07-30,06:00:00,bef
2019-04-30 06:00:00,1.0,1.13,0.13,2019-04-30,06:00:00,bef
2019-02-19 06:00:00,1.07,1.1,0.03,2019-02-19,06:00:00,bef
2018-10-25 06:00:00,1.11,1.14,0.024300000000000002,2018-10-25,06:00:00,bef
2018-07-26 06:00:00,1.06,1.12,0.0546,2018-07-26,06:00:00,bef
2018-05-03 06:00:00,1.03,1.03,0.0029,2018-05-03,06:00:00,bef
2018-02-22 07:00:00,0.85,0.87,0.0296,2018-02-22,07:00:00,bef
2017-11-02 05:00:00,0.82,0.95,0.1656,2017-11-02,05:00:00,bef
2017-08-03 06:00:00,0.8,1.04,0.3049,2017-08-03,06:00:00,bef
2017-05-04 06:00:00,0.79,0.88,0.1139,2017-05-04,06:00:00,bef
2017-02-23 06:00:00,0.83,0.75,-0.0953,2017-02-23,06:00:00,bef
2016-11-03 06:00:00,0.96,1.25,0.3007,2016-11-03,06:00:00,bef
2016-07-28 06:00:00,0.73,0.68,-0.0646,2016-07-28,06:00:00,bef
2016-04-27 06:00:00,0.68,0.77,0.13570000000000002,2016-04-27,06:00:00,bef
2016-02-18 06:00:00,0.66,0.78,0.1908,2016-02-18,06:00:00,bef
2015-10-29 07:00:00,0.66,0.71,0.084,2015-10-29,07:00:00,bef
2015-08-05 06:00:00,0.57,0.73,0.28300000000000003,2015-08-05,06:00:00,bef
2015-05-12 06:00:00,0.59,0.65,0.098,2015-05-12,06:00:00,bef
2015-03-23 04:00:00,0.48,0.68,0.42560000000000003,2015-03-23,04:00:00,bef
2014-12-03 05:00:00,0.52,0.65,0.23940000000000003,2014-12-03,05:00:00,bef
2014-09-09 04:00:00,0.62,0.61,-0.009000000000000001,2014-09-09,04:00:00,bef
2014-06-04 04:00:00,0.54,0.59,0.0999,2014-06-04,04:00:00,bef
2014-03-27 04:00:00,0.45,0.56,0.2441,2014-03-27,04:00:00,bef
2013-12-10 05:00:00,0.14,-0.11,-1.8029,2013-12-10,05:00:00,bef
2013-09-04 04:00:00,0.87,0.52,-0.399,2013-09-04,04:00:00,bef
2013-06-03 04:00:00,1.02,1.16,0.1393,2013-06-03,04:00:00,bef
2013-03-26 04:00:00,2.06,2.16,0.0495,2013-03-26,04:00:00,bef
2012-12-05 05:00:00,1.37,1.32,-0.0381,2012-12-05,05:00:00,bef
2012-08-30 04:00:00,1.31,1.36,0.0408,2012-08-30,04:00:00,bef
2012-05-31 04:00:00,1.31,1.4,0.0699,2012-05-31,04:00:00,bef
2012-03-20 04:00:00,1.35,-1.96,-2.4483,2012-03-20,04:00:00,bef
2011-12-06 05:00:00,1.36,1.4,0.0294,2011-12-06,05:00:00,bef
2011-08-31 04:00:00,1.4,1.28,-0.08750000000000001,2011-08-31,04:00:00,bef
2011-06-02 04:00:00,1.31,1.44,0.0976,2011-06-02,04:00:00,bef
2011-03-23 04:00:00,1.18,1.44,0.2245,2011-03-23,04:00:00,bef
2010-12-08 05:00:00,1.39,1.64,0.17989999999999998,2010-12-08,05:00:00,bef
2010-09-01 04:00:00,1.33,1.68,0.2668,2010-09-01,04:00:00,bef
2010-06-03 04:00:00,1.24,1.28,0.0323,2010-06-03,04:00:00,bef
2010-03-30 04:00:00,1.29,1.24,-0.0356,2010-03-30,04:00:00,bef
2009-12-08 05:00:00,1.32,1.36,0.0327,2009-12-08,05:00:00,bef
2009-09-02 04:00:00,1.22,1.24,0.0192,2009-09-02,04:00:00,bef
2009-06-03 04:00:00,1.06,1.16,0.0928,2009-06-03,04:00:00,bef
2009-03-25 04:00:00,1.14,1.2,0.0512,2009-03-25,04:00:00,bef
2008-12-09 05:00:00,1.18,1.16,-0.0146,2008-12-09,05:00:00,bef
2008-06-03 04:00:00,0.9,1.0,0.1128,2008-06-03,04:00:00,bef
2008-03-25 04:00:00,0.88,1.0,0.1396,2008-03-25,04:00:00,bef
2007-12-10 05:00:00,0.92,1.04,0.1304,2007-12-10,05:00:00,bef
2007-09-06 04:00:00,0.82,0.96,0.165,2007-09-06,04:00:00,bef
2007-06-06 04:00:00,0.79,0.72,-0.0836,2007-06-06,04:00:00,bef
2007-04-11 04:00:00,0.68,0.8,0.1814,2007-04-11,04:00:00,bef
2006-12-12 05:00:00,0.93,1.04,0.12,2006-12-12,05:00:00,bef
