Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 07:00:00,4.7,4.95,0.0534,2022-07-28,07:00:00,bef
2022-04-28 06:00:00,5.98,6.11,0.022400000000000003,2022-04-28,06:00:00,bef
2022-02-10 07:00:00,5.8,6.77,0.16820000000000002,2022-02-10,07:00:00,bef
2021-10-28 06:00:00,4.92,6.82,0.387,2021-10-28,06:00:00,bef
2021-07-29 07:00:00,5.53,6.13,0.10890000000000001,2021-07-29,07:00:00,bef
2021-04-29 06:00:00,7.43,8.79,0.1829,2021-04-29,06:00:00,bef
2021-02-11 06:00:00,8.11,10.56,0.3023,2021-02-11,06:00:00,bef
2020-10-27 06:00:00,5.31,8.41,0.5853,2020-10-27,06:00:00,bef
2020-07-28 06:00:00,1.0,2.57,1.5829,2020-07-28,06:00:00,bef
2020-04-29 06:00:00,1.95,2.37,0.21350000000000002,2020-04-29,06:00:00,bef
2020-02-13 06:00:00,2.8,2.86,0.0222,2020-02-13,06:00:00,bef
2019-10-24 06:00:00,2.85,2.9,0.019,2019-10-24,06:00:00,bef
2019-07-25 07:00:00,2.92,2.93,0.0034000000000000002,2019-07-25,07:00:00,bef
2019-04-30 07:00:00,2.53,2.62,0.034300000000000004,2019-04-30,07:00:00,bef
2019-02-07 06:00:00,2.49,2.52,0.013300000000000001,2019-02-07,06:00:00,bef
2018-10-24 06:00:00,2.88,2.74,-0.0479,2018-10-24,06:00:00,bef
2018-07-25 06:00:00,2.93,2.98,0.0174,2018-07-25,06:00:00,bef
2018-04-25 07:00:00,2.63,2.78,0.057800000000000004,2018-04-25,07:00:00,bef
2018-02-06 07:00:00,2.38,2.45,0.030299999999999997,2018-02-06,07:00:00,bef
2017-10-25 06:00:00,2.39,2.46,0.030600000000000002,2017-10-25,06:00:00,bef
2017-07-26 06:00:00,2.4,2.47,0.028700000000000003,2017-07-26,06:00:00,bef
2017-04-25 06:00:00,2.2,2.22,0.010900000000000002,2017-04-25,06:00:00,bef
2017-02-16 06:00:00,2.13,2.15,0.0099,2017-02-16,06:00:00,bef
2016-10-26 06:00:00,2.29,2.25,-0.0188,2016-10-26,06:00:00,bef
2016-07-27 07:00:00,2.3,2.31,0.005699999999999999,2016-07-27,07:00:00,bef
2016-04-25 06:00:00,1.96,2.02,0.0322,2016-04-25,06:00:00,bef
