Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 02:00:00,2.96,3.1,0.046200000000000005,2022-07-28,02:00:00,bef
2022-04-28 07:00:00,2.78,2.93,0.0555,2022-04-28,07:00:00,bef
2022-02-10 06:00:00,2.67,2.77,0.0367,2022-02-10,06:00:00,bef
2021-10-28 06:00:00,2.66,2.73,0.0267,2021-10-28,06:00:00,bef
2021-07-30 05:00:00,2.54,2.7,0.0647,2021-07-30,05:00:00,bef
2021-05-06 05:00:00,2.26,2.49,0.1042,2021-05-06,05:00:00,bef
2021-02-05 06:00:00,2.14,2.3,0.0733,2021-02-05,06:00:00,bef
2020-11-04 18:00:00,1.97,2.15,0.09140000000000001,2020-11-04,18:00:00,aft
2020-07-30 05:00:00,1.65,1.9,0.1522,2020-07-30,05:00:00,bef
2020-05-07 05:00:00,1.84,1.89,0.028900000000000002,2020-05-07,05:00:00,bef
2020-02-13 05:00:00,1.84,1.89,0.028900000000000002,2020-02-13,05:00:00,bef
2019-11-12 06:00:00,1.78,1.94,0.08869999999999999,2019-11-12,06:00:00,bef
2019-08-05 06:00:00,1.73,1.83,0.057800000000000004,2019-08-05,06:00:00,bef
2019-05-10 06:00:00,1.59,1.69,0.0609,2019-05-10,06:00:00,bef
2019-03-18 13:00:00,1.5,1.46,-0.025400000000000002,2019-03-18,13:00:00,bef
2018-11-09 11:00:00,1.6,1.69,0.0562,2018-11-09,11:00:00,bef
2018-07-26 06:00:00,1.69,1.72,0.0159,2018-07-26,06:00:00,bef
2018-04-26 06:00:00,1.56,1.65,0.059699999999999996,2018-04-26,06:00:00,bef
2018-03-23 06:00:00,1.48,1.52,0.027000000000000003,2018-03-23,06:00:00,bef
2018-01-25 05:00:00,1.48,1.52,0.027200000000000002,2018-01-25,05:00:00,bef
2017-10-26 08:00:00,1.45,1.5,0.0373,2017-10-26,08:00:00,bef
2017-07-27 06:00:00,1.43,1.46,0.0246,2017-07-27,06:00:00,bef
2017-04-27 06:00:00,1.34,1.37,0.0262,2017-04-27,06:00:00,bef
2017-01-26 06:00:00,1.41,1.41,0.0007000000000000001,2017-01-26,06:00:00,bef
2016-10-27 06:00:00,1.41,1.41,0.0036,2016-10-27,06:00:00,bef
2016-07-28 06:00:00,1.36,1.39,0.0198,2016-07-28,06:00:00,bef
2016-04-29 06:00:00,1.27,1.28,0.0070999999999999995,2016-04-29,06:00:00,bef
2016-01-29 06:00:00,1.47,1.47,0.0027,2016-01-29,06:00:00,bef
2015-10-29 17:00:00,1.45,1.46,0.009000000000000001,2015-10-29,17:00:00,aft
2015-07-29 06:00:00,1.46,1.45,-0.0040999999999999995,2015-07-29,06:00:00,bef
2015-04-29 06:00:00,1.44,1.43,-0.0049,2015-04-29,06:00:00,bef
2015-01-28 06:00:00,1.57,1.57,0.0026000000000000003,2015-01-28,06:00:00,bef
2014-10-29 06:00:00,1.62,1.62,-0.0012,2014-10-29,06:00:00,bef
2014-07-23 04:00:00,1.59,1.58,-0.0043,2014-07-23,04:00:00,bef
2014-04-23 04:00:00,1.51,1.51,0.0005,2014-04-23,04:00:00,bef
2014-01-29 05:00:00,1.55,1.59,0.0276,2014-01-29,05:00:00,bef
2013-10-30 04:00:00,1.51,1.51,-0.003,2013-10-30,04:00:00,bef
2013-07-24 04:00:00,1.48,1.49,0.0034999999999999996,2013-07-24,04:00:00,bef
2013-04-24 04:00:00,1.38,1.38,-0.0028000000000000004,2013-04-24,04:00:00,bef
2013-01-23 05:00:00,1.38,1.38,0.0028000000000000004,2013-01-23,05:00:00,bef
2012-10-24 04:00:00,1.39,1.39,-0.0013000000000000002,2012-10-24,04:00:00,bef
2012-07-25 04:00:00,1.42,1.42,-0.0031,2012-07-25,04:00:00,bef
2012-04-25 04:00:00,1.36,1.38,0.015600000000000001,2012-04-25,04:00:00,bef
2012-01-25 05:00:00,1.37,1.36,-0.005200000000000001,2012-01-25,05:00:00,bef
2011-10-26 04:00:00,1.39,1.4,0.0061,2011-10-26,04:00:00,bef
2011-07-27 04:00:00,1.37,1.38,0.0047,2011-07-27,04:00:00,bef
2011-04-27 04:00:00,1.26,1.29,0.0209,2011-04-27,04:00:00,bef
2011-01-26 05:00:00,1.23,1.25,0.0158,2011-01-26,05:00:00,bef
2010-10-27 04:00:00,1.2,1.21,0.0106,2010-10-27,04:00:00,bef
2010-07-28 04:00:00,1.14,1.19,0.0449,2010-07-28,04:00:00,bef
2010-04-28 04:00:00,1.09,1.09,-0.0024,2010-04-28,04:00:00,bef
2010-01-27 05:00:00,1.09,1.09,0.0005,2010-01-27,05:00:00,bef
2009-10-28 04:00:00,1.0,1.02,0.0166,2009-10-28,04:00:00,bef
2009-07-29 04:00:00,0.99,0.96,-0.028300000000000002,2009-07-29,04:00:00,bef
2009-04-29 04:00:00,0.92,0.93,0.0101,2009-04-29,04:00:00,bef
2009-01-28 05:00:00,0.96,1.01,0.0521,2009-01-28,05:00:00,bef
2008-10-29 04:00:00,1.06,1.11,0.0443,2008-10-29,04:00:00,bef
2008-07-23 04:00:00,1.06,1.08,0.0195,2008-07-23,04:00:00,bef
