Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 06:00:00,1.02,1.09,0.0655,2022-07-28,06:00:00,bef
2022-04-28 06:00:00,0.92,1.0,0.0834,2022-04-28,06:00:00,bef
2022-02-17 06:00:00,0.77,0.87,0.12400000000000001,2022-02-17,06:00:00,bef
2021-10-28 06:00:00,0.86,1.02,0.1833,2021-10-28,06:00:00,bef
2021-07-29 06:00:00,0.75,1.13,0.5127,2021-07-29,06:00:00,bef
2021-04-29 06:00:00,0.63,0.94,0.48729999999999996,2021-04-29,06:00:00,bef
2021-02-18 06:00:00,0.59,0.69,0.17350000000000002,2021-02-18,06:00:00,bef
2020-10-29 06:00:00,0.53,0.75,0.41509999999999997,2020-10-29,06:00:00,bef
2020-07-30 06:00:00,0.17,0.53,2.2121,2020-07-30,06:00:00,bef
2020-04-30 06:00:00,0.49,0.57,0.16329999999999997,2020-04-30,06:00:00,bef
2020-02-20 06:00:00,0.52,0.54,0.0325,2020-02-20,06:00:00,bef
2019-10-31 06:00:00,0.58,0.61,0.059000000000000004,2019-10-31,06:00:00,bef
2019-07-25 06:00:00,0.65,0.65,0.0078000000000000005,2019-07-25,06:00:00,bef
2019-02-28 06:00:00,0.49,0.48,-0.026400000000000003,2019-02-28,06:00:00,bef
2018-10-25 06:00:00,0.56,0.56,0.0036,2018-10-25,06:00:00,bef
2018-07-26 06:00:00,0.58,0.61,0.0572,2018-07-26,06:00:00,bef
2018-04-26 07:00:00,0.59,0.55,-0.0709,2018-04-26,07:00:00,bef
2018-02-22 07:00:00,0.42,0.41,-0.0144,2018-02-22,07:00:00,bef
2017-10-26 07:00:00,0.42,0.45,0.0638,2017-10-26,07:00:00,bef
2017-07-27 07:00:00,0.52,0.53,0.0212,2017-07-27,07:00:00,bef
2017-04-27 07:00:00,0.46,0.49,0.0722,2017-04-27,07:00:00,bef
2017-02-23 07:00:00,0.4,0.39,-0.0152,2017-02-23,07:00:00,bef
2016-10-27 07:00:00,0.45,0.45,0.011200000000000002,2016-10-27,07:00:00,bef
2016-07-28 09:00:00,0.49,0.55,0.127,2016-07-28,09:00:00,bef
2016-04-28 07:00:00,0.42,0.42,0.0048,2016-04-28,07:00:00,bef
2016-02-25 07:00:00,0.31,0.32,0.0323,2016-02-25,07:00:00,bef
2015-10-29 07:00:00,0.33,0.34,0.030299999999999997,2015-10-29,07:00:00,bef
2015-07-30 07:00:00,0.36,0.39,0.07440000000000001,2015-07-30,07:00:00,bef
2015-04-30 13:00:00,0.32,0.36,0.13210000000000002,2015-04-30,13:00:00,bef
2015-02-26 07:00:00,0.32,0.27,-0.1509,2015-02-26,07:00:00,bef
2014-10-30 07:00:00,0.32,0.31,-0.0402,2014-10-30,07:00:00,bef
2014-07-31 04:00:00,0.33,0.34,0.0161,2014-07-31,04:00:00,bef
2014-04-29 04:00:00,0.34,0.35,0.0412,2014-04-29,04:00:00,bef
2014-02-27 05:00:00,0.28,0.26,-0.0815,2014-02-27,05:00:00,bef
2013-10-31 04:00:00,0.25,0.24,-0.0526,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,0.25,0.26,0.029700000000000004,2013-08-01,04:00:00,bef
2013-04-25 04:00:00,0.29,0.28,-0.04650000000000001,2013-04-25,04:00:00,bef
