Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,7.32,8.83,0.2056,2022-07-27,16:00:00,aft
2022-04-20 16:00:00,7.51,7.4,-0.0152,2022-04-20,16:00:00,aft
2022-01-26 16:00:00,8.51,8.53,0.0019,2022-01-26,16:00:00,aft
2021-10-20 16:00:00,8.21,8.36,0.0179,2021-10-20,16:00:00,aft
2021-07-28 16:00:00,7.55,8.09,0.0718,2021-07-28,16:00:00,aft
2021-04-21 16:00:00,6.62,7.49,0.1318,2021-04-21,16:00:00,aft
2021-01-27 16:00:00,5.73,6.03,0.0533,2021-01-27,16:00:00,aft
2020-10-21 16:00:00,5.2,5.67,0.09140000000000001,2020-10-21,16:00:00,aft
2020-07-29 16:00:00,4.05,4.78,0.1808,2020-07-29,16:00:00,aft
2020-01-29 16:00:00,3.85,4.01,0.041600000000000005,2020-01-29,16:00:00,aft
2019-10-23 16:00:00,3.01,3.18,0.0572,2019-10-23,16:00:00,aft
2019-07-31 16:00:00,3.42,3.62,0.0572,2019-07-31,16:00:00,aft
2019-04-24 16:00:00,3.38,3.7,0.0947,2019-04-24,16:00:00,aft
2019-01-23 16:00:00,3.66,3.87,0.0565,2019-01-23,16:00:00,aft
2018-10-16 16:00:00,3.22,3.36,0.044800000000000006,2018-10-16,16:00:00,aft
2018-07-26 16:00:00,4.94,5.31,0.07490000000000001,2018-07-26,16:00:00,aft
2018-04-17 16:00:00,4.38,4.79,0.0926,2018-04-17,16:00:00,aft
2018-01-24 16:00:00,3.68,4.34,0.17809999999999998,2018-01-24,16:00:00,aft
2017-10-17 16:00:00,3.28,3.46,0.0555,2017-10-17,16:00:00,aft
2017-07-26 16:00:00,3.03,3.11,0.027400000000000004,2017-07-26,16:00:00,aft
2017-04-18 16:00:00,2.55,2.8,0.0976,2017-04-18,16:00:00,aft
2017-01-25 16:00:00,2.19,2.24,0.021,2017-01-25,16:00:00,aft
2016-10-19 16:00:00,1.78,1.81,0.0197,2016-10-19,16:00:00,aft
2016-07-27 16:00:00,1.64,1.8,0.0962,2016-07-27,16:00:00,aft
2016-04-20 16:00:00,1.1,1.18,0.0727,2016-04-20,16:00:00,aft
2016-01-27 16:00:00,1.43,1.57,0.10099999999999999,2016-01-27,16:00:00,aft
2015-10-21 04:00:00,1.71,1.82,0.0643,2015-10-21,04:00:00,bef
2015-07-29 16:00:00,1.47,1.5,0.0176,2015-07-29,16:00:00,aft
2015-04-20 16:00:00,1.3,1.4,0.07780000000000001,2015-04-20,16:00:00,aft
2015-01-28 16:00:00,1.13,1.19,0.055,2015-01-28,16:00:00,aft
2014-10-22 16:00:00,0.93,0.96,0.0311,2014-10-22,16:00:00,aft
2014-07-30 04:00:00,1.23,1.25,0.0131,2014-07-30,04:00:00,bef
2014-04-23 04:00:00,1.17,1.26,0.0812,2014-04-23,04:00:00,bef
2014-01-29 05:00:00,1.03,1.1,0.067,2014-01-29,05:00:00,bef
2013-10-23 04:00:00,0.71,0.81,0.1476,2013-10-23,04:00:00,bef
2013-07-31 04:00:00,0.71,0.8,0.12380000000000001,2013-07-31,04:00:00,bef
2013-04-24 04:00:00,0.37,0.44,0.20079999999999998,2013-04-24,04:00:00,bef
2013-01-23 05:00:00,0.44,0.45,0.0166,2013-01-23,05:00:00,bef
2012-10-17 04:00:00,0.41,0.53,0.2888,2012-10-17,04:00:00,bef
2012-07-25 04:00:00,0.64,0.6,-0.0564,2012-07-25,04:00:00,bef
2012-04-18 04:00:00,0.46,0.5,0.0989,2012-04-18,04:00:00,bef
2012-01-25 05:00:00,0.3,0.34,0.1423,2012-01-25,05:00:00,bef
2011-10-19 04:00:00,0.65,0.63,-0.025099999999999997,2011-10-19,04:00:00,bef
2011-07-27 04:00:00,1.09,1.14,0.0437,2011-07-27,04:00:00,bef
2011-04-20 04:00:00,1.36,1.45,0.0696,2011-04-20,04:00:00,bef
2011-01-26 05:00:00,1.57,1.74,0.11019999999999999,2011-01-26,05:00:00,bef
2010-10-20 04:00:00,1.38,1.52,0.10550000000000001,2010-10-20,04:00:00,bef
2010-07-28 04:00:00,0.97,1.17,0.21030000000000001,2010-07-28,04:00:00,bef
2010-04-21 04:00:00,0.82,0.94,0.1445,2010-04-21,04:00:00,bef
2010-01-27 05:00:00,0.4,0.47,0.1672,2010-01-27,05:00:00,bef
2009-10-21 04:00:00,-0.08,0.03,1.3966999999999998,2009-10-21,04:00:00,bef
2009-07-29 04:00:00,-0.46,-0.45,0.0191,2009-07-29,04:00:00,bef
2009-04-22 04:00:00,-0.66,-0.71,-0.0758,2009-04-22,04:00:00,bef
2009-01-28 05:00:00,-0.05,-0.09,-0.8226000000000001,2009-01-28,05:00:00,bef
2008-10-22 04:00:00,0.25,0.26,0.061200000000000004,2008-10-22,04:00:00,bef
2008-07-29 04:00:00,0.4,0.6,0.4917,2008-07-29,04:00:00,bef
2008-04-23 04:00:00,0.94,0.87,-0.0779,2008-04-23,04:00:00,bef
2008-03-31 04:00:00,1.28,1.28,0.0004,2008-03-31,04:00:00,bef
2007-04-12 04:00:00,1.06,1.15,0.0806,2007-04-12,04:00:00,bef
2007-01-17 05:00:00,1.11,1.15,0.0393,2007-01-17,05:00:00,bef
2006-10-11 04:00:00,1.03,1.13,0.0998,2006-10-11,04:00:00,bef
2006-07-19 04:00:00,0.83,0.96,0.1532,2006-07-19,04:00:00,bef
