Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-29 06:00:00,4.67,5.19,0.1125,2022-07-29,06:00:00,bef
2022-04-29 06:00:00,3.53,4.0,0.1348,2022-04-29,06:00:00,bef
2022-01-28 06:00:00,3.97,3.63,-0.08470000000000001,2022-01-28,06:00:00,bef
2021-10-29 07:00:00,5.75,5.25,-0.0874,2021-10-29,07:00:00,bef
2021-07-30 06:00:00,5.57,6.13,0.0999,2021-07-30,06:00:00,bef
2021-04-30 06:00:00,2.59,3.18,0.2273,2021-04-30,06:00:00,bef
2021-01-29 06:00:00,1.36,2.19,0.6056,2021-01-29,06:00:00,bef
2020-10-30 06:00:00,1.12,1.27,0.1329,2020-10-30,06:00:00,bef
2020-07-31 06:00:00,0.65,0.71,0.094,2020-07-31,06:00:00,bef
2020-05-01 06:00:00,1.56,1.51,-0.0308,2020-05-01,06:00:00,bef
2020-01-31 06:00:00,2.26,1.92,-0.1501,2020-01-31,06:00:00,bef
2019-11-01 06:00:00,2.76,2.7,-0.0217,2019-11-01,06:00:00,bef
2019-08-02 06:00:00,2.84,2.74,-0.0345,2019-08-02,06:00:00,bef
2019-04-26 06:00:00,2.19,2.22,0.011899999999999999,2019-04-26,06:00:00,bef
2019-02-01 06:00:00,2.26,1.83,-0.1917,2019-02-01,06:00:00,bef
2018-10-30 06:00:00,2.68,2.96,0.1032,2018-10-30,06:00:00,bef
2018-08-03 06:00:00,2.92,3.34,0.1427,2018-08-03,06:00:00,bef
2018-04-27 06:00:00,2.75,3.11,0.1293,2018-04-27,06:00:00,bef
2018-02-02 06:00:00,2.56,2.73,0.0668,2018-02-02,06:00:00,bef
2017-10-27 06:00:00,2.48,2.41,-0.0286,2017-10-27,06:00:00,bef
2017-07-28 07:00:00,2.67,2.82,0.0546,2017-07-28,07:00:00,bef
2017-04-28 06:00:00,2.36,2.26,-0.0403,2017-04-28,06:00:00,bef
2017-02-03 06:00:00,2.15,2.16,0.0061,2017-02-03,06:00:00,bef
2016-11-01 06:00:00,2.32,2.31,-0.0039000000000000003,2016-11-01,06:00:00,bef
2016-07-29 07:00:00,2.51,2.45,-0.023100000000000002,2016-07-29,07:00:00,bef
2016-04-22 07:00:00,2.29,2.3,0.0044,2016-04-22,07:00:00,bef
2016-02-02 07:00:00,2.13,2.2,0.0304,2016-02-02,07:00:00,bef
2015-10-23 07:00:00,2.57,2.8,0.0895,2015-10-23,07:00:00,bef
2015-07-28 07:00:00,2.7,2.8,0.0367,2015-07-28,07:00:00,bef
2015-04-24 07:00:00,1.98,2.54,0.2802,2015-04-24,07:00:00,bef
2015-02-03 07:00:00,2.15,2.48,0.1551,2015-02-03,07:00:00,bef
2014-10-24 06:00:00,2.3,2.52,0.098,2014-10-24,06:00:00,bef
2014-07-25 04:00:00,1.92,2.22,0.158,2014-07-25,04:00:00,bef
2014-04-29 04:00:00,1.73,1.63,-0.0562,2014-04-29,04:00:00,bef
2014-01-31 05:00:00,1.4,2.11,0.5108,2014-01-31,05:00:00,bef
2013-10-29 04:00:00,1.59,1.51,-0.0525,2013-10-29,04:00:00,bef
2013-07-26 04:00:00,1.62,1.6,-0.012,2013-07-26,04:00:00,bef
2013-04-26 04:00:00,1.45,1.56,0.0785,2013-04-26,04:00:00,bef
2013-02-01 05:00:00,1.14,1.15,0.012700000000000001,2013-02-01,05:00:00,bef
2012-10-26 04:00:00,1.45,1.36,-0.059000000000000004,2012-10-26,04:00:00,bef
2012-07-27 04:00:00,1.41,1.66,0.1736,2012-07-27,04:00:00,bef
2012-04-30 04:00:00,1.06,1.07,0.006,2012-04-30,04:00:00,bef
2012-02-10 05:00:00,0.76,0.41,-0.45890000000000003,2012-02-10,05:00:00,bef
2011-10-28 04:00:00,1.22,1.53,0.2528,2011-10-28,04:00:00,bef
2011-07-29 04:00:00,1.26,1.49,0.18309999999999998,2011-07-29,04:00:00,bef
2011-05-02 04:00:00,0.75,1.23,0.6416,2011-05-02,04:00:00,bef
2011-02-18 05:00:00,0.66,1.27,0.9209999999999999,2011-02-18,05:00:00,bef
2010-10-29 04:00:00,0.88,1.14,0.2892,2010-10-29,04:00:00,bef
