Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 16:00:00,0.51,0.66,0.2891,2022-08-04,16:00:00,aft
2022-05-05 16:00:00,-0.79,-0.39,0.507,2022-05-05,16:00:00,aft
2022-02-23 16:00:00,-0.54,-0.86,-0.6045,2022-02-23,16:00:00,aft
2021-11-04 16:00:00,-0.05,0.19,4.8,2021-11-04,16:00:00,aft
2021-08-03 16:00:00,-1.18,-0.9,0.24050000000000002,2021-08-03,16:00:00,aft
2021-05-06 16:00:00,-1.55,-1.44,0.071,2021-05-06,16:00:00,aft
2021-02-25 16:00:00,-2.3,-2.04,0.11380000000000001,2021-02-25,16:00:00,aft
2020-11-05 16:00:00,-2.2,-2.45,-0.11359999999999999,2020-11-05,16:00:00,aft
2020-08-05 16:00:00,-2.08,-2.67,-0.2824,2020-08-05,16:00:00,aft
2020-05-07 16:00:00,-0.97,-0.94,0.0329,2020-05-07,16:00:00,aft
2020-02-27 16:00:00,-0.71,-0.88,-0.23600000000000002,2020-02-27,16:00:00,aft
2019-10-31 16:00:00,0.77,0.71,-0.0803,2019-10-31,16:00:00,aft
2019-07-25 16:00:00,0.4,0.41,0.0327,2019-07-25,16:00:00,aft
2019-05-02 16:00:00,-0.34,-0.31,0.0882,2019-05-02,16:00:00,aft
2019-02-28 16:00:00,-0.74,-0.8,-0.0782,2019-02-28,16:00:00,aft
2018-11-01 16:00:00,0.63,0.7,0.1164,2018-11-01,16:00:00,aft
2018-07-26 17:00:00,0.19,0.24,0.2565,2018-07-26,17:00:00,aft
2018-05-03 17:00:00,-0.29,-0.24,0.1696,2018-05-03,17:00:00,aft
2018-02-27 16:00:00,-1.08,-1.29,-0.1978,2018-02-27,16:00:00,aft
2017-11-02 16:00:00,0.56,0.53,-0.0519,2017-11-02,16:00:00,aft
2017-08-09 16:00:00,0.19,0.29,0.5590999999999999,2017-08-09,16:00:00,aft
2017-05-04 17:00:00,-0.33,-0.22,0.32520000000000004,2017-05-04,17:00:00,aft
2017-02-23 16:00:00,-0.58,-0.57,0.0206,2017-02-23,16:00:00,aft
2016-11-07 17:00:00,0.48,0.49,0.0273,2016-11-07,17:00:00,aft
2016-07-28 16:00:00,0.08,0.13,0.7333,2016-07-28,16:00:00,aft
2016-05-03 16:00:00,-0.31,-0.29,0.0645,2016-05-03,16:00:00,aft
2016-02-25 17:00:00,-0.32,-0.47,-0.4551,2016-02-25,17:00:00,aft
2015-10-29 17:00:00,0.43,0.38,-0.1183,2015-10-29,17:00:00,aft
2015-08-10 16:00:00,0.06,0.06,-0.0323,2015-08-10,16:00:00,aft
2015-04-30 17:00:00,-0.33,-0.31,0.0746,2015-04-30,17:00:00,aft
2015-02-26 16:00:00,-0.4,-0.41,-0.0123,2015-02-26,16:00:00,aft
2014-10-30 16:00:00,0.36,0.49,0.3462,2014-10-30,16:00:00,aft
2014-07-31 04:00:00,0.15,0.11,-0.2784,2014-07-31,04:00:00,bef
2014-05-06 04:00:00,-0.35,-0.16,0.5442,2014-05-06,04:00:00,bef
2014-02-24 05:00:00,-0.37,-0.42,-0.1285,2014-02-24,05:00:00,bef
2013-11-05 05:00:00,0.35,0.4,0.1429,2013-11-05,05:00:00,bef
2013-08-06 04:00:00,0.1,0.3,2.0769,2013-08-06,04:00:00,bef
2013-05-07 04:00:00,-0.36,-0.33,0.0959,2013-05-07,04:00:00,bef
2013-02-26 05:00:00,-0.36,-0.85,-1.3776,2013-02-26,05:00:00,bef
