Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2019-10-28 06:00:00,0.75,0.22,-0.7067,2019-10-28,06:00:00,bef
2019-08-05 06:00:00,0.75,0.78,0.04,2019-08-05,06:00:00,bef
2019-04-29 06:00:00,0.95,1.2,0.2632,2019-04-29,06:00:00,bef
2019-02-11 06:00:00,0.53,-0.28,-1.5333,2019-02-11,06:00:00,bef
2018-11-05 06:00:00,0.98,0.84,-0.1385,2018-11-05,06:00:00,bef
2018-07-30 06:00:00,0.73,0.76,0.041100000000000005,2018-07-30,06:00:00,bef
2018-04-30 06:00:00,0.78,0.8,0.0296,2018-04-30,06:00:00,bef
2018-02-12 06:00:00,0.71,0.81,0.1408,2018-02-12,06:00:00,bef
2017-10-30 06:00:00,0.02,0.53,34.3333,2017-10-30,06:00:00,bef
2017-07-31 06:00:00,0.76,0.68,-0.10880000000000001,2017-07-31,06:00:00,bef
2017-05-01 06:00:00,0.66,0.81,0.2273,2017-05-01,06:00:00,bef
2017-02-06 06:00:00,0.63,0.73,0.1587,2017-02-06,06:00:00,bef
2016-10-31 06:00:00,0.69,0.89,0.29550000000000004,2016-10-31,06:00:00,bef
2016-08-01 06:00:00,0.57,0.59,0.029700000000000004,2016-08-01,06:00:00,bef
2016-05-02 06:00:00,0.52,0.57,0.0962,2016-05-02,06:00:00,bef
2016-02-08 06:00:00,0.78,0.5,-0.35479999999999995,2016-02-08,06:00:00,bef
2015-11-02 06:00:00,0.56,0.58,0.041299999999999996,2015-11-02,06:00:00,bef
2015-08-03 06:00:00,0.7,0.59,-0.15710000000000002,2015-08-03,06:00:00,bef
2015-05-04 06:00:00,0.75,0.69,-0.08,2015-05-04,06:00:00,bef
2015-02-09 06:00:00,0.53,0.7,0.3208,2015-02-09,06:00:00,bef
2014-11-03 06:00:00,0.68,0.63,-0.0694,2014-11-03,06:00:00,bef
2014-08-04 04:00:00,0.67,0.66,-0.0198,2014-08-04,04:00:00,bef
2014-04-28 04:00:00,0.7,0.68,-0.0286,2014-04-28,04:00:00,bef
2014-02-10 05:00:00,0.72,0.79,0.10099999999999999,2014-02-10,05:00:00,bef
2013-10-28 04:00:00,0.77,0.72,-0.0649,2013-10-28,04:00:00,bef
