Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,0.94,1.82,0.9465000000000001,2022-07-27,16:00:00,aft
2022-04-27 16:00:00,0.82,0.95,0.16140000000000002,2022-04-27,16:00:00,aft
2022-02-02 16:00:00,0.75,1.6,1.1277,2022-02-02,16:00:00,aft
2021-10-27 16:00:00,0.66,0.73,0.11449999999999999,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,0.57,1.88,2.2696,2021-07-28,16:00:00,aft
2021-04-28 16:00:00,0.6,0.4,-0.3289,2021-04-28,16:00:00,aft
2021-02-03 16:00:00,0.53,0.72,0.3508,2021-02-03,16:00:00,aft
2020-10-28 16:00:00,0.49,0.52,0.06559999999999999,2020-10-28,16:00:00,aft
2020-07-29 16:00:00,0.54,0.65,0.2127,2020-07-29,16:00:00,aft
2020-05-06 16:00:00,0.59,0.31,-0.4746,2020-05-06,16:00:00,aft
2020-01-29 16:00:00,0.59,1.3,1.2147000000000001,2020-01-29,16:00:00,aft
2019-10-30 16:00:00,0.56,0.68,0.2165,2019-10-30,16:00:00,aft
2019-07-31 16:00:00,0.51,0.54,0.0409,2019-07-31,16:00:00,aft
2019-05-01 16:00:00,0.48,0.55,0.1387,2019-05-01,16:00:00,aft
2019-01-30 16:00:00,0.49,0.53,0.0751,2019-01-30,16:00:00,aft
2018-10-31 16:00:00,0.47,0.46,-0.015,2018-10-31,16:00:00,aft
2018-08-01 16:00:00,0.46,0.52,0.1231,2018-08-01,16:00:00,aft
2018-05-02 16:00:00,0.46,0.42,-0.07690000000000001,2018-05-02,16:00:00,aft
2018-01-31 16:00:00,0.48,0.48,-0.0062,2018-01-31,16:00:00,aft
2017-10-25 16:00:00,0.41,1.0,1.4272,2017-10-25,16:00:00,aft
2017-07-26 16:00:00,0.33,0.42,0.2613,2017-07-26,16:00:00,aft
2017-04-26 16:00:00,0.54,0.36,-0.3382,2017-04-26,16:00:00,aft
2017-02-01 16:00:00,0.51,0.46,-0.09269999999999999,2017-02-01,16:00:00,aft
