Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 07:00:00,2.3,2.22,-0.0356,2022-07-26,07:00:00,bef
2022-05-02 07:00:00,2.9,2.89,-0.0040999999999999995,2022-05-02,07:00:00,bef
2022-02-10 07:00:00,2.39,2.33,-0.024700000000000003,2022-02-10,07:00:00,bef
2021-10-28 07:00:00,2.54,2.69,0.060300000000000006,2021-10-28,07:00:00,bef
2021-07-28 07:00:00,2.78,3.22,0.1587,2021-07-28,07:00:00,bef
2021-04-28 07:00:00,2.82,4.06,0.43820000000000003,2021-04-28,07:00:00,bef
2021-02-12 07:00:00,1.97,1.91,-0.0285,2021-02-12,07:00:00,bef
2020-10-29 07:00:00,2.1,2.69,0.2834,2020-10-29,07:00:00,bef
2020-07-30 07:00:00,2.24,2.81,0.25730000000000003,2020-07-30,07:00:00,bef
2020-04-30 07:00:00,2.22,2.73,0.22920000000000001,2020-04-30,07:00:00,bef
2020-02-12 07:00:00,1.94,2.0,0.0336,2020-02-12,07:00:00,bef
2019-10-30 07:00:00,2.0,2.15,0.0739,2019-10-30,07:00:00,bef
2019-07-31 07:00:00,2.0,2.07,0.0334,2019-07-31,07:00:00,bef
2019-04-24 07:00:00,1.93,2.07,0.0703,2019-04-24,07:00:00,bef
2019-02-15 07:00:00,1.67,1.63,-0.0257,2019-02-15,07:00:00,bef
2018-10-26 07:00:00,1.78,1.69,-0.0495,2018-10-26,07:00:00,bef
2018-07-27 07:00:00,1.89,2.04,0.0799,2018-07-27,07:00:00,bef
2018-04-27 07:00:00,1.8,2.02,0.11970000000000001,2018-04-27,07:00:00,bef
2018-02-09 07:00:00,1.45,1.51,0.04070000000000001,2018-02-09,07:00:00,bef
2017-11-03 07:00:00,1.4,1.52,0.08650000000000001,2017-11-03,07:00:00,bef
2017-07-21 07:00:00,1.34,1.51,0.1302,2017-07-21,07:00:00,bef
2017-05-05 07:00:00,1.24,1.47,0.1855,2017-05-05,07:00:00,bef
2017-02-17 07:00:00,1.24,1.23,-0.0073,2017-02-17,07:00:00,bef
2016-10-21 07:00:00,1.2,1.34,0.1167,2016-10-21,07:00:00,bef
2016-07-22 07:00:00,1.27,1.3,0.0212,2016-07-22,07:00:00,bef
2016-04-29 07:00:00,1.06,0.93,-0.1251,2016-04-29,07:00:00,bef
2016-02-05 07:00:00,1.05,1.09,0.0401,2016-02-05,07:00:00,bef
2015-10-30 07:00:00,1.07,1.11,0.041299999999999996,2015-10-30,07:00:00,bef
