Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 16:00:00,0.64,0.67,0.048499999999999995,2022-07-26,16:00:00,aft
2022-04-26 16:00:00,0.74,0.84,0.1306,2022-04-26,16:00:00,aft
2022-01-27 16:00:00,0.72,0.72,-0.0055000000000000005,2022-01-27,16:00:00,aft
2021-07-27 16:00:00,0.65,0.66,0.0154,2021-07-27,16:00:00,aft
2021-04-27 16:00:00,0.69,0.77,0.1176,2021-04-27,16:00:00,aft
2021-01-28 16:00:00,0.67,0.67,0.0075,2021-01-28,16:00:00,aft
2020-11-02 16:00:00,0.62,0.63,0.0096,2020-11-02,16:00:00,aft
2020-07-28 16:00:00,0.56,0.63,0.125,2020-07-28,16:00:00,aft
2020-04-28 16:00:00,0.66,0.69,0.043899999999999995,2020-04-28,16:00:00,aft
2020-01-29 16:00:00,0.6,0.61,0.013300000000000001,2020-01-29,16:00:00,aft
2019-10-29 16:00:00,0.61,0.64,0.0579,2019-10-29,16:00:00,aft
2019-07-30 16:00:00,0.57,0.57,0.0053,2019-07-30,16:00:00,aft
2019-04-30 16:00:00,0.61,0.65,0.0621,2019-04-30,16:00:00,aft
2019-01-30 16:00:00,0.63,0.63,0.0048,2019-01-30,16:00:00,aft
2018-10-29 16:00:00,0.61,0.62,0.023100000000000002,2018-10-29,16:00:00,aft
2018-07-25 16:00:00,0.54,0.56,0.044800000000000006,2018-07-25,16:00:00,aft
2018-05-01 16:00:00,0.61,0.62,0.0181,2018-05-01,16:00:00,aft
2018-01-31 16:00:00,0.56,0.57,0.0252,2018-01-31,16:00:00,aft
2017-10-30 16:00:00,0.54,0.57,0.0478,2017-10-30,16:00:00,aft
2017-08-02 07:00:00,0.46,0.48,0.054900000000000004,2017-08-02,07:00:00,bef
2017-05-02 16:00:00,0.5,0.53,0.06,2017-05-02,16:00:00,aft
2017-02-07 16:00:00,0.48,0.47,-0.0269,2017-02-07,16:00:00,aft
2016-10-26 08:00:00,0.43,0.52,0.20370000000000002,2016-10-26,08:00:00,bef
2016-07-27 08:00:00,0.4,0.44,0.09730000000000001,2016-07-27,08:00:00,bef
2016-04-27 08:00:00,0.39,0.48,0.2183,2016-04-27,08:00:00,bef
2016-02-03 08:00:00,0.48,0.46,-0.045599999999999995,2016-02-03,08:00:00,bef
2015-10-28 08:00:00,0.41,0.42,0.0319,2015-10-28,08:00:00,bef
2015-07-30 08:00:00,0.39,0.47,0.1959,2015-07-30,08:00:00,bef
2015-04-29 08:00:00,0.38,0.41,0.09330000000000001,2015-04-29,08:00:00,bef
2015-02-11 08:00:00,0.43,0.47,0.0855,2015-02-11,08:00:00,bef
2014-11-05 08:00:00,0.39,0.5,0.2755,2014-11-05,08:00:00,bef
2014-08-06 04:00:00,0.39,0.4,0.030600000000000002,2014-08-06,04:00:00,bef
2014-05-07 04:00:00,0.35,0.39,0.1293,2014-05-07,04:00:00,bef
2014-02-12 05:00:00,0.44,0.42,-0.0437,2014-02-12,05:00:00,bef
2013-11-06 05:00:00,0.4,0.41,0.0163,2013-11-06,05:00:00,bef
2013-08-07 04:00:00,0.34,0.37,0.0837,2013-08-07,04:00:00,bef
2013-05-07 04:00:00,0.33,0.34,0.0176,2013-05-07,04:00:00,bef
2013-02-13 05:00:00,0.38,0.36,-0.04070000000000001,2013-02-13,05:00:00,bef
2012-11-07 05:00:00,0.36,0.37,0.030600000000000002,2012-11-07,05:00:00,bef
2012-08-02 04:00:00,0.66,0.68,0.032100000000000004,2012-08-02,04:00:00,bef
2012-05-03 04:00:00,0.56,0.57,0.0115,2012-05-03,04:00:00,bef
2012-02-21 05:00:00,0.57,0.57,0.0029,2012-02-21,05:00:00,bef
2011-11-02 04:00:00,0.55,0.58,0.0467,2011-11-02,04:00:00,bef
2011-08-04 04:00:00,0.58,0.62,0.0741,2011-08-04,04:00:00,bef
2011-05-05 04:00:00,0.47,0.52,0.1103,2011-05-05,04:00:00,bef
2011-02-10 05:00:00,0.46,0.46,-0.006,2011-02-10,05:00:00,bef
2010-11-04 04:00:00,0.46,0.47,0.0292,2010-11-04,04:00:00,bef
2010-08-05 04:00:00,0.52,0.6,0.15109999999999998,2010-08-05,04:00:00,bef
2010-05-06 04:00:00,0.45,0.49,0.09970000000000001,2010-05-06,04:00:00,bef
2010-02-16 05:00:00,0.45,0.48,0.0752,2010-02-16,05:00:00,bef
2009-11-03 05:00:00,0.48,0.55,0.13640000000000002,2009-11-03,05:00:00,bef
2009-08-04 04:00:00,0.54,0.56,0.043899999999999995,2009-08-04,04:00:00,bef
2009-05-05 04:00:00,0.4,0.45,0.1267,2009-05-05,04:00:00,bef
2009-02-04 05:00:00,0.44,0.43,-0.0227,2009-02-04,05:00:00,bef
2008-10-29 04:00:00,0.43,0.44,0.021800000000000003,2008-10-29,04:00:00,bef
2008-07-28 04:00:00,0.5,0.58,0.1534,2008-07-28,04:00:00,bef
2008-04-30 04:00:00,0.4,0.44,0.0898,2008-04-30,04:00:00,bef
2008-01-30 05:00:00,0.44,0.44,-0.006999999999999999,2008-01-30,05:00:00,bef
2007-10-31 04:00:00,0.42,0.44,0.057699999999999994,2007-10-31,04:00:00,bef
2007-08-01 04:00:00,0.47,0.5,0.06230000000000001,2007-08-01,04:00:00,bef
2007-04-18 04:00:00,0.42,0.44,0.0602,2007-04-18,04:00:00,bef
2007-01-31 05:00:00,0.51,0.51,0.0033000000000000004,2007-01-31,05:00:00,bef
2006-10-23 04:00:00,0.45,0.46,0.028900000000000002,2006-10-23,04:00:00,bef
2006-07-24 04:00:00,0.48,0.51,0.0639,2006-07-24,04:00:00,bef
2006-04-19 04:00:00,0.42,0.45,0.061,2006-04-19,04:00:00,bef
2006-01-30 05:00:00,0.53,0.56,0.0475,2006-01-30,05:00:00,bef
2005-10-18 04:00:00,0.46,0.42,-0.07690000000000001,2005-10-18,04:00:00,bef
2005-07-19 04:00:00,0.47,0.47,-0.0098,2005-07-19,04:00:00,bef
2005-04-19 04:00:00,0.41,0.44,0.0864,2005-04-19,04:00:00,bef
2005-01-25 05:00:00,0.49,0.49,0.0051,2005-01-25,05:00:00,bef
2004-10-18 04:00:00,0.45,0.48,0.0639,2004-10-18,04:00:00,bef
2004-07-19 04:00:00,0.46,0.46,-0.0015,2004-07-19,04:00:00,bef
2004-04-19 04:00:00,0.43,0.45,0.04650000000000001,2004-04-19,04:00:00,bef
2004-01-27 05:00:00,0.5,0.5,0.0012,2004-01-27,05:00:00,bef
2003-10-15 04:00:00,0.46,0.46,-0.0068000000000000005,2003-10-15,04:00:00,bef
2003-07-16 04:00:00,0.58,0.55,-0.0526,2003-07-16,04:00:00,bef
2003-04-15 04:00:00,0.48,0.49,0.0316,2003-04-15,04:00:00,bef
2003-01-28 05:00:00,0.52,0.51,-0.015700000000000002,2003-01-28,05:00:00,bef
2002-10-16 04:00:00,0.5,0.5,-0.0053,2002-10-16,04:00:00,bef
2002-07-17 04:00:00,0.54,0.55,0.016,2002-07-17,04:00:00,bef
2002-04-16 04:00:00,0.44,0.46,0.050199999999999995,2002-04-16,04:00:00,bef
2002-01-29 05:00:00,0.32,0.32,0.0024,2002-01-29,05:00:00,bef
2001-10-16 04:00:00,0.29,0.3,0.027999999999999997,2001-10-16,04:00:00,bef
