Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-23 06:00:00,1.12,1.13,0.008,2022-08-23,06:00:00,bef
2022-05-26 06:00:00,1.56,1.52,-0.0281,2022-05-26,06:00:00,bef
2022-02-22 06:00:00,1.36,1.37,0.0044,2022-02-22,06:00:00,bef
2021-11-23 06:00:00,1.29,1.32,0.0233,2021-11-23,06:00:00,bef
2021-08-24 06:00:00,1.32,1.41,0.0666,2021-08-24,06:00:00,bef
2021-05-27 06:00:00,1.42,1.5,0.0534,2021-05-27,06:00:00,bef
2021-02-23 06:00:00,1.15,1.29,0.1198,2021-02-23,06:00:00,bef
2020-11-24 06:00:00,0.8,1.02,0.27340000000000003,2020-11-24,06:00:00,bef
2020-08-25 06:00:00,0.18,0.62,2.4637000000000002,2020-08-25,06:00:00,bef
2020-05-21 06:00:00,0.68,0.58,-0.1433,2020-05-21,06:00:00,bef
2020-02-18 06:00:00,1.38,1.44,0.0405,2020-02-18,06:00:00,bef
2019-11-19 06:00:00,1.28,1.31,0.021,2019-11-19,06:00:00,bef
2019-08-20 06:00:00,1.18,1.26,0.066,2019-08-20,06:00:00,bef
2019-05-23 06:00:00,1.47,1.54,0.0512,2019-05-23,06:00:00,bef
2019-02-19 06:00:00,1.24,1.29,0.042800000000000005,2019-02-19,06:00:00,bef
2018-11-20 06:00:00,1.15,1.22,0.0636,2018-11-20,06:00:00,bef
2018-08-21 06:00:00,1.11,1.17,0.052199999999999996,2018-08-21,06:00:00,bef
2018-05-24 06:00:00,1.39,1.42,0.0253,2018-05-24,06:00:00,bef
2018-02-20 06:00:00,1.17,1.17,0.0034000000000000002,2018-02-20,06:00:00,bef
2017-11-21 06:00:00,0.98,1.07,0.0885,2017-11-21,06:00:00,bef
2017-08-22 06:00:00,1.08,1.12,0.0332,2017-08-22,06:00:00,bef
2017-05-25 06:00:00,1.31,1.33,0.0129,2017-05-25,06:00:00,bef
2017-02-21 06:00:00,1.11,1.12,0.0117,2017-02-21,06:00:00,bef
2016-11-22 06:00:00,1.11,1.12,0.009000000000000001,2016-11-22,06:00:00,bef
2016-08-25 06:00:00,1.01,1.03,0.0178,2016-08-25,06:00:00,bef
2016-05-31 06:00:00,1.26,1.27,0.0047,2016-05-31,06:00:00,bef
2015-12-03 06:00:00,1.0,1.03,0.03,2015-12-03,06:00:00,bef
2015-09-03 07:00:00,1.01,1.02,0.0079,2015-09-03,07:00:00,bef
2015-06-02 07:00:00,1.11,1.16,0.046900000000000004,2015-06-02,07:00:00,bef
2015-02-17 07:00:00,0.97,1.01,0.042300000000000004,2015-02-17,07:00:00,bef
2014-08-19 07:00:00,0.92,0.93,0.0098,2014-08-19,07:00:00,bef
2014-05-20 04:00:00,1.12,1.12,-0.0022,2014-05-20,04:00:00,bef
2014-02-18 05:00:00,0.91,0.91,-0.0022,2014-02-18,05:00:00,bef
2013-11-19 05:00:00,0.9,0.91,0.009300000000000001,2013-11-19,05:00:00,bef
2013-08-20 04:00:00,0.88,0.88,-0.0008,2013-08-20,04:00:00,bef
2013-05-21 04:00:00,1.03,1.1,0.0675,2013-05-21,04:00:00,bef
2013-02-19 05:00:00,0.91,0.93,0.0175,2013-02-19,05:00:00,bef
2012-11-20 05:00:00,0.88,0.88,-0.0033000000000000004,2012-11-20,05:00:00,bef
2012-05-22 04:00:00,0.98,0.99,0.0106,2012-05-22,04:00:00,bef
2012-02-21 05:00:00,0.84,0.84,-0.0009,2012-02-21,05:00:00,bef
2011-11-22 05:00:00,0.82,0.84,0.026099999999999998,2011-11-22,05:00:00,bef
2011-08-23 04:00:00,0.79,0.79,-0.0029,2011-08-23,04:00:00,bef
2011-05-24 04:00:00,0.92,0.9,-0.026600000000000002,2011-05-24,04:00:00,bef
2011-02-22 05:00:00,0.84,0.86,0.028999999999999998,2011-02-22,05:00:00,bef
2010-11-23 05:00:00,0.81,0.82,0.0085,2010-11-23,05:00:00,bef
2010-08-24 04:00:00,0.8,0.8,-0.0059,2010-08-24,04:00:00,bef
2010-05-25 04:00:00,0.88,0.9,0.0207,2010-05-25,04:00:00,bef
2010-02-23 05:00:00,0.76,0.77,0.0171,2010-02-23,05:00:00,bef
2009-11-24 05:00:00,0.74,0.77,0.038,2009-11-24,05:00:00,bef
2009-08-25 04:00:00,0.78,0.79,0.0069,2009-08-25,04:00:00,bef
2009-05-19 04:00:00,0.82,0.82,-0.0047,2009-05-19,04:00:00,bef
2009-02-17 05:00:00,0.7,0.71,0.017,2009-02-17,05:00:00,bef
2008-11-18 05:00:00,0.71,0.67,-0.0534,2008-11-18,05:00:00,bef
2008-08-19 04:00:00,0.69,0.72,0.0401,2008-08-19,04:00:00,bef
2008-05-20 04:00:00,0.73,0.78,0.0753,2008-05-20,04:00:00,bef
2008-02-19 05:00:00,0.61,0.63,0.0281,2008-02-19,05:00:00,bef
2007-11-19 05:00:00,0.56,0.58,0.0296,2007-11-19,05:00:00,bef
2007-08-21 04:00:00,0.62,0.62,0.0008,2007-08-21,04:00:00,bef
2007-05-22 04:00:00,0.62,0.66,0.0601,2007-05-22,04:00:00,bef
2007-02-20 05:00:00,0.58,0.61,0.053,2007-02-20,05:00:00,bef
2006-11-20 05:00:00,0.56,0.59,0.0542,2006-11-20,05:00:00,bef
2006-08-22 04:00:00,0.54,0.55,0.014499999999999999,2006-08-22,04:00:00,bef
2006-05-23 04:00:00,0.62,0.62,-0.0024,2006-05-23,04:00:00,bef
2006-02-21 05:00:00,0.55,0.55,-0.0058,2006-02-21,05:00:00,bef
