Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 16:00:00,1.45,2.0,0.3793,2022-08-03,16:00:00,aft
2022-05-04 16:00:00,1.65,2.08,0.2606,2022-05-04,16:00:00,aft
2022-02-02 16:00:00,1.47,2.17,0.47619999999999996,2022-02-02,16:00:00,aft
2021-11-03 16:00:00,1.74,2.39,0.37590000000000007,2021-11-03,16:00:00,aft
2021-08-04 16:00:00,1.62,2.37,0.46030000000000004,2021-08-04,16:00:00,aft
2021-05-05 16:00:00,1.53,2.2,0.43700000000000006,2021-05-05,16:00:00,aft
2021-02-03 16:00:00,1.52,2.03,0.33640000000000003,2021-02-03,16:00:00,aft
2020-11-04 16:00:00,1.61,1.73,0.0725,2020-11-04,16:00:00,aft
2020-08-05 16:00:00,0.9,0.83,-0.07980000000000001,2020-08-05,16:00:00,aft
2020-05-06 16:00:00,1.44,1.58,0.0987,2020-05-06,16:00:00,aft
2020-02-05 16:00:00,1.38,1.98,0.44,2020-02-05,16:00:00,aft
2019-10-30 16:00:00,1.4,1.27,-0.08960000000000001,2019-10-30,16:00:00,aft
2019-07-31 16:00:00,1.34,1.38,0.031400000000000004,2019-07-31,16:00:00,aft
2019-05-01 16:00:00,1.27,1.48,0.1617,2019-05-01,16:00:00,aft
2019-02-06 16:00:00,1.28,1.35,0.052199999999999996,2019-02-06,16:00:00,aft
2018-11-01 16:00:00,1.27,1.38,0.09,2018-11-01,16:00:00,aft
2018-08-01 16:00:00,1.17,1.3,0.10830000000000001,2018-08-01,16:00:00,aft
2018-05-02 16:00:00,1.17,1.36,0.1674,2018-05-02,16:00:00,aft
2018-02-13 16:00:00,0.64,0.64,-0.0016,2018-02-13,16:00:00,aft
2017-11-01 16:00:00,0.9,1.09,0.20980000000000001,2017-11-01,16:00:00,aft
2017-08-02 16:00:00,1.28,1.04,-0.1875,2017-08-02,16:00:00,aft
2017-05-03 16:00:00,1.27,1.19,-0.0659,2017-05-03,16:00:00,aft
2017-02-01 16:00:00,1.35,1.28,-0.0483,2017-02-01,16:00:00,aft
2016-11-02 17:00:00,1.14,1.28,0.1268,2016-11-02,17:00:00,aft
2016-08-03 16:00:00,1.35,0.83,-0.38560000000000005,2016-08-03,16:00:00,aft
2016-05-04 16:00:00,1.38,1.2,-0.1285,2016-05-04,16:00:00,aft
2016-02-03 16:00:00,1.36,1.23,-0.0943,2016-02-03,16:00:00,aft
2015-11-04 16:00:00,0.76,0.62,-0.18309999999999998,2015-11-04,16:00:00,aft
2015-07-29 16:00:00,1.49,1.56,0.049100000000000005,2015-07-29,16:00:00,aft
2015-05-06 16:00:00,1.41,1.44,0.0206,2015-05-06,16:00:00,aft
2015-02-11 16:00:00,1.36,1.38,0.013999999999999999,2015-02-11,16:00:00,aft
2014-10-29 16:00:00,1.38,1.6,0.1594,2014-10-29,16:00:00,aft
2014-07-30 04:00:00,1.41,1.39,-0.015300000000000001,2014-07-30,04:00:00,bef
2014-04-30 04:00:00,1.39,1.37,-0.0178,2014-04-30,04:00:00,bef
2014-02-12 05:00:00,1.3,1.37,0.052199999999999996,2014-02-12,05:00:00,bef
2013-10-30 04:00:00,1.35,1.34,-0.0101,2013-10-30,04:00:00,bef
