Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 16:00:00,0.23,0.03,-0.8706999999999999,2022-08-03,16:00:00,aft
2022-05-02 16:00:00,-0.09,0.01,1.1124,2022-05-02,16:00:00,aft
2022-02-09 16:00:00,0.02,0.12,4.714300000000001,2022-02-09,16:00:00,aft
2021-11-03 17:00:00,-0.01,0.03,3.1429000000000005,2021-11-03,17:00:00,aft
2021-08-04 16:00:00,-0.3,-0.13,0.5724,2021-08-04,16:00:00,aft
2021-04-28 16:00:00,-0.85,-0.69,0.19010000000000002,2021-04-28,16:00:00,aft
2021-02-10 16:00:00,-0.91,-0.92,-0.0077,2021-02-10,16:00:00,aft
2020-10-29 16:00:00,-1.04,-1.08,-0.0375,2020-10-29,16:00:00,aft
2020-07-30 16:00:00,-1.7,-1.67,0.0165,2020-07-30,16:00:00,aft
2020-04-30 16:00:00,-0.32,1.64,6.125,2020-04-30,16:00:00,aft
2020-04-23 09:00:00,-0.32,1.64,6.125,2020-04-23,09:00:00,bef
2020-02-12 16:00:00,0.26,0.08,-0.6958,2020-02-12,16:00:00,aft
2019-10-30 16:00:00,0.29,-0.08,-1.2749,2019-10-30,16:00:00,aft
2019-07-25 16:00:00,0.25,0.08,-0.6787000000000001,2019-07-25,16:00:00,aft
2019-04-29 16:00:00,0.21,0.05,-0.7642,2019-04-29,16:00:00,aft
2019-02-13 16:00:00,0.13,-0.06,-1.4545,2019-02-13,16:00:00,aft
2018-10-30 20:00:00,0.19,0.26,0.34020000000000006,2018-10-30,20:00:00,aft
2018-08-02 07:00:00,0.29,0.21,-0.2784,2018-08-02,07:00:00,bef
2018-04-26 08:00:00,0.29,0.38,0.3194,2018-04-26,08:00:00,bef
2017-11-08 07:00:00,0.34,0.34,-0.0087,2017-11-08,07:00:00,bef
2017-07-27 10:00:00,0.3,0.3,0.013500000000000002,2017-07-27,10:00:00,bef
2017-04-27 15:00:00,0.29,0.38,0.2925,2017-04-27,15:00:00,bef
2017-02-16 07:00:00,0.21,0.11,-0.47869999999999996,2017-02-16,07:00:00,bef
2016-11-07 16:00:00,0.11,0.58,4.3211,2016-11-07,16:00:00,aft
2016-08-04 09:00:00,0.23,0.3,0.3274,2016-08-04,09:00:00,bef
2016-05-05 09:00:00,0.11,0.16,0.4815,2016-05-05,09:00:00,bef
2016-02-18 07:00:00,0.08,-0.06,-1.7792,2016-02-18,07:00:00,bef
2015-10-29 07:00:00,0.04,0.12,2.2432,2015-10-29,07:00:00,bef
2015-08-04 08:00:00,0.11,0.17,0.5740999999999999,2015-08-04,08:00:00,bef
2015-05-04 08:00:00,0.14,0.33,1.4444,2015-05-04,08:00:00,bef
2015-02-17 08:00:00,0.06,-0.7,-12.4754,2015-02-17,08:00:00,bef
2014-10-30 08:00:00,0.06,-0.02,-1.3390000000000002,2014-10-30,08:00:00,bef
2014-08-05 04:00:00,0.1,0.22,1.1037000000000001,2014-08-05,04:00:00,bef
2014-04-29 04:00:00,0.09,0.22,1.4986000000000002,2014-04-29,04:00:00,bef
2014-02-19 05:00:00,-0.01,-0.08,-10.142100000000001,2014-02-19,05:00:00,bef
2013-10-31 04:00:00,-0.03,0.02,1.7508000000000001,2013-10-31,04:00:00,bef
2013-08-06 04:00:00,0.01,0.04,3.0,2013-08-06,04:00:00,bef
2013-05-02 04:00:00,-0.1,0.03,1.2889,2013-05-02,04:00:00,bef
2013-02-20 05:00:00,-0.22,-0.23,-0.0316,2013-02-20,05:00:00,bef
2012-10-31 04:00:00,-0.17,-0.23,-0.36060000000000003,2012-10-31,04:00:00,bef
2012-08-07 04:00:00,-0.16,-0.12,0.22820000000000001,2012-08-07,04:00:00,bef
2012-05-03 04:00:00,-0.16,-0.09,0.43060000000000004,2012-05-03,04:00:00,bef
2012-02-22 05:00:00,-0.19,-0.21,-0.08199999999999999,2012-02-22,05:00:00,bef
2011-11-03 04:00:00,-0.14,-0.14,0.027999999999999997,2011-11-03,04:00:00,bef
2011-08-08 04:00:00,-0.13,-0.05,0.6199,2011-08-08,04:00:00,bef
2011-05-04 04:00:00,-0.19,-0.16,0.1534,2011-05-04,04:00:00,bef
2011-02-14 05:00:00,-0.22,-0.2,0.0911,2011-02-14,05:00:00,bef
2010-11-03 04:00:00,-0.23,-0.21,0.10550000000000001,2010-11-03,04:00:00,bef
2010-08-03 04:00:00,-0.24,-0.35,-0.43950000000000006,2010-08-03,04:00:00,bef
2010-05-06 04:00:00,-0.27,-0.31,-0.1684,2010-05-06,04:00:00,bef
2010-02-18 05:00:00,-0.13,-0.21,-0.6556000000000001,2010-02-18,05:00:00,bef
2009-11-05 05:00:00,-0.08,0.01,1.1327,2009-11-05,05:00:00,bef
2009-08-03 04:00:00,-0.09,-0.12,-0.3833,2009-08-03,04:00:00,bef
2009-05-04 04:00:00,-0.07,-0.1,-0.43119999999999997,2009-05-04,04:00:00,bef
2009-03-17 04:00:00,0.14,-0.11,-1.7761000000000002,2009-03-17,04:00:00,bef
2008-10-29 04:00:00,0.31,0.22,-0.2908,2008-10-29,04:00:00,bef
2008-08-05 04:00:00,0.42,0.4,-0.056600000000000004,2008-08-05,04:00:00,bef
2008-05-06 04:00:00,0.43,0.4,-0.0601,2008-05-06,04:00:00,bef
2008-02-21 05:00:00,0.55,0.43,-0.22030000000000002,2008-02-21,05:00:00,bef
2007-10-30 04:00:00,0.5,0.62,0.2338,2007-10-30,04:00:00,bef
2007-08-02 04:00:00,0.58,0.62,0.0616,2007-08-02,04:00:00,bef
2007-05-03 04:00:00,0.63,0.59,-0.0635,2007-05-03,04:00:00,bef
2007-02-14 05:00:00,0.48,0.53,0.1028,2007-02-14,05:00:00,bef
2006-11-02 05:00:00,0.41,0.54,0.32520000000000004,2006-11-02,05:00:00,bef
2006-08-03 04:00:00,0.53,0.56,0.0667,2006-08-03,04:00:00,bef
2006-04-27 04:00:00,0.52,0.56,0.078,2006-04-27,04:00:00,bef
2006-02-23 05:00:00,0.33,0.35,0.060599999999999994,2006-02-23,05:00:00,bef
2005-10-26 04:00:00,0.41,0.38,-0.0747,2005-10-26,04:00:00,bef
