Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 16:00:00,4.29,4.41,0.0282,2022-07-28,16:00:00,aft
2022-04-28 16:00:00,2.9,3.78,0.3017,2022-04-28,16:00:00,aft
2022-02-10 16:00:00,2.87,2.95,0.029300000000000003,2022-02-10,16:00:00,aft
2021-10-28 16:00:00,3.81,3.95,0.0376,2021-10-28,16:00:00,aft
2021-07-29 16:00:00,3.68,4.45,0.2109,2021-07-29,16:00:00,aft
2021-04-29 16:00:00,2.81,3.49,0.2416,2021-04-29,16:00:00,aft
2021-02-11 16:00:00,2.87,3.54,0.2347,2021-02-11,16:00:00,aft
2020-10-29 16:00:00,2.14,3.26,0.5227,2020-10-29,16:00:00,aft
2020-08-06 16:00:00,-0.09,0.37,5.0217,2020-08-06,16:00:00,aft
2020-05-04 16:00:00,1.66,1.66,0.0012,2020-05-04,16:00:00,aft
2020-02-13 16:00:00,2.2,2.25,0.0213,2020-02-13,16:00:00,aft
2019-10-24 16:00:00,2.64,2.75,0.04360000000000001,2019-10-24,16:00:00,aft
2019-07-25 16:00:00,2.87,2.89,0.006999999999999999,2019-07-25,16:00:00,aft
2019-04-25 16:00:00,2.08,2.13,0.0255,2019-04-25,16:00:00,aft
2019-02-07 16:00:00,2.5,2.53,0.013999999999999999,2019-02-07,16:00:00,aft
2018-10-25 16:00:00,3.58,3.29,-0.0802,2018-10-25,16:00:00,aft
2018-07-25 16:00:00,3.9,3.51,-0.0993,2018-07-25,16:00:00,aft
2018-04-26 16:00:00,3.0,3.01,0.004,2018-04-26,16:00:00,aft
2018-02-08 16:00:00,3.32,3.42,0.0298,2018-02-08,16:00:00,aft
2017-10-26 16:00:00,3.74,3.75,0.0032,2017-10-26,16:00:00,aft
2017-07-27 16:00:00,3.6,3.72,0.0322,2017-07-27,16:00:00,aft
2017-04-27 16:00:00,2.72,2.72,0.0011,2017-04-27,16:00:00,aft
2017-02-09 16:00:00,3.22,3.26,0.0118,2017-02-09,16:00:00,aft
2016-11-03 16:00:00,3.46,3.5,0.011899999999999999,2016-11-03,16:00:00,aft
2016-08-04 16:00:00,3.37,3.47,0.0294,2016-08-04,16:00:00,aft
2016-05-05 16:00:00,2.32,2.38,0.025400000000000002,2016-05-05,16:00:00,aft
2016-02-25 16:00:00,2.73,2.82,0.033,2016-02-25,16:00:00,aft
2015-11-05 16:00:00,2.99,2.98,-0.003,2015-11-05,16:00:00,aft
2015-08-06 16:00:00,2.62,2.69,0.0259,2015-08-06,16:00:00,aft
2015-05-07 16:00:00,1.6,1.7,0.0599,2015-05-07,16:00:00,aft
2015-02-19 16:00:00,2.21,2.27,0.0281,2015-02-19,16:00:00,aft
2014-10-30 16:00:00,2.42,2.44,0.0091,2014-10-30,16:00:00,aft
2014-07-31 04:00:00,2.2,2.21,0.0049,2014-07-31,04:00:00,bef
2014-05-01 04:00:00,1.17,1.23,0.0507,2014-05-01,04:00:00,bef
2014-02-20 05:00:00,1.74,1.79,0.026000000000000002,2014-02-20,05:00:00,bef
2013-10-31 04:00:00,1.9,2.02,0.06269999999999999,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,1.66,1.84,0.1095,2013-08-01,04:00:00,bef
2013-05-02 04:00:00,0.85,0.87,0.0262,2013-05-02,04:00:00,bef
2013-02-21 05:00:00,0.95,1.01,0.0678,2013-02-21,05:00:00,bef
2012-11-01 04:00:00,1.02,1.04,0.0194,2012-11-01,04:00:00,bef
2012-08-02 04:00:00,1.13,1.14,0.0129,2012-08-02,04:00:00,bef
2012-05-03 04:00:00,0.55,0.58,0.0538,2012-05-03,04:00:00,bef
2012-02-23 05:00:00,0.72,0.72,0.0040999999999999995,2012-02-23,05:00:00,bef
2011-11-03 04:00:00,0.86,0.83,-0.0304,2011-11-03,04:00:00,bef
2011-08-04 04:00:00,0.93,0.95,0.0194,2011-08-04,04:00:00,bef
2011-05-05 04:00:00,0.42,0.42,0.0032,2011-05-05,04:00:00,bef
2011-02-22 05:00:00,0.57,0.66,0.1643,2011-02-22,05:00:00,bef
2010-11-04 04:00:00,0.77,0.74,-0.0356,2010-11-04,04:00:00,bef
2010-08-05 04:00:00,0.71,0.77,0.08220000000000001,2010-08-05,04:00:00,bef
2010-04-29 04:00:00,0.18,0.35,0.9783000000000001,2010-04-29,04:00:00,bef
2010-02-25 05:00:00,0.34,0.56,0.6694,2010-02-25,05:00:00,bef
2009-10-29 04:00:00,0.58,0.64,0.1059,2009-10-29,04:00:00,bef
2009-07-30 04:00:00,0.47,0.79,0.6844,2009-07-30,04:00:00,bef
2009-04-23 04:00:00,-0.85,-0.45,0.4679,2009-04-23,04:00:00,bef
2009-02-23 05:00:00,0.22,-1.87,-9.4303,2009-02-23,05:00:00,bef
2008-11-03 05:00:00,1.11,1.1,-0.0117,2008-11-03,05:00:00,bef
2008-07-21 04:00:00,1.27,1.29,0.0126,2008-07-21,04:00:00,bef
2008-04-17 04:00:00,0.9,0.95,0.0504,2008-04-17,04:00:00,bef
2008-02-13 05:00:00,1.54,1.57,0.0182,2008-02-13,05:00:00,bef
2007-10-18 04:00:00,1.65,1.78,0.081,2007-10-18,04:00:00,bef
2007-07-19 04:00:00,1.58,1.68,0.0618,2007-07-19,04:00:00,bef
2007-04-19 04:00:00,1.07,1.24,0.163,2007-04-19,04:00:00,bef
2007-02-15 05:00:00,1.52,1.91,0.2547,2007-02-15,05:00:00,bef
2006-10-26 04:00:00,1.79,1.8,0.0073,2006-10-26,04:00:00,bef
2006-07-27 04:00:00,1.55,1.7,0.0989,2006-07-27,04:00:00,bef
2006-04-27 04:00:00,1.04,1.16,0.1144,2006-04-27,04:00:00,bef
2006-02-23 05:00:00,1.5,1.59,0.06,2006-02-23,05:00:00,bef
2005-10-19 04:00:00,1.61,1.61,0.0011,2005-10-19,04:00:00,bef
2005-07-20 04:00:00,1.35,1.39,0.0273,2005-07-20,04:00:00,bef
2005-04-21 04:00:00,1.08,1.03,-0.044500000000000005,2005-04-21,04:00:00,bef
2005-02-15 05:00:00,1.53,1.52,-0.009000000000000001,2005-02-15,05:00:00,bef
2004-10-20 04:00:00,1.5,1.67,0.11630000000000001,2004-10-20,04:00:00,bef
2004-07-21 04:00:00,1.3,1.29,-0.006,2004-07-21,04:00:00,bef
2004-04-21 04:00:00,1.0,0.98,-0.0212,2004-04-21,04:00:00,bef
2004-02-05 05:00:00,1.42,1.51,0.0659,2004-02-05,05:00:00,bef
2003-10-16 04:00:00,1.35,1.36,0.0099,2003-10-16,04:00:00,bef
2003-07-16 04:00:00,1.07,1.12,0.045599999999999995,2003-07-16,04:00:00,bef
2003-04-16 04:00:00,0.61,0.62,0.0182,2003-04-16,04:00:00,bef
2003-02-06 05:00:00,1.21,1.25,0.0359,2003-02-06,05:00:00,bef
2002-10-14 04:00:00,1.2,1.21,0.012,2002-10-14,04:00:00,bef
2002-07-15 04:00:00,1.11,1.12,0.0103,2002-07-15,04:00:00,bef
2002-04-15 04:00:00,0.67,0.77,0.1493,2002-04-15,04:00:00,bef
2002-02-07 05:00:00,0.94,1.11,0.1788,2002-02-07,05:00:00,bef
2001-10-15 04:00:00,0.88,1.05,0.2,2001-10-15,04:00:00,bef
2001-07-16 04:00:00,0.75,0.88,0.17600000000000002,2001-07-16,04:00:00,bef
2001-04-16 04:00:00,0.5,0.51,0.0166,2001-04-16,04:00:00,bef
2001-02-08 05:00:00,0.73,0.74,0.0165,2001-02-08,05:00:00,bef
2000-10-12 04:00:00,0.87,0.87,0.0023,2000-10-12,04:00:00,bef
2000-07-20 04:00:00,0.85,0.87,0.0187,2000-07-20,04:00:00,bef
2000-04-18 04:00:00,0.58,0.61,0.055400000000000005,2000-04-18,04:00:00,bef
2000-02-10 05:00:00,0.69,0.7,0.014499999999999999,2000-02-10,05:00:00,bef
1999-10-21 04:00:00,0.73,0.74,0.016,1999-10-21,04:00:00,bef
1999-07-22 04:00:00,0.69,0.72,0.0435,1999-07-22,04:00:00,bef
1999-04-22 04:00:00,0.38,0.46,0.2159,1999-04-22,04:00:00,bef
1999-02-04 05:00:00,0.56,0.67,0.1894,1999-02-04,05:00:00,bef
1998-10-15 04:00:00,0.56,0.61,0.0828,1998-10-15,04:00:00,bef
1998-07-16 04:00:00,0.49,0.59,0.21230000000000002,1998-07-16,04:00:00,bef
1998-04-16 04:00:00,0.22,0.28,0.25379999999999997,1998-04-16,04:00:00,bef
1998-02-05 05:00:00,0.34,0.46,0.36090000000000005,1998-02-05,05:00:00,bef
1997-10-16 04:00:00,0.36,0.4,0.11449999999999999,1997-10-16,04:00:00,bef
1997-07-17 04:00:00,0.36,0.37,0.0256,1997-07-17,04:00:00,bef
1997-04-17 04:00:00,0.15,0.17,0.0965,1997-04-17,04:00:00,bef
1997-02-10 05:00:00,0.26,0.27,0.0257,1997-02-10,05:00:00,bef
1996-10-16 04:00:00,0.28,0.36,0.2706,1996-10-16,04:00:00,bef
1996-07-17 04:00:00,0.29,0.32,0.1034,1996-07-17,04:00:00,bef
1996-04-17 04:00:00,0.09,0.11,0.1636,1996-04-17,04:00:00,bef
1996-02-09 05:00:00,0.12,0.13,0.1009,1996-02-09,05:00:00,bef
1995-10-27 04:00:00,0.13,0.13,0.039,1995-10-27,04:00:00,bef
1995-07-21 04:00:00,0.15,0.17,0.1711,1995-07-21,04:00:00,bef
1995-04-18 04:00:00,0.1,0.09,-0.1034,1995-04-18,04:00:00,bef
1995-02-10 05:00:00,0.15,0.15,-0.0062,1995-02-10,05:00:00,bef
1994-10-18 04:00:00,0.28,0.27,-0.0588,1994-10-18,04:00:00,bef
1994-07-21 04:00:00,0.26,0.25,-0.057300000000000004,1994-07-21,04:00:00,bef
1994-04-22 04:00:00,0.15,-0.01,-1.045,1994-04-22,04:00:00,bef
1994-02-18 05:00:00,0.25,0.24,-0.027000000000000003,1994-02-18,05:00:00,bef
