Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-10-06 06:00:00,0.76,0.69,-0.09330000000000001,2022-10-06,06:00:00,bef
2022-09-07 17:00:00,0.83,0.65,-0.214,2022-09-07,17:00:00,aft
2022-06-29 06:00:00,0.65,0.48,-0.2593,2022-06-29,06:00:00,bef
2022-03-29 06:00:00,0.62,0.63,0.0194,2022-03-29,06:00:00,bef
2022-01-27 06:00:00,0.8,0.84,0.05,2022-01-27,06:00:00,bef
2021-09-30 06:00:00,0.72,0.8,0.10960000000000002,2021-09-30,06:00:00,bef
2021-07-01 06:00:00,0.62,0.69,0.122,2021-07-01,06:00:00,bef
2021-03-30 06:00:00,0.59,0.72,0.23079999999999998,2021-03-30,06:00:00,bef
2021-01-28 06:00:00,0.81,0.79,-0.0211,2021-01-28,06:00:00,bef
2020-09-29 06:00:00,0.76,0.77,0.0053,2020-09-29,06:00:00,bef
2020-06-25 06:00:00,0.58,0.74,0.2716,2020-06-25,06:00:00,bef
2020-03-31 06:00:00,0.52,0.54,0.04650000000000001,2020-03-31,06:00:00,bef
2020-01-28 06:00:00,0.81,0.81,-0.0025,2020-01-28,06:00:00,bef
2019-10-01 06:00:00,0.65,0.73,0.1318,2019-10-01,06:00:00,bef
2019-06-27 06:00:00,0.54,0.58,0.0761,2019-06-27,06:00:00,bef
2019-03-26 06:00:00,0.52,0.56,0.0874,2019-03-26,06:00:00,bef
2019-01-24 06:00:00,0.85,0.84,-0.02,2019-01-24,06:00:00,bef
2018-09-27 06:00:00,1.27,1.28,0.0055000000000000005,2018-09-27,06:00:00,bef
2018-06-28 06:00:00,0.93,1.02,0.1003,2018-06-28,06:00:00,bef
2018-03-27 06:00:00,0.91,1.0,0.105,2018-03-27,06:00:00,bef
2018-01-25 06:00:00,1.52,1.54,0.0165,2018-01-25,06:00:00,bef
2017-09-28 06:00:00,1.05,1.12,0.0707,2017-09-28,06:00:00,bef
2017-06-29 06:00:00,0.76,0.82,0.0775,2017-06-29,06:00:00,bef
2017-03-28 06:00:00,0.74,0.76,0.0215,2017-03-28,06:00:00,bef
2017-01-25 06:00:00,1.27,1.27,-0.0024,2017-01-25,06:00:00,bef
2016-09-30 06:00:00,0.94,1.03,0.09230000000000001,2016-09-30,06:00:00,bef
2016-06-30 06:00:00,0.74,0.75,0.0108,2016-06-30,06:00:00,bef
2016-03-29 06:00:00,0.69,0.74,0.0787,2016-03-29,06:00:00,bef
2016-01-28 06:00:00,1.17,1.18,0.006,2016-01-28,06:00:00,bef
2015-10-01 06:00:00,0.87,0.85,-0.0196,2015-10-01,06:00:00,bef
2015-07-01 06:00:00,0.68,0.75,0.10130000000000002,2015-07-01,06:00:00,bef
2015-03-24 06:00:00,0.64,0.7,0.09720000000000001,2015-03-24,06:00:00,bef
2015-01-28 06:00:00,1.14,1.16,0.0158,2015-01-28,06:00:00,bef
2014-10-02 12:00:00,0.81,0.95,0.1714,2014-10-02,12:00:00,bef
2014-06-26 04:00:00,0.62,0.64,0.0304,2014-06-26,04:00:00,bef
2014-03-25 04:00:00,0.58,0.62,0.0719,2014-03-25,04:00:00,bef
2014-01-29 05:00:00,1.19,1.2,0.0079,2014-01-29,05:00:00,bef
2013-09-26 04:00:00,0.78,0.78,-0.0053,2013-09-26,04:00:00,bef
2013-06-27 04:00:00,0.61,0.61,0.0012,2013-06-27,04:00:00,bef
2013-04-02 04:00:00,0.56,0.57,0.0118,2013-04-02,04:00:00,bef
2013-01-24 05:00:00,1.14,1.11,-0.0292,2013-01-24,05:00:00,bef
2012-09-27 04:00:00,0.76,0.78,0.027400000000000004,2012-09-27,04:00:00,bef
2012-06-27 04:00:00,0.6,0.6,-0.0069,2012-06-27,04:00:00,bef
2012-03-27 04:00:00,0.53,0.55,0.0408,2012-03-27,04:00:00,bef
2012-01-26 05:00:00,0.97,0.98,0.0125,2012-01-26,05:00:00,bef
2011-09-28 04:00:00,0.64,0.69,0.07110000000000001,2011-09-28,04:00:00,bef
2011-06-30 04:00:00,0.54,0.55,0.018500000000000003,2011-06-30,04:00:00,bef
2011-03-29 04:00:00,0.54,0.57,0.0575,2011-03-29,04:00:00,bef
2011-01-26 05:00:00,0.96,0.99,0.0366,2011-01-26,05:00:00,bef
2010-09-30 04:00:00,0.59,0.66,0.113,2010-09-30,04:00:00,bef
2010-06-24 04:00:00,0.44,0.49,0.10220000000000001,2010-06-24,04:00:00,bef
2010-03-25 04:00:00,0.48,0.51,0.0737,2010-03-25,04:00:00,bef
2010-01-28 05:00:00,0.91,0.91,0.0024,2010-01-28,05:00:00,bef
2009-09-24 04:00:00,0.54,0.57,0.0534,2009-09-24,04:00:00,bef
2009-06-25 04:00:00,0.41,0.42,0.025400000000000002,2009-06-25,04:00:00,bef
2009-03-24 04:00:00,0.44,0.44,-0.005,2009-03-24,04:00:00,bef
2009-01-28 05:00:00,0.82,0.84,0.026000000000000002,2009-01-28,05:00:00,bef
2008-09-25 04:00:00,0.48,0.5,0.0417,2008-09-25,04:00:00,bef
2008-06-26 04:00:00,0.39,0.39,0.0078000000000000005,2008-06-26,04:00:00,bef
2008-03-27 04:00:00,0.38,0.41,0.0789,2008-03-27,04:00:00,bef
2008-01-23 05:00:00,0.74,0.75,0.011000000000000001,2008-01-23,05:00:00,bef
2007-09-27 04:00:00,0.43,0.45,0.037700000000000004,2007-09-27,04:00:00,bef
2007-06-27 04:00:00,0.33,0.35,0.057699999999999994,2007-06-27,04:00:00,bef
2007-03-27 04:00:00,0.31,0.37,0.1789,2007-03-27,04:00:00,bef
2007-01-24 05:00:00,0.7,0.72,0.0335,2007-01-24,05:00:00,bef
2006-09-27 04:00:00,0.36,0.42,0.1807,2006-09-27,04:00:00,bef
2006-06-28 04:00:00,0.3,0.32,0.0743,2006-06-28,04:00:00,bef
2006-03-21 05:00:00,0.24,0.27,0.1359,2006-03-21,05:00:00,bef
2006-01-25 05:00:00,0.68,0.7,0.0305,2006-01-25,05:00:00,bef
2005-09-28 04:00:00,0.34,0.35,0.0403,2005-09-28,04:00:00,bef
2005-06-30 04:00:00,0.3,0.31,0.025400000000000002,2005-06-30,04:00:00,bef
2005-03-22 05:00:00,0.28,0.26,-0.0877,2005-03-22,05:00:00,bef
2005-01-26 05:00:00,0.66,0.64,-0.0337,2005-01-26,05:00:00,bef
2004-09-29 04:00:00,0.32,0.33,0.0233,2004-09-29,04:00:00,bef
2004-06-29 04:00:00,0.29,0.29,0.0034999999999999996,2004-06-29,04:00:00,bef
2004-03-23 05:00:00,0.27,0.27,0.0037,2004-03-23,05:00:00,bef
2004-01-28 05:00:00,0.61,0.61,0.0021,2004-01-28,05:00:00,bef
2003-09-24 04:00:00,0.29,0.29,0.005,2003-09-24,04:00:00,bef
2003-06-27 04:00:00,0.26,0.27,0.0547,2003-06-27,04:00:00,bef
2003-03-25 05:00:00,0.26,0.23,-0.1266,2003-03-25,05:00:00,bef
2003-01-29 05:00:00,0.55,0.55,-0.0054,2003-01-29,05:00:00,bef
2002-09-25 04:00:00,0.26,0.25,-0.0329,2002-09-25,04:00:00,bef
2002-06-19 04:00:00,0.22,0.24,0.0787,2002-06-19,04:00:00,bef
2002-03-19 05:00:00,0.22,0.24,0.0693,2002-03-19,05:00:00,bef
2002-01-23 05:00:00,0.47,0.48,0.0215,2002-01-23,05:00:00,bef
2001-09-19 04:00:00,0.25,0.26,0.061200000000000004,2001-09-19,04:00:00,bef
2001-06-20 04:00:00,0.18,0.19,0.041100000000000005,2001-06-20,04:00:00,bef
2001-03-19 05:00:00,0.18,0.19,0.0666,2001-03-19,05:00:00,bef
2001-01-18 05:00:00,0.42,0.42,-0.0011,2001-01-18,05:00:00,bef
2000-09-19 04:00:00,0.22,0.23,0.04650000000000001,2000-09-19,04:00:00,bef
2000-06-14 04:00:00,0.16,0.18,0.08140000000000001,2000-06-14,04:00:00,bef
2000-03-14 05:00:00,0.14,0.18,0.2353,2000-03-14,05:00:00,bef
2000-01-13 05:00:00,0.38,0.39,0.0144,2000-01-13,05:00:00,bef
1999-09-16 04:00:00,0.16,0.2,0.1908,1999-09-16,04:00:00,bef
1999-06-16 04:00:00,0.12,0.14,0.1245,1999-06-16,04:00:00,bef
1999-03-16 05:00:00,0.12,0.13,0.0338,1999-03-16,05:00:00,bef
1999-01-15 05:00:00,0.36,0.34,-0.0655,1999-01-15,05:00:00,bef
1998-09-17 04:00:00,0.15,0.14,-0.038700000000000005,1998-09-17,04:00:00,bef
1998-06-16 04:00:00,0.11,0.11,-0.0294,1998-06-16,04:00:00,bef
1998-03-17 05:00:00,0.11,0.11,-0.015,1998-03-17,05:00:00,bef
1998-01-14 05:00:00,0.32,0.33,0.017,1998-01-14,05:00:00,bef
1997-09-17 04:00:00,0.13,0.13,-0.0305,1997-09-17,04:00:00,bef
1997-06-16 04:00:00,0.1,0.1,0.0256,1997-06-16,04:00:00,bef
1997-03-18 05:00:00,0.09,0.1,0.0909,1997-03-18,05:00:00,bef
1997-01-14 05:00:00,0.29,0.29,-0.015300000000000001,1997-01-14,05:00:00,bef
1996-09-24 04:00:00,0.14,0.14,0.0175,1996-09-24,04:00:00,bef
1996-06-18 04:00:00,0.09,0.07,-0.18710000000000002,1996-06-18,04:00:00,bef
1996-03-18 05:00:00,0.09,0.06,-0.38549999999999995,1996-03-18,05:00:00,bef
1996-01-15 05:00:00,0.29,0.26,-0.0941,1996-01-15,05:00:00,bef
1995-09-19 04:00:00,0.15,0.13,-0.1722,1995-09-19,04:00:00,bef
1995-06-19 04:00:00,0.11,0.1,-0.0868,1995-06-19,04:00:00,bef
