Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 12:00:00,4.29,4.55,0.060599999999999994,2022-07-28,12:00:00,bef
2022-07-27 16:00:00,4.29,4.55,0.0596,2022-07-27,16:00:00,aft
2022-04-27 16:00:00,4.66,4.9,0.052000000000000005,2022-04-27,16:00:00,aft
2022-02-09 16:00:00,2.75,2.88,0.048,2022-02-09,16:00:00,aft
2021-10-27 16:00:00,2.79,2.83,0.013600000000000001,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,3.38,3.4,0.0070999999999999995,2021-07-28,16:00:00,aft
2021-04-28 16:00:00,3.68,4.44,0.2065,2021-04-28,16:00:00,aft
2021-02-10 16:00:00,0.89,-0.51,-1.575,2021-02-10,16:00:00,aft
2020-10-28 16:00:00,2.24,3.36,0.5007,2020-10-28,16:00:00,aft
2020-07-30 16:00:00,4.57,4.79,0.048600000000000004,2020-07-30,16:00:00,aft
2020-04-30 16:00:00,2.95,3.02,0.0248,2020-04-30,16:00:00,aft
2020-02-10 16:00:00,2.65,2.73,0.031400000000000004,2020-02-10,16:00:00,aft
2019-10-29 16:00:00,2.72,2.8,0.028700000000000003,2019-10-29,16:00:00,aft
2019-07-30 16:00:00,2.66,3.11,0.1709,2019-07-30,16:00:00,aft
2019-04-29 16:00:00,2.44,3.04,0.2439,2019-04-29,16:00:00,aft
2019-02-11 16:00:00,1.52,3.07,1.0211000000000001,2019-02-11,16:00:00,aft
2018-10-31 16:00:00,1.64,2.97,0.8109999999999999,2018-10-31,16:00:00,aft
2018-07-31 16:00:00,1.08,3.08,1.8651,2018-07-31,16:00:00,aft
2018-04-30 07:00:00,0.77,1.71,1.2324,2018-04-30,07:00:00,bef
2018-02-12 16:00:00,0.18,-3.42,-19.895,2018-02-12,16:00:00,aft
2017-11-02 16:00:00,0.2,-1.62,-9.181799999999999,2017-11-02,16:00:00,aft
2017-08-02 16:00:00,0.84,-4.01,-5.756799999999999,2017-08-02,16:00:00,aft
2017-05-02 17:00:00,0.58,1.47,1.5301,2017-05-02,17:00:00,aft
2017-02-15 16:00:00,0.75,-1.54,-3.0588,2017-02-15,16:00:00,aft
2016-10-27 16:00:00,0.76,0.85,0.1126,2016-10-27,16:00:00,aft
2016-07-27 16:00:00,0.49,0.67,0.359,2016-07-27,16:00:00,aft
2016-04-28 16:00:00,0.81,0.51,-0.3711,2016-04-28,16:00:00,aft
2016-02-08 16:00:00,0.61,0.7,0.1494,2016-02-08,16:00:00,aft
2015-10-29 16:00:00,0.69,0.77,0.1241,2015-10-29,16:00:00,aft
2015-07-30 16:00:00,0.63,0.72,0.1392,2015-07-30,16:00:00,aft
2015-05-07 16:00:00,0.49,0.56,0.15230000000000002,2015-05-07,16:00:00,aft
2015-02-09 16:00:00,0.61,0.69,0.1275,2015-02-09,16:00:00,aft
2014-10-30 16:00:00,0.42,0.33,-0.21239999999999998,2014-10-30,16:00:00,aft
2014-07-30 04:00:00,0.41,0.16,-0.6102000000000001,2014-07-30,04:00:00,bef
2014-05-01 04:00:00,-0.02,0.1,5.0404,2014-05-01,04:00:00,bef
2014-02-10 05:00:00,-0.05,-0.2,-2.8602999999999996,2014-02-10,05:00:00,bef
2013-10-30 04:00:00,0.31,0.16,-0.48740000000000006,2013-10-30,04:00:00,bef
2013-07-25 04:00:00,0.31,0.57,0.8203,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.25,0.64,1.5347,2013-04-25,04:00:00,bef
2013-02-07 05:00:00,0.22,0.54,1.5116,2013-02-07,05:00:00,bef
2012-10-23 04:00:00,-0.11,0.07,1.6119999999999999,2012-10-23,04:00:00,bef
2012-07-26 04:00:00,0.02,-0.8,-48.9904,2012-07-26,04:00:00,bef
2012-04-30 04:00:00,0.38,0.39,0.0225,2012-04-30,04:00:00,bef
2012-02-23 05:00:00,0.39,0.72,0.8294,2012-02-23,05:00:00,bef
2011-10-25 04:00:00,0.39,0.41,0.0625,2011-10-25,04:00:00,bef
2011-07-21 04:00:00,0.37,0.38,0.026400000000000003,2011-07-21,04:00:00,bef
2011-04-18 04:00:00,0.31,0.37,0.2013,2011-04-18,04:00:00,bef
2011-02-17 05:00:00,0.35,0.39,0.1204,2011-02-17,05:00:00,bef
2010-10-26 04:00:00,0.33,0.38,0.14650000000000002,2010-10-26,04:00:00,bef
2010-08-04 04:00:00,0.21,0.27,0.316,2010-08-04,04:00:00,bef
2010-05-05 04:00:00,0.12,0.27,1.25,2010-05-05,04:00:00,bef
2010-02-11 05:00:00,-0.11,-0.12,-0.1077,2010-02-11,05:00:00,bef
2009-10-28 04:00:00,0.34,0.22,-0.3575,2009-10-28,04:00:00,bef
2009-08-04 04:00:00,0.39,0.37,-0.042699999999999995,2009-08-04,04:00:00,bef
2009-04-29 04:00:00,0.27,0.31,0.1159,2009-04-29,04:00:00,bef
