Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-01 17:00:00,4.04,3.64,-0.09949999999999999,2022-08-01,17:00:00,aft
2022-05-02 16:00:00,2.4,2.41,0.005,2022-05-02,16:00:00,aft
2022-02-22 16:00:00,1.98,1.95,-0.014199999999999999,2022-02-22,16:00:00,aft
2021-11-01 12:00:00,1.56,1.35,-0.1352,2021-11-01,12:00:00,bef
2021-08-02 16:00:00,0.98,1.17,0.2,2021-08-02,16:00:00,aft
2021-05-03 16:00:00,0.53,0.57,0.0857,2021-05-03,16:00:00,aft
2021-02-17 16:00:00,0.2,0.57,1.9082,2021-02-17,16:00:00,aft
2020-11-02 16:00:00,0.17,0.23,0.3772,2020-11-02,16:00:00,aft
2020-08-03 16:00:00,-0.01,0.11,11.0,2020-08-03,16:00:00,aft
2020-05-04 18:00:00,-0.08,-0.06,0.21050000000000002,2020-05-04,18:00:00,aft
2020-02-19 11:00:00,-0.05,-0.29,-4.4717,2020-02-19,11:00:00,bef
2019-11-04 17:00:00,0.23,0.08,-0.6444,2019-11-04,17:00:00,aft
2019-08-06 06:00:00,0.29,0.12,-0.5833,2019-08-06,06:00:00,bef
2019-05-06 17:00:00,0.24,0.25,0.0373,2019-05-06,17:00:00,aft
2019-02-25 16:00:00,0.57,0.77,0.34850000000000003,2019-02-25,16:00:00,aft
2018-11-05 16:00:00,0.65,0.75,0.1521,2018-11-05,16:00:00,aft
2018-08-06 16:00:00,0.38,0.4,0.0444,2018-08-06,16:00:00,aft
2018-05-07 16:00:00,0.28,0.2,-0.278,2018-05-07,16:00:00,aft
2018-02-19 16:00:00,0.28,0.34,0.193,2018-02-19,16:00:00,aft
2017-10-31 06:00:00,0.18,0.43,1.337,2017-10-31,06:00:00,bef
2017-08-01 06:00:00,0.23,0.29,0.2664,2017-08-01,06:00:00,bef
2017-05-02 06:00:00,0.23,0.04,-0.8222,2017-05-02,06:00:00,bef
2017-02-07 06:00:00,0.13,0.26,1.0155,2017-02-07,06:00:00,bef
2016-11-01 06:00:00,0.1,0.41,3.0196,2016-11-01,06:00:00,bef
2016-08-02 06:00:00,0.12,0.06,-0.4872,2016-08-02,06:00:00,bef
2016-05-04 06:00:00,0.14,0.14,0.0219,2016-05-04,06:00:00,bef
2016-02-11 06:00:00,0.44,0.53,0.1991,2016-02-11,06:00:00,bef
2015-11-03 06:00:00,0.53,0.62,0.1632,2015-11-03,06:00:00,bef
2015-08-04 07:00:00,0.89,1.05,0.18239999999999998,2015-08-04,07:00:00,bef
2015-04-30 06:00:00,0.74,0.7,-0.0591,2015-04-30,06:00:00,bef
2015-02-11 07:00:00,0.86,0.87,0.016399999999999998,2015-02-11,07:00:00,bef
2014-10-30 07:00:00,0.59,0.56,-0.046,2014-10-30,07:00:00,bef
2014-07-31 04:00:00,0.74,0.7,-0.058300000000000005,2014-07-31,04:00:00,bef
2014-05-06 04:00:00,0.59,0.59,-0.0032,2014-05-06,04:00:00,bef
2014-02-11 05:00:00,0.42,0.23,-0.4556,2014-02-11,05:00:00,bef
2013-11-05 05:00:00,0.55,0.51,-0.0804,2013-11-05,05:00:00,bef
2013-07-16 04:00:00,1.14,1.14,0.0025,2013-07-16,04:00:00,bef
2013-03-28 04:00:00,0.88,0.9,0.027700000000000002,2013-03-28,04:00:00,bef
2013-01-04 05:00:00,0.93,1.05,0.12369999999999999,2013-01-04,05:00:00,bef
2012-10-02 04:00:00,1.15,1.01,-0.1243,2012-10-02,04:00:00,bef
2012-07-17 04:00:00,1.15,1.19,0.031200000000000002,2012-07-17,04:00:00,bef
2012-03-28 04:00:00,0.74,0.64,-0.1365,2012-03-28,04:00:00,bef
2012-01-04 05:00:00,1.28,1.4,0.08990000000000001,2012-01-04,05:00:00,bef
2011-09-23 04:00:00,1.29,1.17,-0.08990000000000001,2011-09-23,04:00:00,bef
2011-07-18 04:00:00,1.38,1.52,0.1011,2011-07-18,04:00:00,bef
2011-03-30 04:00:00,1.07,1.21,0.1291,2011-03-30,04:00:00,bef
2011-01-04 05:00:00,0.91,1.01,0.1082,2011-01-04,05:00:00,bef
2010-10-04 04:00:00,0.7,0.67,-0.0453,2010-10-04,04:00:00,bef
2010-07-22 04:00:00,0.86,0.89,0.028999999999999998,2010-07-22,04:00:00,bef
2010-03-31 04:00:00,0.61,0.5,-0.182,2010-03-31,04:00:00,bef
2010-01-05 05:00:00,0.35,0.32,-0.09029999999999999,2010-01-05,05:00:00,bef
2009-10-05 04:00:00,0.35,0.23,-0.33770000000000006,2009-10-05,04:00:00,bef
2009-07-22 04:00:00,0.1,0.33,2.2117,2009-07-22,04:00:00,bef
2009-04-07 04:00:00,0.24,0.13,-0.44680000000000003,2009-04-07,04:00:00,bef
2009-01-05 05:00:00,1.42,1.12,-0.2107,2009-01-05,05:00:00,bef
2008-10-01 04:00:00,2.94,2.65,-0.0983,2008-10-01,04:00:00,bef
2008-07-28 04:00:00,1.64,1.93,0.1748,2008-07-28,04:00:00,bef
2008-04-04 04:00:00,0.95,1.08,0.1398,2008-04-04,04:00:00,bef
2008-01-09 05:00:00,0.73,0.83,0.1354,2008-01-09,05:00:00,bef
2007-10-09 04:00:00,0.58,0.64,0.1058,2007-10-09,04:00:00,bef
2007-07-30 04:00:00,0.41,0.46,0.1338,2007-07-30,04:00:00,bef
2007-04-09 04:00:00,0.16,0.05,-0.693,2007-04-09,04:00:00,bef
2007-01-29 05:00:00,0.15,0.15,0.0169,2007-01-29,05:00:00,bef
2006-10-03 04:00:00,0.23,0.14,-0.39130000000000004,2006-10-03,04:00:00,bef
2006-08-01 04:00:00,0.14,0.06,-0.5775,2006-08-01,04:00:00,bef
2006-04-11 04:00:00,0.01,-0.19,-20.0,2006-04-11,04:00:00,bef
2006-01-17 05:00:00,0.16,0.13,-0.1702,2006-01-17,05:00:00,bef
2005-10-03 04:00:00,0.23,0.18,-0.21739999999999998,2005-10-03,04:00:00,bef
2005-07-27 04:00:00,0.2,0.22,0.1,2005-07-27,04:00:00,bef
