Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 07:00:00,1.25,1.26,0.0072,2022-07-28,07:00:00,bef
2022-04-28 07:00:00,1.09,1.12,0.024700000000000003,2022-04-28,07:00:00,bef
2022-01-27 07:00:00,1.09,1.09,0.0046,2022-01-27,07:00:00,bef
2021-10-28 07:00:00,1.26,1.22,-0.0302,2021-10-28,07:00:00,bef
2021-07-29 07:00:00,1.18,1.23,0.045899999999999996,2021-07-29,07:00:00,bef
2021-04-29 07:00:00,1.05,1.07,0.021,2021-04-29,07:00:00,bef
2021-01-28 07:00:00,1.02,0.99,-0.0265,2021-01-28,07:00:00,bef
2020-10-30 07:00:00,1.16,1.19,0.0294,2020-10-30,07:00:00,bef
2020-07-28 07:00:00,1.06,1.09,0.031200000000000002,2020-07-28,07:00:00,bef
2020-04-30 07:00:00,0.98,1.09,0.11,2020-04-30,07:00:00,bef
2020-01-30 07:00:00,1.02,1.02,0.001,2020-01-30,07:00:00,bef
2019-10-31 07:00:00,1.15,1.19,0.0357,2019-10-31,07:00:00,bef
2019-07-30 07:00:00,1.11,1.1,-0.0054,2019-07-30,07:00:00,bef
2019-04-25 07:00:00,0.92,0.9,-0.0239,2019-04-25,07:00:00,bef
2018-10-25 07:00:00,1.07,1.08,0.0131,2018-10-25,07:00:00,bef
2018-07-26 07:00:00,1.0,1.01,0.006999999999999999,2018-07-26,07:00:00,bef
2018-04-26 07:00:00,0.93,0.95,0.027000000000000003,2018-04-26,07:00:00,bef
2018-02-01 07:00:00,0.8,0.91,0.13470000000000001,2018-02-01,07:00:00,bef
2017-10-26 07:00:00,0.87,0.9,0.029700000000000004,2017-10-26,07:00:00,bef
2017-07-27 07:00:00,0.86,0.85,-0.0116,2017-07-27,07:00:00,bef
2017-05-02 07:00:00,0.74,0.73,-0.0068000000000000005,2017-05-02,07:00:00,bef
2017-02-01 07:00:00,0.67,0.68,0.018000000000000002,2017-02-01,07:00:00,bef
2016-10-27 07:00:00,0.8,0.82,0.0199,2016-10-27,07:00:00,bef
2016-07-27 07:00:00,0.8,0.81,0.015,2016-07-27,07:00:00,bef
2016-04-28 07:00:00,0.68,0.72,0.0526,2016-04-28,07:00:00,bef
2016-01-28 07:00:00,0.68,0.67,-0.0147,2016-01-28,07:00:00,bef
2015-10-29 07:00:00,0.75,0.75,-0.0053,2015-10-29,07:00:00,bef
2015-07-29 07:00:00,0.71,0.74,0.0364,2015-07-29,07:00:00,bef
2015-04-23 07:00:00,0.62,0.63,0.011200000000000002,2015-04-23,07:00:00,bef
2015-01-30 07:00:00,0.67,0.66,-0.0075,2015-01-30,07:00:00,bef
2014-10-30 07:00:00,0.68,0.69,0.013200000000000002,2014-10-30,07:00:00,bef
2014-07-22 04:00:00,0.66,0.65,-0.0105,2014-07-22,04:00:00,bef
2014-04-24 04:00:00,0.57,0.57,0.0031,2014-04-24,04:00:00,bef
2014-01-30 05:00:00,0.58,0.57,-0.022400000000000003,2014-01-30,05:00:00,bef
2013-10-24 04:00:00,0.64,0.65,0.0212,2013-10-24,04:00:00,bef
2013-07-23 04:00:00,0.63,0.62,-0.016399999999999998,2013-07-23,04:00:00,bef
2013-04-25 04:00:00,0.53,0.54,0.023700000000000002,2013-04-25,04:00:00,bef
2013-01-31 05:00:00,0.55,0.55,0.0062,2013-01-31,05:00:00,bef
2012-10-25 04:00:00,0.58,0.58,0.0058,2012-10-25,04:00:00,bef
2012-07-24 04:00:00,0.57,0.59,0.0323,2012-07-24,04:00:00,bef
2012-04-26 04:00:00,0.49,0.49,0.0034000000000000002,2012-04-26,04:00:00,bef
2012-01-27 05:00:00,0.49,0.5,0.027999999999999997,2012-01-27,05:00:00,bef
2011-10-27 04:00:00,0.56,0.56,-0.0036,2011-10-27,04:00:00,bef
2011-01-27 05:00:00,0.44,0.44,-0.0075,2011-01-27,05:00:00,bef
2010-10-20 04:00:00,0.52,0.54,0.0345,2010-10-20,04:00:00,bef
2010-07-21 04:00:00,0.5,0.5,-0.002,2010-07-21,04:00:00,bef
2010-04-21 04:00:00,0.4,0.42,0.0396,2010-04-21,04:00:00,bef
2010-01-28 05:00:00,0.4,0.39,-0.012700000000000001,2010-01-28,05:00:00,bef
2009-10-21 04:00:00,0.46,0.48,0.0333,2009-10-21,04:00:00,bef
2009-07-22 04:00:00,0.47,0.5,0.0659,2009-07-22,04:00:00,bef
2009-04-22 04:00:00,0.38,0.39,0.015600000000000001,2009-04-22,04:00:00,bef
2009-01-29 05:00:00,0.37,0.37,-0.0027,2009-01-29,05:00:00,bef
2008-10-23 04:00:00,0.44,0.46,0.04070000000000001,2008-10-23,04:00:00,bef
2008-07-31 04:00:00,0.45,0.46,0.015500000000000002,2008-07-31,04:00:00,bef
2008-04-24 04:00:00,0.37,0.37,0.013700000000000002,2008-04-24,04:00:00,bef
2008-01-30 05:00:00,0.97,1.0,0.028300000000000002,2008-01-30,05:00:00,bef
2007-10-17 04:00:00,1.14,1.21,0.061399999999999996,2007-10-17,04:00:00,bef
2007-07-18 04:00:00,1.13,1.15,0.0168,2007-07-18,04:00:00,bef
2007-04-19 04:00:00,1.05,1.03,-0.0232,2007-04-19,04:00:00,bef
2007-01-31 05:00:00,1.22,1.27,0.0371,2007-01-31,05:00:00,bef
2006-10-25 04:00:00,1.41,1.39,-0.0123,2006-10-25,04:00:00,bef
2006-07-25 04:00:00,1.37,1.41,0.0285,2006-07-25,04:00:00,bef
2006-04-20 04:00:00,1.28,1.28,-0.0031,2006-04-20,04:00:00,bef
2006-01-31 05:00:00,1.17,1.17,0.0029,2006-01-31,05:00:00,bef
2005-10-19 04:00:00,1.33,1.38,0.0376,2005-10-19,04:00:00,bef
2005-07-20 04:00:00,1.34,1.32,-0.011200000000000002,2005-07-20,04:00:00,bef
2005-04-20 04:00:00,1.23,1.24,0.011399999999999999,2005-04-20,04:00:00,bef
2005-01-26 05:00:00,1.06,1.08,0.022400000000000003,2005-01-26,05:00:00,bef
2004-10-19 04:00:00,1.25,1.24,-0.011200000000000002,2004-10-19,04:00:00,bef
2004-07-20 04:00:00,1.28,1.25,-0.0211,2004-07-20,04:00:00,bef
2004-04-20 04:00:00,1.13,1.16,0.0233,2004-04-20,04:00:00,bef
2003-10-16 04:00:00,1.21,1.23,0.012700000000000001,2003-10-16,04:00:00,bef
2003-07-17 04:00:00,1.19,1.26,0.0572,2003-07-17,04:00:00,bef
2003-04-16 04:00:00,1.06,1.07,0.0094,2003-04-16,04:00:00,bef
2003-01-29 05:00:00,0.92,0.93,0.006,2003-01-29,05:00:00,bef
2002-07-18 04:00:00,1.23,1.24,0.0092,2002-07-18,04:00:00,bef
2002-04-17 04:00:00,1.13,1.14,0.0074,2002-04-17,04:00:00,bef
2001-07-18 04:00:00,1.03,1.03,-0.0032,2001-07-18,04:00:00,bef
2001-04-17 04:00:00,0.94,0.95,0.006600000000000001,2001-04-17,04:00:00,bef
2001-01-31 05:00:00,0.88,0.87,-0.0091,2001-01-31,05:00:00,bef
2000-10-17 04:00:00,0.99,0.99,0.002,2000-10-17,04:00:00,bef
2000-07-18 04:00:00,0.95,0.95,0.0012,2000-07-18,04:00:00,bef
