Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-29 12:00:00,8.76,9.39,0.0719,2022-07-29,12:00:00,bef
2022-07-28 17:00:00,8.76,9.39,0.0723,2022-07-28,17:00:00,aft
2022-05-05 16:00:00,7.25,7.87,0.08630000000000002,2022-05-05,16:00:00,aft
2022-02-10 16:00:00,10.08,10.53,0.0449,2022-02-10,16:00:00,aft
2021-11-04 17:00:00,8.24,8.72,0.0584,2021-11-04,17:00:00,aft
2021-07-29 16:00:00,7.62,8.1,0.0633,2021-07-29,16:00:00,aft
2021-05-06 16:00:00,5.61,6.56,0.17,2021-05-06,16:00:00,aft
2021-02-04 16:00:00,8.72,9.26,0.062000000000000006,2021-02-04,16:00:00,aft
2020-11-05 16:00:00,5.95,7.02,0.1796,2020-11-05,16:00:00,aft
2020-07-30 16:00:00,4.2,5.29,0.2583,2020-07-30,16:00:00,aft
2020-05-07 18:00:00,3.89,4.0,0.027999999999999997,2020-05-07,18:00:00,aft
2020-02-06 16:00:00,7.68,7.78,0.0129,2020-02-06,16:00:00,aft
2019-11-07 16:00:00,5.71,5.77,0.011000000000000001,2019-11-07,16:00:00,aft
2019-08-01 16:00:00,5.08,5.16,0.015300000000000001,2019-08-01,16:00:00,aft
2019-05-09 16:00:00,4.05,4.1,0.0121,2019-05-09,16:00:00,aft
2019-02-07 16:00:00,6.75,6.85,0.015300000000000001,2019-02-07,16:00:00,aft
2018-11-08 16:00:00,5.0,5.12,0.0244,2018-11-08,16:00:00,aft
2018-07-26 16:00:00,4.58,4.65,0.0159,2018-07-26,16:00:00,aft
2018-05-03 16:00:00,3.73,3.74,0.0024,2018-05-03,16:00:00,aft
2018-02-08 16:00:00,5.93,5.97,0.0067,2018-02-08,16:00:00,aft
2017-11-02 17:00:00,4.33,4.36,0.0069,2017-11-02,17:00:00,aft
2017-07-27 21:00:00,3.9,3.92,0.005600000000000001,2017-07-27,21:00:00,aft
2017-05-04 16:00:00,3.09,3.34,0.08230000000000001,2017-05-04,16:00:00,aft
2017-02-02 16:00:00,5.12,5.28,0.0317,2017-02-02,16:00:00,aft
2016-11-03 16:00:00,3.66,3.89,0.062000000000000006,2016-11-03,16:00:00,aft
2016-07-28 17:00:00,3.13,3.22,0.0291,2016-07-28,17:00:00,aft
2016-05-05 16:00:00,2.44,2.46,0.0086,2016-05-05,16:00:00,aft
2016-02-04 17:00:00,4.61,4.65,0.0089,2016-02-04,17:00:00,aft
2015-11-05 16:00:00,3.18,3.26,0.0239,2015-11-05,16:00:00,aft
2015-07-30 16:00:00,2.79,2.8,0.0029,2015-07-30,16:00:00,aft
2015-05-07 16:00:00,2.17,2.25,0.0388,2015-05-07,16:00:00,aft
2015-02-05 16:00:00,4.15,4.24,0.0217,2015-02-05,16:00:00,aft
2014-11-06 17:00:00,2.86,2.95,0.030699999999999998,2014-11-06,17:00:00,aft
2014-07-24 04:00:00,2.57,2.57,0.0015,2014-07-24,04:00:00,bef
2014-05-08 04:00:00,1.97,2.0,0.0128,2014-05-08,04:00:00,bef
2014-02-05 05:00:00,3.74,3.82,0.021,2014-02-05,05:00:00,bef
2013-11-07 05:00:00,2.59,2.6,0.0051,2013-11-07,05:00:00,bef
2013-07-25 04:00:00,2.34,2.35,0.0047,2013-07-25,04:00:00,bef
2013-05-02 04:00:00,1.8,1.84,0.0202,2013-05-02,04:00:00,bef
2013-02-06 05:00:00,3.19,3.47,0.08750000000000001,2013-02-06,05:00:00,bef
2012-11-01 04:00:00,2.25,2.4,0.065,2012-11-01,04:00:00,bef
2012-07-26 04:00:00,2.14,2.15,0.0062,2012-07-26,04:00:00,bef
2012-05-03 04:00:00,1.62,1.66,0.0226,2012-05-03,04:00:00,bef
2012-02-08 05:00:00,2.79,2.88,0.0332,2012-02-08,05:00:00,bef
2011-11-03 04:00:00,1.92,2.01,0.0446,2011-11-03,04:00:00,bef
2011-07-28 04:00:00,1.86,1.9,0.0211,2011-07-28,04:00:00,bef
2011-05-04 04:00:00,1.39,1.45,0.0461,2011-05-04,04:00:00,bef
2011-02-10 05:00:00,2.3,2.56,0.11539999999999999,2011-02-10,05:00:00,bef
2010-11-04 04:00:00,1.56,1.71,0.09730000000000001,2010-11-04,04:00:00,bef
2010-07-22 04:00:00,1.33,1.55,0.16149999999999998,2010-07-22,04:00:00,bef
2010-04-29 04:00:00,1.04,1.13,0.09,2010-04-29,04:00:00,bef
2010-02-04 05:00:00,1.97,2.09,0.061200000000000004,2010-02-04,05:00:00,bef
2009-10-29 04:00:00,1.18,1.36,0.1549,2009-10-29,04:00:00,bef
2009-07-23 04:00:00,1.12,1.17,0.0438,2009-07-23,04:00:00,bef
2009-04-30 04:00:00,0.81,0.95,0.17120000000000002,2009-04-30,04:00:00,bef
2009-02-05 05:00:00,1.89,2.0,0.0596,2009-02-05,05:00:00,bef
2008-11-06 05:00:00,1.36,1.44,0.0588,2008-11-06,05:00:00,bef
2008-07-24 04:00:00,1.29,1.4,0.08810000000000001,2008-07-24,04:00:00,bef
2008-04-24 04:00:00,0.97,1.01,0.037700000000000004,2008-04-24,04:00:00,bef
2008-02-07 05:00:00,1.53,1.73,0.12990000000000002,2008-02-07,05:00:00,bef
2007-11-01 04:00:00,1.06,1.15,0.08109999999999999,2007-11-01,04:00:00,bef
2007-07-26 04:00:00,1.03,1.07,0.0432,2007-07-26,04:00:00,bef
2007-04-26 04:00:00,0.68,0.78,0.1423,2007-04-26,04:00:00,bef
2007-02-08 05:00:00,1.2,1.31,0.0947,2007-02-08,05:00:00,bef
2006-11-02 05:00:00,0.81,0.91,0.1258,2006-11-02,05:00:00,bef
2006-07-27 04:00:00,0.81,0.84,0.037000000000000005,2006-07-27,04:00:00,bef
2006-05-03 04:00:00,0.52,0.57,0.0931,2006-05-03,04:00:00,bef
2006-02-10 05:00:00,0.9,1.04,0.1537,2006-02-10,05:00:00,bef
2005-11-03 05:00:00,0.64,0.72,0.12,2005-11-03,05:00:00,bef
2005-07-28 04:00:00,0.71,0.72,0.0141,2005-07-28,04:00:00,bef
2005-05-03 04:00:00,0.46,0.47,0.0281,2005-05-03,04:00:00,bef
2005-02-09 05:00:00,0.77,0.81,0.0519,2005-02-09,05:00:00,bef
2004-11-04 05:00:00,0.52,0.54,0.046,2004-11-04,05:00:00,bef
2004-08-09 04:00:00,0.61,0.62,0.0192,2004-08-09,04:00:00,bef
2004-04-29 04:00:00,0.39,0.41,0.061500000000000006,2004-04-29,04:00:00,bef
2004-02-05 05:00:00,0.71,0.72,0.0141,2004-02-05,05:00:00,bef
2003-10-30 05:00:00,0.52,0.53,0.016,2003-10-30,05:00:00,bef
2003-07-24 04:00:00,0.58,0.57,-0.0099,2003-07-24,04:00:00,bef
2003-04-24 04:00:00,0.37,0.37,-0.0089,2003-04-24,04:00:00,bef
2003-02-06 05:00:00,0.68,0.69,0.0147,2003-02-06,05:00:00,bef
2002-11-07 05:00:00,0.5,0.51,0.0124,2002-11-07,05:00:00,bef
2002-07-16 04:00:00,0.56,0.54,-0.0406,2002-07-16,04:00:00,bef
2002-04-24 04:00:00,0.41,0.41,0.0031,2002-04-24,04:00:00,bef
2002-02-07 05:00:00,0.67,0.69,0.0281,2002-02-07,05:00:00,bef
2001-07-26 04:00:00,0.49,0.5,0.014499999999999999,2001-07-26,04:00:00,bef
2001-04-26 04:00:00,0.33,0.34,0.0259,2001-04-26,04:00:00,bef
2001-02-08 05:00:00,0.56,0.58,0.038,2001-02-08,05:00:00,bef
2000-11-02 05:00:00,0.39,0.41,0.0513,2000-11-02,05:00:00,bef
2000-07-27 04:00:00,0.41,0.43,0.0488,2000-07-27,04:00:00,bef
2000-04-27 04:00:00,0.26,0.28,0.0821,2000-04-27,04:00:00,bef
2000-02-03 05:00:00,0.46,0.5,0.0782,2000-02-03,05:00:00,bef
1999-11-04 05:00:00,0.3,0.33,0.08960000000000001,1999-11-04,05:00:00,bef
1999-07-22 04:00:00,0.33,0.35,0.0479,1999-07-22,04:00:00,bef
1999-04-22 04:00:00,0.2,0.22,0.1,1999-04-22,04:00:00,bef
1999-02-04 05:00:00,0.39,0.41,0.045899999999999996,1999-02-04,05:00:00,bef
