Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-20 07:00:00,0.64,0.69,0.0815,2022-07-20,07:00:00,bef
2022-04-20 07:00:00,0.65,0.66,0.0123,2022-04-20,07:00:00,bef
2022-01-26 07:00:00,0.59,0.64,0.0861,2022-01-26,07:00:00,bef
2021-10-20 07:00:00,0.57,0.59,0.033100000000000004,2021-10-20,07:00:00,bef
2021-07-21 07:00:00,0.58,0.63,0.0876,2021-07-21,07:00:00,bef
2021-04-21 07:00:00,0.58,0.65,0.12390000000000001,2021-04-21,07:00:00,bef
2021-01-27 07:00:00,0.48,0.53,0.1012,2021-01-27,07:00:00,bef
2020-10-21 07:00:00,0.49,0.51,0.0472,2020-10-21,07:00:00,bef
2020-07-22 07:00:00,1.45,1.54,0.06280000000000001,2020-07-22,07:00:00,bef
2020-04-22 07:00:00,1.46,1.5,0.027400000000000004,2020-04-22,07:00:00,bef
2020-01-29 07:00:00,1.27,1.29,0.0174,2020-01-29,07:00:00,bef
2019-10-23 06:00:00,1.21,1.27,0.0487,2019-10-23,06:00:00,bef
2019-07-24 07:00:00,1.2,1.22,0.0201,2019-07-24,07:00:00,bef
2019-04-24 07:00:00,1.16,1.22,0.049,2019-04-24,07:00:00,bef
2019-01-30 07:00:00,1.27,1.26,-0.0047,2019-01-30,07:00:00,bef
2018-10-24 07:00:00,1.14,1.15,0.006999999999999999,2018-10-24,07:00:00,bef
2018-07-25 07:00:00,1.17,1.18,0.0068000000000000005,2018-07-25,07:00:00,bef
2018-04-25 06:00:00,1.2,1.24,0.0359,2018-04-25,06:00:00,bef
2018-01-31 07:00:00,1.0,1.05,0.0458,2018-01-31,07:00:00,bef
2017-10-25 06:00:00,1.02,1.06,0.037200000000000004,2017-10-25,06:00:00,bef
2017-07-26 07:00:00,0.96,1.02,0.0581,2017-07-26,07:00:00,bef
2017-04-26 06:00:00,1.06,1.1,0.0417,2017-04-26,06:00:00,bef
2017-01-31 07:00:00,0.95,0.95,0.0053,2017-01-31,07:00:00,bef
2016-10-26 07:00:00,0.9,0.91,0.0111,2016-10-26,07:00:00,bef
2016-07-27 07:00:00,0.88,0.91,0.030600000000000002,2016-07-27,07:00:00,bef
2016-04-27 07:00:00,0.89,0.91,0.0225,2016-04-27,07:00:00,bef
2016-01-28 07:00:00,0.89,0.89,0.005600000000000001,2016-01-28,07:00:00,bef
2015-10-22 07:00:00,0.86,0.88,0.0197,2015-10-22,07:00:00,bef
