Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-22 16:00:00,2.44,2.49,0.0209,2022-08-22,16:00:00,aft
2022-05-23 16:00:00,2.29,2.43,0.0616,2022-05-23,16:00:00,aft
2022-02-22 16:00:00,1.91,2.07,0.0855,2022-02-22,16:00:00,aft
2021-12-15 16:00:00,2.1,1.88,-0.1026,2021-12-15,16:00:00,aft
2021-08-30 16:00:00,2.08,2.42,0.1629,2021-08-30,16:00:00,aft
2021-05-24 16:00:00,1.64,2.12,0.2903,2021-05-24,16:00:00,aft
2021-02-22 16:00:00,1.06,1.32,0.24760000000000001,2021-02-22,16:00:00,aft
2020-12-15 16:00:00,1.53,1.59,0.0379,2020-12-15,16:00:00,aft
2020-08-19 16:00:00,1.35,1.42,0.0558,2020-08-19,16:00:00,aft
2020-05-20 16:00:00,1.26,1.58,0.251,2020-05-20,16:00:00,aft
2020-02-19 16:00:00,1.04,0.89,-0.1442,2020-02-19,16:00:00,aft
2019-12-11 16:00:00,1.79,1.79,0.0011,2019-12-11,16:00:00,aft
2019-08-20 16:00:00,1.81,1.62,-0.1045,2019-08-20,16:00:00,aft
2019-05-20 16:00:00,1.6,1.54,-0.0375,2019-05-20,16:00:00,aft
2019-02-20 16:00:00,1.12,0.92,-0.1771,2019-02-20,16:00:00,aft
2018-12-12 16:00:00,1.47,1.44,-0.023100000000000002,2018-12-12,16:00:00,aft
2018-08-20 16:00:00,1.6,1.6,-0.0006,2018-08-20,16:00:00,aft
2018-05-21 16:00:00,1.43,1.56,0.09240000000000001,2018-05-21,16:00:00,aft
2018-02-22 17:00:00,1.34,1.35,0.005200000000000001,2018-02-22,17:00:00,aft
2017-12-13 16:00:00,1.33,1.38,0.0392,2017-12-13,16:00:00,aft
2017-08-21 16:00:00,1.67,1.78,0.0652,2017-08-21,16:00:00,aft
2017-05-22 16:00:00,1.31,1.35,0.0305,2017-05-22,16:00:00,aft
2017-02-20 16:00:00,0.82,0.86,0.0513,2017-02-20,16:00:00,aft
2016-12-13 16:00:00,1.24,1.39,0.12460000000000002,2016-12-13,16:00:00,aft
2016-08-22 16:00:00,1.33,1.47,0.10189999999999999,2016-08-22,16:00:00,aft
2016-05-23 16:00:00,0.92,1.19,0.29350000000000004,2016-05-23,16:00:00,aft
2016-02-22 16:00:00,0.55,0.61,0.1051,2016-02-22,16:00:00,aft
2015-12-10 16:00:00,1.07,0.95,-0.11380000000000001,2015-12-10,16:00:00,aft
2015-08-20 16:00:00,1.25,1.16,-0.0727,2015-08-20,16:00:00,aft
2015-05-19 16:00:00,0.86,0.8,-0.0698,2015-05-19,16:00:00,aft
2015-02-24 16:00:00,0.67,0.69,0.0376,2015-02-24,16:00:00,aft
2014-12-11 16:00:00,1.13,1.15,0.0177,2014-12-11,16:00:00,aft
