Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-19 16:00:00,2.94,3.2,0.0873,2022-07-19,16:00:00,aft
2022-04-19 16:00:00,2.89,3.53,0.2198,2022-04-19,16:00:00,aft
2022-01-20 16:00:00,0.82,1.33,0.62,2022-01-20,16:00:00,aft
2021-10-19 16:00:00,2.56,3.19,0.2451,2021-10-19,16:00:00,aft
2021-07-20 16:00:00,3.16,2.97,-0.0589,2021-07-20,16:00:00,aft
2021-04-20 16:00:00,2.97,3.75,0.2635,2021-04-20,16:00:00,aft
2021-01-19 16:00:00,1.39,1.19,-0.1427,2021-01-19,16:00:00,aft
2020-10-20 16:00:00,2.14,1.74,-0.1881,2020-10-20,16:00:00,aft
2020-07-16 16:00:00,1.81,1.59,-0.1225,2020-07-16,16:00:00,aft
2020-04-21 16:00:00,1.65,1.57,-0.0496,2020-04-21,16:00:00,aft
2020-01-21 16:00:00,0.53,1.3,1.4668,2020-01-21,16:00:00,aft
2019-10-16 16:00:00,1.04,1.47,0.4094,2019-10-16,16:00:00,aft
2019-07-17 16:00:00,0.56,0.6,0.06570000000000001,2019-07-17,16:00:00,aft
2019-04-16 16:00:00,0.57,0.76,0.3264,2019-04-16,16:00:00,aft
2019-01-17 16:00:00,0.24,0.3,0.2552,2019-01-17,16:00:00,aft
2018-10-16 16:00:00,0.68,0.89,0.3088,2018-10-16,16:00:00,aft
2018-07-16 16:00:00,0.79,0.85,0.0719,2018-07-16,16:00:00,aft
2018-04-16 16:00:00,0.64,0.64,0.0063,2018-04-16,16:00:00,aft
2018-01-22 16:00:00,0.41,0.41,-0.0049,2018-01-22,16:00:00,aft
2017-10-16 16:00:00,0.32,0.29,-0.09380000000000001,2017-10-16,16:00:00,aft
2017-07-17 16:00:00,0.15,0.15,-0.0196,2017-07-17,16:00:00,aft
2017-04-17 16:00:00,0.37,0.4,0.0724,2017-04-17,16:00:00,aft
2017-01-18 16:00:00,0.13,0.15,0.13640000000000002,2017-01-18,16:00:00,aft
2016-10-17 16:00:00,0.06,0.12,1.1429,2016-10-17,16:00:00,aft
2016-07-18 16:00:00,0.02,0.09,2.75,2016-07-18,16:00:00,aft
2016-04-18 16:00:00,0.03,0.06,0.7647,2016-04-18,16:00:00,aft
2016-01-19 16:00:00,0.02,0.1,3.7619000000000002,2016-01-19,16:00:00,aft
2015-10-14 16:00:00,0.08,0.07,-0.0667,2015-10-14,16:00:00,aft
2015-07-15 16:00:00,0.04,0.06,0.3636,2015-07-15,16:00:00,aft
2015-04-15 16:00:00,0.1,0.05,-0.4545,2015-04-15,16:00:00,aft
2015-01-20 16:00:00,0.06,0.1,0.6093999999999999,2015-01-20,16:00:00,aft
2014-10-15 16:00:00,0.13,0.14,0.0379,2014-10-15,16:00:00,aft
2014-07-21 04:00:00,0.17,0.16,-0.0053,2014-07-21,04:00:00,bef
2014-04-21 04:00:00,0.12,0.12,0.038700000000000005,2014-04-21,04:00:00,bef
2014-01-22 05:00:00,0.09,0.11,0.20600000000000002,2014-01-22,05:00:00,bef
2013-10-21 04:00:00,0.07,0.07,0.052300000000000006,2013-10-21,04:00:00,bef
2013-07-22 04:00:00,0.06,0.07,0.2212,2013-07-22,04:00:00,bef
2013-04-22 04:00:00,0.03,0.04,0.5955,2013-04-22,04:00:00,bef
2013-01-23 05:00:00,-0.02,0.02,2.0328,2013-01-23,05:00:00,bef
2012-10-23 04:00:00,0.01,0.02,2.0847,2012-10-23,04:00:00,bef
2012-07-24 04:00:00,0.01,0.02,1.2670000000000001,2012-07-24,04:00:00,bef
2012-04-23 04:00:00,-0.04,-0.01,0.7044,2012-04-23,04:00:00,bef
2012-01-25 05:00:00,0.08,0.1,0.3257,2012-01-25,05:00:00,bef
2011-10-24 04:00:00,0.13,0.17,0.23149999999999998,2011-10-24,04:00:00,bef
2011-07-25 04:00:00,0.16,0.18,0.1325,2011-07-25,04:00:00,bef
2011-04-25 04:00:00,0.15,0.16,0.0305,2011-04-25,04:00:00,bef
2011-01-26 05:00:00,0.1,0.12,0.22280000000000003,2011-01-26,05:00:00,bef
2010-10-20 04:00:00,0.1,0.1,-0.018500000000000003,2010-10-20,04:00:00,bef
2010-07-21 04:00:00,0.1,0.11,0.1354,2010-07-21,04:00:00,bef
2010-04-21 04:00:00,0.08,0.08,0.08710000000000001,2010-04-21,04:00:00,bef
2010-01-27 05:00:00,0.06,0.08,0.2399,2010-01-27,05:00:00,bef
2009-10-22 04:00:00,0.06,0.07,0.1438,2009-10-22,04:00:00,bef
2009-07-23 04:00:00,0.07,0.08,0.0668,2009-07-23,04:00:00,bef
2009-04-23 04:00:00,0.04,0.05,0.18230000000000002,2009-04-23,04:00:00,bef
2009-01-26 05:00:00,0.05,0.05,0.11570000000000001,2009-01-26,05:00:00,bef
2008-10-20 04:00:00,0.04,0.05,0.0687,2008-10-20,04:00:00,bef
2008-07-25 04:00:00,0.06,0.06,0.0424,2008-07-25,04:00:00,bef
2008-04-21 04:00:00,0.03,0.03,0.0194,2008-04-21,04:00:00,bef
2008-01-23 05:00:00,0.02,0.03,0.6792,2008-01-23,05:00:00,bef
2007-10-22 04:00:00,0.02,0.03,0.5507,2007-10-22,04:00:00,bef
2007-07-23 04:00:00,0.03,0.05,0.6365,2007-07-23,04:00:00,bef
2007-04-18 04:00:00,0.02,0.02,-0.1119,2007-04-18,04:00:00,bef
2007-01-24 05:00:00,0.02,0.03,0.44229999999999997,2007-01-24,05:00:00,bef
2006-10-23 04:00:00,0.02,0.03,0.4534,2006-10-23,04:00:00,bef
2006-07-24 04:00:00,0.03,0.03,0.3468,2006-07-24,04:00:00,bef
2006-04-24 04:00:00,0.01,0.01,0.08230000000000001,2006-04-24,04:00:00,bef
2006-01-24 05:00:00,0.02,0.02,0.1528,2006-01-24,05:00:00,bef
2005-10-19 04:00:00,0.02,0.03,0.34700000000000003,2005-10-19,04:00:00,bef
2005-04-21 04:00:00,-0.03,-0.01,0.5679,2005-04-21,04:00:00,bef
