Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 06:00:00,6.1,6.06,-0.006999999999999999,2022-07-28,06:00:00,bef
2022-04-28 06:00:00,5.96,6.1,0.023100000000000002,2022-04-28,06:00:00,bef
2022-01-27 06:00:00,5.96,6.0,0.006500000000000001,2022-01-27,06:00:00,bef
2021-10-28 06:00:00,5.99,6.63,0.1067,2021-10-28,06:00:00,bef
2021-07-29 06:00:00,5.84,6.42,0.1001,2021-07-29,06:00:00,bef
2021-04-29 06:00:00,5.48,6.57,0.19820000000000002,2021-04-29,06:00:00,bef
2021-01-28 06:00:00,5.76,6.59,0.1437,2021-01-28,06:00:00,bef
2020-10-22 06:00:00,5.62,5.89,0.04730000000000001,2020-10-22,06:00:00,bef
2020-07-30 06:00:00,5.32,6.01,0.1291,2020-07-30,06:00:00,bef
2020-04-29 06:00:00,5.51,5.15,-0.065,2020-04-29,06:00:00,bef
2020-01-30 06:00:00,4.77,5.61,0.1754,2020-01-30,06:00:00,bef
2019-10-24 06:00:00,4.77,5.49,0.15050000000000002,2019-10-24,06:00:00,bef
2019-07-24 06:00:00,4.68,5.06,0.0812,2019-07-24,06:00:00,bef
2019-04-24 06:00:00,4.59,5.06,0.1034,2019-04-24,06:00:00,bef
2019-01-31 06:00:00,4.32,4.93,0.14150000000000001,2019-01-31,06:00:00,bef
2018-10-24 06:00:00,4.37,6.54,0.49520000000000003,2018-10-24,06:00:00,bef
2018-07-25 06:00:00,3.84,3.93,0.0248,2018-07-25,06:00:00,bef
2018-04-25 06:00:00,3.61,4.21,0.16519999999999999,2018-04-25,06:00:00,bef
2018-01-25 06:00:00,2.74,2.82,0.0296,2018-01-25,06:00:00,bef
2017-10-25 06:00:00,2.92,3.68,0.26239999999999997,2017-10-25,06:00:00,bef
2017-07-26 06:00:00,2.87,3.15,0.09910000000000001,2017-07-26,06:00:00,bef
2017-04-26 06:00:00,2.93,3.63,0.2398,2017-04-26,06:00:00,bef
2017-01-26 06:00:00,2.49,2.96,0.18920000000000003,2017-01-26,06:00:00,bef
2016-10-26 06:00:00,2.81,3.35,0.193,2016-10-26,06:00:00,bef
2016-07-27 06:00:00,2.53,2.85,0.1274,2016-07-27,06:00:00,bef
2016-04-27 06:00:00,2.49,3.03,0.2188,2016-04-27,06:00:00,bef
2016-01-28 06:00:00,2.01,2.49,0.237,2016-01-28,06:00:00,bef
2015-10-28 06:00:00,2.19,2.75,0.2534,2015-10-28,06:00:00,bef
2015-07-29 07:00:00,2.36,2.74,0.163,2015-07-29,07:00:00,bef
2015-04-29 07:00:00,2.27,2.41,0.0621,2015-04-29,07:00:00,bef
2015-01-29 07:00:00,2.25,2.48,0.1017,2015-01-29,07:00:00,bef
2014-10-22 06:00:00,2.14,2.26,0.056600000000000004,2014-10-22,06:00:00,bef
2014-07-23 04:00:00,2.22,2.37,0.06910000000000001,2014-07-23,04:00:00,bef
2014-04-23 04:00:00,2.15,2.63,0.2231,2014-04-23,04:00:00,bef
2014-01-30 05:00:00,1.94,2.12,0.0913,2014-01-30,05:00:00,bef
2013-10-23 04:00:00,1.82,2.14,0.1731,2013-10-23,04:00:00,bef
2013-07-24 04:00:00,1.71,2.13,0.2464,2013-07-24,04:00:00,bef
2013-04-24 04:00:00,1.74,2.03,0.1699,2013-04-24,04:00:00,bef
2013-01-30 05:00:00,1.74,2.14,0.22829999999999998,2013-01-30,05:00:00,bef
2012-10-24 04:00:00,1.69,1.82,0.0752,2012-10-24,04:00:00,bef
2012-07-25 04:00:00,1.61,1.88,0.1702,2012-07-25,04:00:00,bef
2012-04-25 04:00:00,1.59,1.96,0.2335,2012-04-25,04:00:00,bef
2012-02-01 05:00:00,1.67,2.09,0.2486,2012-02-01,05:00:00,bef
2011-10-26 04:00:00,1.68,1.86,0.1101,2011-10-26,04:00:00,bef
2011-07-27 04:00:00,1.68,1.81,0.07980000000000001,2011-07-27,04:00:00,bef
2011-04-27 04:00:00,1.56,1.67,0.0727,2011-04-27,04:00:00,bef
2011-02-09 05:00:00,1.01,1.27,0.2595,2011-02-09,05:00:00,bef
2010-10-27 04:00:00,1.46,1.64,0.1252,2010-10-27,04:00:00,bef
2010-07-29 04:00:00,2.19,2.34,0.0667,2010-07-29,04:00:00,bef
2010-04-28 04:00:00,1.32,1.51,0.1467,2010-04-28,04:00:00,bef
2010-02-04 05:00:00,1.26,1.31,0.039700000000000006,2010-02-04,05:00:00,bef
2009-10-21 04:00:00,1.18,1.52,0.2854,2009-10-21,04:00:00,bef
2009-07-23 04:00:00,1.29,1.21,-0.0636,2009-07-23,04:00:00,bef
2009-04-22 04:00:00,1.08,1.17,0.08810000000000001,2009-04-22,04:00:00,bef
2009-02-03 05:00:00,1.55,1.57,0.015700000000000002,2009-02-03,05:00:00,bef
2008-10-22 04:00:00,1.41,1.5,0.061399999999999996,2008-10-22,04:00:00,bef
2008-07-29 04:00:00,1.4,1.4,-0.0007000000000000001,2008-07-29,04:00:00,bef
2008-04-24 04:00:00,0.63,0.76,0.212,2008-04-24,04:00:00,bef
2008-01-24 05:00:00,1.31,1.32,0.0054,2008-01-24,05:00:00,bef
2007-10-24 04:00:00,1.27,1.41,0.1063,2007-10-24,04:00:00,bef
2007-07-24 04:00:00,1.24,1.31,0.057699999999999994,2007-07-24,04:00:00,bef
2007-04-24 04:00:00,1.14,1.1,-0.033,2007-04-24,04:00:00,bef
2007-01-25 05:00:00,1.26,1.29,0.021400000000000002,2007-01-25,05:00:00,bef
2006-10-24 04:00:00,1.07,0.87,-0.1862,2006-10-24,04:00:00,bef
2006-07-27 04:00:00,1.08,1.26,0.1661,2006-07-27,04:00:00,bef
2006-04-25 04:00:00,0.99,1.02,0.0346,2006-04-25,04:00:00,bef
2006-01-24 05:00:00,0.83,0.92,0.1068,2006-01-24,05:00:00,bef
2005-10-25 04:00:00,0.69,0.8,0.16010000000000002,2005-10-25,04:00:00,bef
2005-07-28 04:00:00,0.88,1.0,0.1381,2005-07-28,04:00:00,bef
2005-04-28 04:00:00,0.91,1.08,0.18510000000000001,2005-04-28,04:00:00,bef
2005-02-02 05:00:00,0.81,0.81,0.0007000000000000001,2005-02-02,05:00:00,bef
2004-10-27 04:00:00,0.77,0.8,0.0437,2004-10-27,04:00:00,bef
2004-07-29 04:00:00,0.75,0.79,0.058300000000000005,2004-07-29,04:00:00,bef
2004-05-04 04:00:00,0.61,0.63,0.0302,2004-05-04,04:00:00,bef
2004-02-04 05:00:00,0.55,0.56,0.0091,2004-02-04,05:00:00,bef
2003-10-29 05:00:00,0.51,0.61,0.1949,2003-10-29,05:00:00,bef
2003-07-28 04:00:00,0.43,0.55,0.2684,2003-07-28,04:00:00,bef
2003-04-29 04:00:00,0.28,0.46,0.6231,2003-04-29,04:00:00,bef
2003-01-28 05:00:00,0.83,0.87,0.039700000000000006,2003-01-28,05:00:00,bef
2002-10-17 04:00:00,0.79,0.77,-0.0255,2002-10-17,04:00:00,bef
2002-07-17 04:00:00,0.73,0.77,0.0479,2002-07-17,04:00:00,bef
2002-04-17 04:00:00,0.55,0.64,0.163,2002-04-17,04:00:00,bef
2002-01-30 05:00:00,0.76,0.78,0.0265,2002-01-30,05:00:00,bef
2001-10-24 04:00:00,0.76,0.64,-0.15960000000000002,2001-10-24,04:00:00,bef
2001-07-25 04:00:00,0.76,0.79,0.030600000000000002,2001-07-25,04:00:00,bef
2001-04-23 04:00:00,0.77,0.71,-0.0812,2001-04-23,04:00:00,bef
2001-01-24 05:00:00,0.98,1.0,0.012,2001-01-24,05:00:00,bef
2000-10-18 04:00:00,0.91,1.06,0.1625,2000-10-18,04:00:00,bef
2000-07-20 04:00:00,1.18,1.25,0.0575,2000-07-20,04:00:00,bef
2000-04-24 04:00:00,0.83,1.24,0.49700000000000005,2000-04-24,04:00:00,bef
2000-01-26 05:00:00,0.85,0.98,0.1524,2000-01-26,05:00:00,bef
1999-10-20 04:00:00,0.82,0.92,0.11380000000000001,1999-10-20,04:00:00,bef
1999-07-21 04:00:00,0.8,0.82,0.0271,1999-07-21,04:00:00,bef
1999-04-21 04:00:00,0.66,0.76,0.1388,1999-04-21,04:00:00,bef
1999-02-03 05:00:00,0.39,0.71,0.8153,1999-02-03,05:00:00,bef
1998-10-14 04:00:00,0.9,0.91,0.0006,1998-10-14,04:00:00,bef
1998-07-15 04:00:00,0.87,0.89,0.0225,1998-07-15,04:00:00,bef
1998-04-15 04:00:00,0.72,0.76,0.056600000000000004,1998-04-15,04:00:00,bef
1998-01-21 05:00:00,0.88,0.86,-0.025099999999999997,1998-01-21,05:00:00,bef
1997-10-22 04:00:00,0.81,0.73,-0.0949,1997-10-22,04:00:00,bef
1997-07-16 04:00:00,0.77,0.86,0.1169,1997-07-16,04:00:00,bef
1997-04-16 04:00:00,0.62,0.72,0.1613,1997-04-16,04:00:00,bef
1997-02-05 05:00:00,0.59,0.59,0.0038,1997-02-05,05:00:00,bef
1996-10-16 04:00:00,0.57,0.61,0.056799999999999996,1996-10-16,04:00:00,bef
1996-07-17 04:00:00,0.61,0.77,0.2638,1996-07-17,04:00:00,bef
1996-04-17 04:00:00,0.6,0.62,0.0302,1996-04-17,04:00:00,bef
1996-02-07 05:00:00,0.64,0.59,-0.0851,1996-02-07,05:00:00,bef
1995-10-18 04:00:00,0.57,0.63,0.0954,1995-10-18,04:00:00,bef
1995-07-20 04:00:00,0.64,0.8,0.2368,1995-07-20,04:00:00,bef
1995-04-19 04:00:00,0.57,0.57,0.011000000000000001,1995-04-19,04:00:00,bef
1995-02-15 05:00:00,0.57,0.92,0.599,1995-02-15,05:00:00,bef
1994-10-19 04:00:00,0.56,0.4,-0.2925,1994-10-19,04:00:00,bef
1994-07-27 04:00:00,0.5,0.67,0.34340000000000004,1994-07-27,04:00:00,bef
1994-04-20 04:00:00,0.54,0.53,-0.0187,1994-04-20,04:00:00,bef
1994-02-01 05:00:00,0.54,0.73,0.33299999999999996,1994-02-01,05:00:00,bef
1993-10-20 04:00:00,0.46,0.46,-0.0077,1993-10-20,04:00:00,bef
1993-07-23 04:00:00,0.58,0.56,-0.0414,1993-07-23,04:00:00,bef
1993-04-21 04:00:00,0.53,0.55,0.0381,1993-04-21,04:00:00,bef
1993-02-17 05:00:00,0.64,0.59,-0.08380000000000001,1993-02-17,05:00:00,bef
