Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,0.65,2.16,2.3231,2022-08-04,06:00:00,bef
2022-05-06 06:00:00,0.6,7.17,10.8905,2022-05-06,06:00:00,bef
2022-02-24 06:00:00,0.13,-1.73,-14.84,2022-02-24,06:00:00,bef
2021-11-04 06:00:00,2.25,6.6,1.9281000000000001,2021-11-04,06:00:00,bef
2021-08-05 06:00:00,1.38,4.4,2.1954,2021-08-05,06:00:00,bef
2021-05-06 06:00:00,0.13,-0.33,-3.6189999999999998,2021-05-06,06:00:00,bef
2021-03-01 07:00:00,0.41,-0.71,-2.7401999999999997,2021-03-01,07:00:00,bef
2020-11-05 06:00:00,1.64,1.02,-0.37920000000000004,2020-11-05,06:00:00,bef
2020-08-06 07:00:00,1.17,1.27,0.0855,2020-08-06,07:00:00,bef
2020-05-07 07:00:00,0.49,0.49,0.008199999999999999,2020-05-07,07:00:00,bef
2020-02-27 08:00:00,0.59,0.43,-0.2724,2020-02-27,08:00:00,bef
2019-11-07 07:00:00,2.1,1.88,-0.10650000000000001,2019-11-07,07:00:00,bef
2019-08-07 06:00:00,0.76,0.7,-0.0765,2019-08-07,06:00:00,bef
2019-05-02 06:00:00,0.41,0.34,-0.1727,2019-05-02,06:00:00,bef
2019-02-28 06:00:00,0.03,-0.18,-6.2941,2019-02-28,06:00:00,bef
2018-11-08 08:00:00,1.31,0.96,-0.2655,2018-11-08,08:00:00,bef
2018-08-02 08:00:00,0.79,0.19,-0.7601000000000001,2018-08-02,08:00:00,bef
2018-05-03 08:00:00,0.14,0.87,5.2143,2018-05-03,08:00:00,bef
2018-03-01 08:00:00,0.26,0.25,-0.0196,2018-03-01,08:00:00,bef
2017-11-02 06:00:00,0.94,0.61,-0.34759999999999996,2017-11-02,06:00:00,bef
2017-08-03 06:00:00,-0.09,0.36,5.1379,2017-08-03,06:00:00,bef
2017-05-02 06:00:00,-0.28,-0.51,-0.8020999999999999,2017-05-02,06:00:00,bef
2017-02-28 06:00:00,-0.29,-0.16,0.4558,2017-02-28,06:00:00,bef
2016-11-04 06:00:00,0.93,0.64,-0.314,2016-11-04,06:00:00,bef
2016-08-09 06:00:00,0.2,-0.25,-2.2376,2016-08-09,06:00:00,bef
2016-05-05 06:00:00,0.06,0.24,2.8710000000000004,2016-05-05,06:00:00,bef
2016-02-29 06:00:00,0.05,-0.56,-11.9804,2016-02-29,06:00:00,bef
2015-11-04 06:00:00,0.76,0.65,-0.1481,2015-11-04,06:00:00,bef
2015-08-04 06:00:00,-0.01,-0.06,-5.6667,2015-08-04,06:00:00,bef
2015-05-08 06:00:00,0.24,-0.37,-2.5546,2015-05-08,06:00:00,bef
2015-02-27 06:00:00,0.52,0.38,-0.2748,2015-02-27,06:00:00,bef
2014-11-05 06:00:00,0.52,0.62,0.19,2014-11-05,06:00:00,bef
2014-08-07 04:00:00,0.15,-0.3,-2.9685,2014-08-07,04:00:00,bef
2014-05-06 04:00:00,-0.1,-0.23,-1.3092,2014-05-06,04:00:00,bef
2014-02-28 05:00:00,0.21,-0.96,-5.6545000000000005,2014-02-28,05:00:00,bef
2013-11-12 05:00:00,0.83,0.46,-0.44799999999999995,2013-11-12,05:00:00,bef
2013-08-09 04:00:00,0.23,0.64,1.8163,2013-08-09,04:00:00,bef
2013-05-07 04:00:00,-0.29,-0.79,-1.7431,2013-05-07,04:00:00,bef
2013-02-27 05:00:00,-0.15,-0.14,0.0562,2013-02-27,05:00:00,bef
2012-11-02 04:00:00,0.47,0.27,-0.4247,2012-11-02,04:00:00,bef
2012-08-08 04:00:00,0.15,1.08,6.0299000000000005,2012-08-08,04:00:00,bef
2012-05-03 04:00:00,-0.13,-0.92,-6.3074,2012-05-03,04:00:00,bef
2012-02-28 05:00:00,-0.49,-0.48,0.027200000000000002,2012-02-28,05:00:00,bef
2011-11-03 04:00:00,0.34,0.43,0.2798,2011-11-03,04:00:00,bef
2011-08-04 04:00:00,0.36,2.53,6.0474000000000006,2011-08-04,04:00:00,bef
2011-05-05 04:00:00,0.11,-1.06,-10.8148,2011-05-05,04:00:00,bef
2011-02-22 05:00:00,0.4,-0.07,-1.1753,2011-02-22,05:00:00,bef
