Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 08:00:00,3.47,3.45,-0.005200000000000001,2022-07-27,08:00:00,bef
2022-04-27 08:00:00,2.92,2.93,0.0040999999999999995,2022-04-27,08:00:00,bef
2022-01-26 08:00:00,3.04,3.12,0.027000000000000003,2022-01-26,08:00:00,bef
2021-10-27 08:00:00,2.91,3.06,0.0519,2021-10-27,08:00:00,bef
2021-07-28 08:00:00,2.96,3.28,0.1092,2021-07-28,08:00:00,bef
2021-04-28 08:00:00,2.54,2.66,0.0472,2021-04-28,08:00:00,bef
2021-01-27 08:00:00,2.48,2.63,0.0609,2021-01-27,08:00:00,bef
2020-10-28 08:00:00,2.38,2.51,0.0533,2020-10-28,08:00:00,bef
2020-07-29 08:00:00,1.33,1.53,0.1469,2020-07-29,08:00:00,bef
2020-04-29 08:00:00,2.25,2.58,0.1477,2020-04-29,08:00:00,bef
2020-01-29 08:00:00,2.28,2.55,0.1184,2020-01-29,08:00:00,bef
2019-10-23 08:00:00,2.59,2.49,-0.0368,2019-10-23,08:00:00,bef
2019-07-24 08:00:00,2.79,2.7,-0.0316,2019-07-24,08:00:00,bef
2019-04-24 08:00:00,2.18,2.51,0.15080000000000002,2019-04-24,08:00:00,bef
2019-01-24 16:00:00,2.29,2.57,0.1208,2019-01-24,16:00:00,aft
2018-10-24 08:00:00,2.44,2.52,0.0315,2018-10-24,08:00:00,bef
2018-07-25 08:00:00,2.33,2.5,0.0743,2018-07-25,08:00:00,bef
2018-04-25 08:00:00,1.77,1.93,0.0898,2018-04-25,08:00:00,bef
2018-01-24 08:00:00,1.57,1.69,0.0771,2018-01-24,08:00:00,bef
2017-10-25 08:00:00,1.64,1.75,0.0645,2017-10-25,08:00:00,bef
2017-07-26 08:00:00,1.65,1.71,0.0364,2017-07-26,08:00:00,bef
2017-04-26 08:00:00,1.36,1.48,0.085,2017-04-26,08:00:00,bef
2017-01-25 08:00:00,1.36,1.42,0.0426,2017-01-25,08:00:00,bef
2016-10-26 08:00:00,1.45,1.55,0.0712,2016-10-26,08:00:00,bef
2016-07-27 08:00:00,1.35,1.36,0.010400000000000001,2016-07-27,08:00:00,bef
2016-04-21 16:00:00,0.97,1.29,0.3258,2016-04-21,16:00:00,aft
2016-01-27 08:00:00,1.23,1.2,-0.026000000000000002,2016-01-27,08:00:00,bef
2015-10-28 08:00:00,1.41,1.49,0.053700000000000005,2015-10-28,08:00:00,bef
2015-07-27 08:00:00,1.42,1.41,-0.0049,2015-07-27,08:00:00,bef
2015-04-29 08:00:00,1.0,1.0,-0.002,2015-04-29,08:00:00,bef
2015-01-26 08:00:00,1.63,1.64,0.0037,2015-01-26,08:00:00,bef
2014-10-22 08:00:00,1.83,1.79,-0.0197,2014-10-22,08:00:00,bef
2014-07-23 04:00:00,1.74,1.79,0.0308,2014-07-23,04:00:00,bef
2014-04-23 04:00:00,1.15,1.17,0.019,2014-04-23,04:00:00,bef
2014-01-22 05:00:00,1.5,1.64,0.092,2014-01-22,05:00:00,bef
2013-10-23 04:00:00,1.39,1.53,0.10160000000000001,2013-10-23,04:00:00,bef
2013-07-23 04:00:00,1.49,1.46,-0.0227,2013-07-23,04:00:00,bef
2013-04-23 04:00:00,1.17,1.22,0.0454,2013-04-23,04:00:00,bef
2013-01-22 05:00:00,1.19,1.3,0.09240000000000001,2013-01-22,05:00:00,bef
2012-10-23 04:00:00,1.23,1.24,0.005699999999999999,2012-10-23,04:00:00,bef
2012-07-24 04:00:00,1.53,1.6,0.0463,2012-07-24,04:00:00,bef
2012-04-24 04:00:00,1.12,1.23,0.0962,2012-04-24,04:00:00,bef
2012-01-24 05:00:00,1.4,1.42,0.013200000000000002,2012-01-24,05:00:00,bef
2011-10-26 04:00:00,1.41,1.59,0.12539999999999998,2011-10-26,04:00:00,bef
2011-07-26 04:00:00,1.29,1.38,0.0726,2011-07-26,04:00:00,bef
2011-04-27 04:00:00,0.9,1.0,0.107,2011-04-27,04:00:00,bef
2011-01-25 05:00:00,1.05,1.0,-0.046,2011-01-25,05:00:00,bef
2010-10-27 04:00:00,1.1,1.19,0.08650000000000001,2010-10-27,04:00:00,bef
2010-07-27 04:00:00,0.99,1.04,0.048499999999999995,2010-07-27,04:00:00,bef
2010-04-27 04:00:00,0.67,0.75,0.1128,2010-04-27,04:00:00,bef
2010-01-27 05:00:00,0.84,0.82,-0.026600000000000002,2010-01-27,05:00:00,bef
2009-10-27 04:00:00,0.79,0.81,0.028999999999999998,2009-10-27,04:00:00,bef
2009-07-28 04:00:00,0.64,0.66,0.030299999999999997,2009-07-28,04:00:00,bef
2009-04-21 04:00:00,0.55,0.47,-0.1376,2009-04-21,04:00:00,bef
2009-01-27 05:00:00,1.18,1.21,0.0265,2009-01-27,05:00:00,bef
2008-10-21 04:00:00,1.21,1.37,0.134,2008-10-21,04:00:00,bef
2008-07-22 04:00:00,1.05,1.18,0.12560000000000002,2008-07-22,04:00:00,bef
