Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 08:00:00,8.86,9.67,0.092,2022-07-21,08:00:00,bef
2022-04-21 08:00:00,7.29,7.67,0.0526,2022-04-21,08:00:00,bef
2022-01-27 08:00:00,7.91,7.97,0.0075,2022-01-27,08:00:00,bef
2021-10-21 08:00:00,7.29,7.28,-0.0007000000000000001,2021-10-21,08:00:00,bef
2021-07-22 08:00:00,4.79,5.15,0.0758,2021-07-22,08:00:00,bef
2021-04-22 08:00:00,3.09,3.12,0.01,2021-04-22,08:00:00,bef
2021-01-28 08:00:00,1.18,1.29,0.09140000000000001,2021-01-28,08:00:00,bef
2020-10-22 08:00:00,0.51,0.65,0.2846,2020-10-22,08:00:00,bef
2020-07-23 08:00:00,0.14,0.37,1.7407,2020-07-23,08:00:00,bef
2020-04-28 08:00:00,0.95,0.99,0.039900000000000005,2020-04-28,08:00:00,bef
2020-01-28 08:00:00,0.31,0.52,0.6561,2020-01-28,08:00:00,bef
2019-10-22 08:00:00,0.8,0.9,0.1222,2019-10-22,08:00:00,bef
2019-07-18 08:00:00,1.29,1.26,-0.0225,2019-07-18,08:00:00,bef
2019-04-23 07:00:00,1.5,1.55,0.0326,2019-04-23,07:00:00,bef
2019-01-29 09:00:00,1.94,2.07,0.0681,2019-01-29,09:00:00,bef
2018-10-18 09:00:00,2.35,2.33,-0.0077,2018-10-18,09:00:00,bef
2018-07-19 09:00:00,2.09,2.07,-0.008100000000000001,2018-07-19,09:00:00,bef
2018-04-19 09:00:00,1.1,1.17,0.0617,2018-04-19,09:00:00,bef
2018-01-30 09:00:00,0.55,0.65,0.17329999999999998,2018-01-30,09:00:00,bef
2017-10-19 09:00:00,0.78,0.79,0.0115,2017-10-19,09:00:00,bef
2017-07-20 09:00:00,1.06,1.0,-0.0584,2017-07-20,09:00:00,bef
2017-04-20 09:00:00,1.13,1.13,-0.0026000000000000003,2017-04-20,09:00:00,bef
2017-01-31 09:00:00,0.34,0.43,0.25,2017-01-31,09:00:00,bef
2016-10-20 09:00:00,0.9,0.88,-0.0222,2016-10-20,09:00:00,bef
2016-07-21 09:00:00,0.7,0.73,0.0443,2016-07-21,09:00:00,bef
2016-04-21 09:00:00,0.27,0.22,-0.17600000000000002,2016-04-21,09:00:00,bef
2016-01-28 09:00:00,0.23,0.46,1.0354,2016-01-28,09:00:00,bef
2015-10-22 09:00:00,0.49,0.71,0.45189999999999997,2015-10-22,09:00:00,bef
2015-07-23 09:00:00,0.26,0.39,0.48850000000000005,2015-07-23,09:00:00,bef
2015-04-23 09:00:00,0.15,0.21,0.4286,2015-04-23,09:00:00,bef
2015-01-27 09:00:00,0.55,0.65,0.1754,2015-01-27,09:00:00,bef
2014-10-23 09:00:00,0.74,0.76,0.0229,2014-10-23,09:00:00,bef
2014-07-24 04:00:00,0.4,0.46,0.1371,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,0.36,0.41,0.12380000000000001,2014-04-24,04:00:00,bef
2014-01-28 05:00:00,0.4,0.46,0.1466,2014-01-28,05:00:00,bef
2013-10-17 04:00:00,0.39,0.49,0.2552,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,0.3,0.27,-0.0968,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,0.24,0.26,0.0684,2013-04-18,04:00:00,bef
2013-01-29 05:00:00,0.31,0.45,0.4746,2013-01-29,05:00:00,bef
2012-10-18 04:00:00,0.43,0.45,0.057300000000000004,2012-10-18,04:00:00,bef
2012-07-19 04:00:00,0.48,0.46,-0.0346,2012-07-19,04:00:00,bef
2012-04-19 04:00:00,0.39,0.42,0.0799,2012-04-19,04:00:00,bef
2012-01-26 05:00:00,0.28,0.37,0.3455,2012-01-26,05:00:00,bef
2011-10-20 04:00:00,0.53,0.57,0.0719,2011-10-20,04:00:00,bef
2011-07-21 04:00:00,0.81,0.94,0.155,2011-07-21,04:00:00,bef
2011-04-21 04:00:00,0.36,0.5,0.4019,2011-04-21,04:00:00,bef
2011-01-27 05:00:00,-0.1,-0.02,0.8049,2011-01-27,05:00:00,bef
2010-10-21 04:00:00,0.11,0.07,-0.35380000000000006,2010-10-21,04:00:00,bef
