Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 09:00:00,126.77,123.65,-0.0246,2022-07-26,09:00:00,bef
2022-04-26 09:00:00,96.98,116.56,0.20190000000000002,2022-04-26,09:00:00,bef
2022-02-01 09:00:00,99.76,89.09,-0.107,2022-02-01,09:00:00,bef
2021-10-21 09:00:00,92.51,86.44,-0.06559999999999999,2021-10-21,09:00:00,bef
2021-07-21 09:00:00,72.53,82.45,0.1368,2021-07-21,09:00:00,bef
2021-04-21 09:00:00,63.01,63.21,0.0032,2021-04-21,09:00:00,bef
2021-01-28 09:00:00,79.82,76.93,-0.0362,2021-01-28,09:00:00,bef
2020-10-20 09:00:00,59.89,65.11,0.08720000000000001,2020-10-20,09:00:00,bef
2020-07-22 09:00:00,42.0,42.5,0.011899999999999999,2020-07-22,09:00:00,bef
2020-04-23 09:00:00,45.61,44.96,-0.014199999999999999,2020-04-23,09:00:00,bef
2020-01-28 16:00:00,59.0,64.41,0.0917,2020-01-28,16:00:00,aft
2019-10-18 09:00:00,51.22,56.11,0.09550000000000002,2019-10-18,09:00:00,bef
2019-07-19 09:00:00,44.82,53.09,0.1845,2019-07-19,09:00:00,bef
2019-04-22 09:00:00,34.45,47.64,0.383,2019-04-22,09:00:00,bef
2019-01-25 09:00:00,50.67,58.57,0.1559,2019-01-25,09:00:00,bef
2018-10-18 09:00:00,50.94,48.28,-0.052199999999999996,2018-10-18,09:00:00,bef
2018-07-20 09:00:00,47.21,49.05,0.039,2018-07-20,09:00:00,bef
2018-04-19 09:00:00,31.79,39.34,0.2374,2018-04-19,09:00:00,bef
2018-01-25 09:00:00,47.96,43.41,-0.0949,2018-01-25,09:00:00,bef
2017-10-19 09:00:00,36.26,38.02,0.048499999999999995,2017-10-19,09:00:00,bef
2017-07-21 09:00:00,28.89,35.19,0.2182,2017-07-21,09:00:00,bef
2017-04-20 09:00:00,21.03,25.12,0.1943,2017-04-20,09:00:00,bef
2017-01-25 09:00:00,33.09,37.8,0.1423,2017-01-25,09:00:00,bef
2016-10-20 09:00:00,29.46,28.46,-0.0338,2016-10-20,09:00:00,bef
2016-07-21 09:00:00,26.01,22.01,-0.15380000000000002,2016-07-21,09:00:00,bef
2016-04-21 09:00:00,14.96,15.79,0.0558,2016-04-21,09:00:00,bef
2016-01-26 09:00:00,29.68,31.92,0.0756,2016-01-26,09:00:00,bef
2015-10-20 09:00:00,26.64,27.11,0.0176,2015-10-20,09:00:00,bef
