Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-08 16:00:00,0.07,0.37,4.6923,2022-08-08,16:00:00,aft
2022-05-05 16:00:00,0.14,0.16,0.1034,2022-05-05,16:00:00,aft
2022-02-03 16:00:00,0.31,0.44,0.43320000000000003,2022-02-03,16:00:00,aft
2021-11-04 17:00:00,0.14,0.23,0.6788,2021-11-04,17:00:00,aft
2021-08-05 16:00:00,0.04,0.16,2.8095,2021-08-05,16:00:00,aft
2021-05-06 16:00:00,0.05,0.09,0.7647,2021-05-06,16:00:00,aft
2021-02-04 16:00:00,0.11,0.34,2.2381,2021-02-04,16:00:00,aft
2020-08-06 16:00:00,-0.09,-0.03,0.6591,2020-08-06,16:00:00,aft
2020-05-07 16:00:00,0.01,0.03,2.0,2020-05-07,16:00:00,aft
2020-02-06 16:00:00,0.15,0.18,0.2329,2020-02-06,16:00:00,aft
2019-11-07 16:00:00,0.05,0.04,-0.2157,2019-11-07,16:00:00,aft
2019-08-08 16:00:00,0.03,0.07,1.4138,2019-08-08,16:00:00,aft
2019-02-07 16:00:00,0.14,0.18,0.3139,2019-02-07,16:00:00,aft
2018-11-07 17:00:00,0.04,0.17,2.8636000000000004,2018-11-07,17:00:00,aft
2018-08-09 16:00:00,0.06,0.08,0.3793,2018-08-09,16:00:00,aft
2018-05-10 16:00:00,0.06,0.06,0.0714,2018-05-10,16:00:00,aft
2018-02-08 16:00:00,0.19,0.24,0.2766,2018-02-08,16:00:00,aft
2017-11-09 16:00:00,0.01,0.07,4.3846,2017-11-09,16:00:00,aft
2017-08-10 16:00:00,0.09,0.11,0.18280000000000002,2017-08-10,16:00:00,aft
2017-05-09 16:00:00,0.05,0.07,0.4,2017-05-09,16:00:00,aft
2017-02-09 16:00:00,0.19,0.19,0.027000000000000003,2017-02-09,16:00:00,aft
2016-08-08 16:00:00,0.13,0.1,-0.2,2016-08-08,16:00:00,aft
2016-05-05 16:00:00,0.03,0.04,0.2121,2016-05-05,16:00:00,aft
2016-02-04 16:00:00,0.21,0.2,-0.0385,2016-02-04,16:00:00,aft
2015-11-05 16:00:00,0.06,0.05,-0.18030000000000002,2015-11-05,16:00:00,aft
2015-08-12 16:00:00,0.05,0.07,0.3462,2015-08-12,16:00:00,aft
2015-05-05 16:00:00,0.07,0.05,-0.23079999999999998,2015-05-05,16:00:00,aft
2015-02-05 16:00:00,0.24,0.26,0.0833,2015-02-05,16:00:00,aft
2014-11-05 16:00:00,0.03,0.09,1.7272999999999998,2014-11-05,16:00:00,aft
2014-08-07 04:00:00,0.03,0.01,-0.6923,2014-08-07,04:00:00,bef
2014-05-08 04:00:00,0.03,0.11,2.8114999999999997,2014-05-08,04:00:00,bef
2014-02-06 05:00:00,0.2,0.31,0.5375,2014-02-06,05:00:00,bef
2013-11-11 05:00:00,0.05,0.03,-0.4118,2013-11-11,05:00:00,bef
2013-09-20 04:00:00,0.14,1.06,6.395499999999999,2013-09-20,04:00:00,bef
