Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-09-07 08:00:00,3.14,3.3,0.051,2022-09-07,08:00:00,bef
2022-07-27 07:00:00,3.14,3.3,0.050300000000000004,2022-07-27,07:00:00,bef
2022-04-27 07:00:00,2.39,2.6,0.087,2022-04-27,07:00:00,bef
2022-02-02 07:00:00,2.26,2.41,0.065,2022-02-02,07:00:00,bef
2021-10-27 07:00:00,2.37,2.47,0.041299999999999996,2021-10-27,07:00:00,bef
2021-07-28 07:00:00,2.16,2.31,0.0704,2021-07-28,07:00:00,bef
2021-04-22 07:00:00,1.58,1.7,0.0787,2021-04-22,07:00:00,bef
2021-02-04 07:00:00,1.57,1.61,0.0255,2021-02-04,07:00:00,bef
2020-10-27 07:00:00,1.53,1.71,0.1176,2020-10-27,07:00:00,bef
2020-07-30 07:00:00,1.08,1.25,0.16280000000000003,2020-07-30,07:00:00,bef
2020-04-23 07:00:00,1.12,1.11,-0.0098,2020-04-23,07:00:00,bef
2020-02-06 07:00:00,1.18,1.2,0.0152,2020-02-06,07:00:00,bef
2019-10-24 07:00:00,1.41,1.37,-0.027700000000000002,2019-10-24,07:00:00,bef
2019-07-25 07:00:00,1.41,1.44,0.022000000000000002,2019-07-25,07:00:00,bef
2019-04-25 07:00:00,1.05,1.09,0.039,2019-04-25,07:00:00,bef
2019-02-07 07:00:00,1.16,1.3,0.1168,2019-02-07,07:00:00,bef
2018-10-25 07:00:00,1.32,1.41,0.0745,2018-10-25,07:00:00,bef
2018-07-26 07:00:00,1.22,1.33,0.0895,2018-07-26,07:00:00,bef
2018-04-26 11:00:00,0.86,0.89,0.026600000000000002,2018-04-26,11:00:00,bef
2018-02-08 07:00:00,1.12,2.39,1.1397,2018-02-08,07:00:00,bef
2017-10-26 07:00:00,1.16,1.24,0.0717,2017-10-26,07:00:00,bef
2017-07-27 08:00:00,1.1,1.19,0.0858,2017-07-27,08:00:00,bef
2017-04-27 07:00:00,0.79,0.8,0.0178,2017-04-27,07:00:00,bef
2017-02-02 07:00:00,0.86,0.83,-0.0338,2017-02-02,07:00:00,bef
2016-10-27 07:00:00,0.97,1.03,0.0575,2016-10-27,07:00:00,bef
2016-07-28 14:00:00,0.95,0.98,0.0327,2016-07-28,14:00:00,bef
2016-04-28 07:00:00,0.76,0.72,-0.055099999999999996,2016-04-28,07:00:00,bef
2016-02-04 07:00:00,0.84,0.85,0.0095,2016-02-04,07:00:00,bef
2015-10-29 07:00:00,1.01,0.99,-0.0169,2015-10-29,07:00:00,bef
2015-07-30 07:00:00,0.98,1.0,0.0194,2015-07-30,07:00:00,bef
2015-04-30 07:00:00,0.71,0.73,0.0282,2015-04-30,07:00:00,bef
2015-02-05 07:00:00,0.72,0.81,0.11880000000000002,2015-02-05,07:00:00,bef
2014-10-30 07:00:00,0.87,0.9,0.0369,2014-10-30,07:00:00,bef
2014-07-31 04:00:00,0.55,0.57,0.043,2014-07-31,04:00:00,bef
2014-04-24 04:00:00,0.33,0.35,0.0739,2014-04-24,04:00:00,bef
2014-02-06 05:00:00,0.39,0.37,-0.061399999999999996,2014-02-06,05:00:00,bef
2013-10-24 04:00:00,0.46,0.47,0.0139,2013-10-24,04:00:00,bef
2013-07-25 04:00:00,0.43,0.45,0.0599,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.28,0.31,0.125,2013-04-25,04:00:00,bef
2013-02-07 05:00:00,0.34,0.31,-0.08539999999999999,2013-02-07,05:00:00,bef
2012-10-25 04:00:00,0.36,0.39,0.0852,2012-10-25,04:00:00,bef
2012-08-02 04:00:00,0.34,0.37,0.0733,2012-08-02,04:00:00,bef
2012-04-26 04:00:00,0.24,0.24,-0.015,2012-04-26,04:00:00,bef
2012-02-02 05:00:00,0.26,0.31,0.1886,2012-02-02,05:00:00,bef
2011-10-27 04:00:00,0.28,0.3,0.046,2011-10-27,04:00:00,bef
2011-07-28 04:00:00,0.25,0.31,0.2509,2011-07-28,04:00:00,bef
2011-04-27 04:00:00,0.13,0.17,0.3064,2011-04-27,04:00:00,bef
2011-02-02 05:00:00,0.17,0.17,0.0221,2011-02-02,05:00:00,bef
2010-10-27 04:00:00,0.18,0.2,0.06910000000000001,2010-10-27,04:00:00,bef
2010-07-28 04:00:00,0.14,0.17,0.2706,2010-07-28,04:00:00,bef
2010-04-28 04:00:00,0.05,0.06,0.25370000000000004,2010-04-28,04:00:00,bef
2010-01-28 05:00:00,0.07,0.08,0.1555,2010-01-28,05:00:00,bef
2009-10-22 04:00:00,0.1,0.08,-0.1323,2009-10-22,04:00:00,bef
2009-07-22 04:00:00,0.09,0.09,-0.0169,2009-07-22,04:00:00,bef
2009-04-23 04:00:00,0.03,0.03,0.0131,2009-04-23,04:00:00,bef
2009-01-29 05:00:00,0.06,0.09,0.5789,2009-01-29,05:00:00,bef
2008-10-23 04:00:00,0.15,0.19,0.21789999999999998,2008-10-23,04:00:00,bef
2008-07-24 04:00:00,0.18,0.19,0.0699,2008-07-24,04:00:00,bef
2008-04-22 04:00:00,0.09,0.08,-0.0992,2008-04-22,04:00:00,bef
2008-01-31 05:00:00,0.12,0.12,0.0036,2008-01-31,05:00:00,bef
2007-10-25 04:00:00,0.16,0.16,-0.0182,2007-10-25,04:00:00,bef
2007-07-26 04:00:00,0.16,0.18,0.08199999999999999,2007-07-26,04:00:00,bef
2007-04-26 04:00:00,0.1,0.11,0.0449,2007-04-26,04:00:00,bef
2007-02-01 05:00:00,0.12,0.14,0.1972,2007-02-01,05:00:00,bef
