Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 16:00:00,3.02,3.16,0.046,2022-08-02,16:00:00,aft
2022-05-10 16:00:00,2.03,2.12,0.0454,2022-05-10,16:00:00,aft
2022-02-23 19:00:00,1.1,1.48,0.34299999999999997,2022-02-23,19:00:00,aft
2021-11-04 16:00:00,0.66,0.87,0.3182,2021-11-04,16:00:00,aft
2021-08-03 16:00:00,0.03,0.32,8.4118,2021-08-03,16:00:00,aft
2021-05-10 16:00:00,-0.33,-0.15,0.5455,2021-05-10,16:00:00,aft
2021-02-22 16:00:00,-0.59,-0.78,-0.3243,2021-02-22,16:00:00,aft
2020-11-09 16:00:00,-0.72,-0.84,-0.1699,2020-11-09,16:00:00,aft
2020-08-10 16:00:00,-1.68,-1.76,-0.0501,2020-08-10,16:00:00,aft
2020-05-05 16:00:00,-0.63,-0.52,0.1811,2020-05-05,16:00:00,aft
2020-02-27 16:00:00,-0.19,-0.3,-0.6043000000000001,2020-02-27,16:00:00,aft
2019-11-04 16:00:00,0.37,0.11,-0.7034999999999999,2019-11-04,16:00:00,aft
2019-07-31 17:00:00,0.93,0.97,0.0385,2019-07-31,17:00:00,aft
2019-05-06 17:00:00,0.77,0.84,0.09369999999999999,2019-05-06,17:00:00,aft
2019-02-12 16:00:00,1.14,1.22,0.0683,2019-02-12,16:00:00,aft
2018-11-05 16:00:00,1.54,1.77,0.1531,2018-11-05,16:00:00,aft
2018-08-08 16:00:00,1.21,1.1,-0.09240000000000001,2018-08-08,16:00:00,aft
2018-05-08 16:00:00,0.71,0.92,0.305,2018-05-08,16:00:00,aft
2017-11-01 16:00:00,0.11,0.18,0.6514,2017-11-01,16:00:00,aft
2017-08-02 16:00:00,0.1,0.15,0.5306000000000001,2017-08-02,16:00:00,aft
2017-05-04 07:00:00,0.07,0.15,1.2059,2017-05-04,07:00:00,bef
2017-02-09 07:00:00,-0.02,-0.13,-4.4167000000000005,2017-02-09,07:00:00,bef
2016-11-01 07:00:00,-0.11,-0.15,-0.3889,2016-11-01,07:00:00,bef
2016-05-05 06:00:00,-0.4,-0.56,-0.3896,2016-05-05,06:00:00,bef
2016-02-04 07:00:00,-0.12,-0.17,-0.3934,2016-02-04,07:00:00,bef
2015-10-28 07:00:00,-0.01,0.03,5.2857,2015-10-28,07:00:00,bef
2015-07-30 07:00:00,0.21,0.21,-0.0141,2015-07-30,07:00:00,bef
2015-01-29 07:00:00,0.68,0.72,0.0635,2015-01-29,07:00:00,bef
2014-10-23 07:00:00,1.57,1.58,0.0045000000000000005,2014-10-23,07:00:00,bef
2014-07-31 04:00:00,1.75,1.79,0.021,2014-07-31,04:00:00,bef
2014-05-05 04:00:00,1.7,1.75,0.0268,2014-05-05,04:00:00,bef
2014-01-30 05:00:00,1.67,1.72,0.0273,2014-01-30,05:00:00,bef
2013-10-29 04:00:00,1.9,1.97,0.0375,2013-10-29,04:00:00,bef
2013-07-30 04:00:00,1.6,1.58,-0.0143,2013-07-30,04:00:00,bef
2013-04-25 04:00:00,1.54,1.69,0.0983,2013-04-25,04:00:00,bef
2013-01-31 05:00:00,1.66,1.83,0.1033,2013-01-31,05:00:00,bef
2012-10-25 04:00:00,1.63,1.7,0.045700000000000005,2012-10-25,04:00:00,bef
2012-07-26 04:00:00,1.6,1.64,0.0222,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,1.92,1.92,-0.0007000000000000001,2012-04-26,04:00:00,bef
2012-01-25 05:00:00,1.95,2.02,0.0376,2012-01-25,05:00:00,bef
2011-10-27 04:00:00,1.95,2.18,0.11960000000000001,2011-10-27,04:00:00,bef
2011-07-26 04:00:00,2.16,2.23,0.0329,2011-07-26,04:00:00,bef
2011-04-28 04:00:00,1.8,1.96,0.09029999999999999,2011-04-28,04:00:00,bef
2011-01-26 05:00:00,1.54,1.58,0.0244,2011-01-26,05:00:00,bef
2010-10-19 04:00:00,1.35,1.47,0.0855,2010-10-19,04:00:00,bef
2010-07-27 04:00:00,1.33,1.31,-0.0116,2010-07-27,04:00:00,bef
2010-04-29 04:00:00,1.36,1.32,-0.0302,2010-04-29,04:00:00,bef
2010-01-28 05:00:00,1.25,1.3,0.042800000000000005,2010-01-28,05:00:00,bef
2009-10-22 04:00:00,1.08,1.14,0.059699999999999996,2009-10-22,04:00:00,bef
2009-07-23 04:00:00,0.8,0.85,0.0667,2009-07-23,04:00:00,bef
2009-04-23 04:00:00,0.38,0.5,0.3095,2009-04-23,04:00:00,bef
2009-01-29 05:00:00,0.95,1.18,0.2487,2009-01-29,05:00:00,bef
2008-10-28 04:00:00,2.71,2.78,0.0257,2008-10-28,04:00:00,bef
2008-07-24 04:00:00,2.75,2.79,0.0139,2008-07-24,04:00:00,bef
2008-04-24 04:00:00,1.98,2.2,0.1086,2008-04-24,04:00:00,bef
2008-01-29 05:00:00,1.69,1.76,0.044500000000000005,2008-01-29,05:00:00,bef
2007-10-24 04:00:00,1.31,1.45,0.1051,2007-10-24,04:00:00,bef
2007-07-24 04:00:00,1.1,1.18,0.0743,2007-07-24,04:00:00,bef
2007-04-24 04:00:00,0.91,0.98,0.0815,2007-04-24,04:00:00,bef
2007-01-25 05:00:00,0.9,0.98,0.08650000000000001,2007-01-25,05:00:00,bef
2006-10-18 04:00:00,1.34,1.35,0.0070999999999999995,2006-10-18,04:00:00,bef
2006-08-04 04:00:00,1.39,1.39,-0.0053,2006-08-04,04:00:00,bef
2006-04-25 04:00:00,1.37,1.42,0.0325,2006-04-25,04:00:00,bef
2006-02-07 05:00:00,1.38,1.41,0.0195,2006-02-07,05:00:00,bef
2005-10-31 05:00:00,1.32,1.35,0.0219,2005-10-31,05:00:00,bef
2005-07-22 04:00:00,1.14,1.05,-0.0793,2005-07-22,04:00:00,bef
2005-04-26 04:00:00,1.0,1.07,0.0699,2005-04-26,04:00:00,bef
2005-01-24 05:00:00,0.95,0.91,-0.0517,2005-01-24,05:00:00,bef
2004-10-21 04:00:00,0.89,0.94,0.059800000000000006,2004-10-21,04:00:00,bef
2004-07-19 04:00:00,0.71,0.73,0.0227,2004-07-19,04:00:00,bef
2004-04-23 04:00:00,0.61,0.62,0.0118,2004-04-23,04:00:00,bef
2004-01-22 05:00:00,0.51,0.49,-0.0501,2004-01-22,05:00:00,bef
2003-10-21 04:00:00,0.51,0.57,0.1255,2003-10-21,04:00:00,bef
2003-07-22 04:00:00,0.47,0.49,0.037000000000000005,2003-07-22,04:00:00,bef
2003-04-22 04:00:00,0.55,0.57,0.0276,2003-04-22,04:00:00,bef
2003-01-29 05:00:00,0.39,0.42,0.0714,2003-01-29,05:00:00,bef
2002-10-21 04:00:00,0.38,0.44,0.1528,2002-10-21,04:00:00,bef
2002-07-22 04:00:00,0.31,0.32,0.0151,2002-07-22,04:00:00,bef
2002-04-25 04:00:00,0.1,0.17,0.7662000000000001,2002-04-25,04:00:00,bef
2002-02-04 05:00:00,0.05,0.05,-0.16,2002-02-04,05:00:00,bef
2001-10-17 04:00:00,0.35,0.43,0.204,2001-10-17,04:00:00,bef
2001-07-19 04:00:00,0.52,0.63,0.1984,2001-07-19,04:00:00,bef
2001-04-18 04:00:00,0.49,0.69,0.3987,2001-04-18,04:00:00,bef
2001-01-24 05:00:00,0.5,0.47,-0.056600000000000004,2001-01-24,05:00:00,bef
2000-10-18 04:00:00,0.48,0.5,0.0315,2000-10-18,04:00:00,bef
2000-07-20 04:00:00,0.42,0.47,0.10560000000000001,2000-07-20,04:00:00,bef
2000-04-19 04:00:00,0.31,0.36,0.14650000000000002,2000-04-19,04:00:00,bef
2000-01-25 05:00:00,0.21,0.26,0.23629999999999998,2000-01-25,05:00:00,bef
1999-10-19 04:00:00,0.11,0.18,0.5909000000000001,1999-10-19,04:00:00,bef
1999-07-20 04:00:00,-0.02,0.02,1.9169,1999-07-20,04:00:00,bef
1999-04-21 04:00:00,-0.1,-0.1,0.008199999999999999,1999-04-21,04:00:00,bef
1999-01-26 05:00:00,-0.04,-0.06,-0.4844,1999-01-26,05:00:00,bef
1998-07-20 04:00:00,0.07,0.26,2.8895999999999997,1998-07-20,04:00:00,bef
1998-04-20 04:00:00,0.13,0.13,0.0359,1998-04-20,04:00:00,bef
1998-01-26 05:00:00,0.2,0.21,0.0719,1998-01-26,05:00:00,bef
1997-10-16 04:00:00,0.22,0.19,-0.1399,1997-10-16,04:00:00,bef
1997-07-17 04:00:00,0.19,0.2,0.005699999999999999,1997-07-17,04:00:00,bef
1997-04-17 04:00:00,0.22,0.23,0.0698,1997-04-17,04:00:00,bef
1997-01-23 05:00:00,0.21,0.2,-0.0604,1997-01-23,05:00:00,bef
1996-10-17 04:00:00,0.21,0.26,0.1906,1996-10-17,04:00:00,bef
1996-07-22 04:00:00,0.18,0.25,0.3525,1996-07-22,04:00:00,bef
1996-04-17 04:00:00,0.15,0.22,0.4227,1996-04-17,04:00:00,bef
1996-01-24 05:00:00,0.09,0.09,-0.04,1996-01-24,05:00:00,bef
1995-10-18 04:00:00,0.18,0.18,-0.0059,1995-10-18,04:00:00,bef
1995-07-20 04:00:00,0.25,0.32,0.24910000000000002,1995-07-20,04:00:00,bef
1995-04-20 04:00:00,0.18,0.25,0.3528,1995-04-20,04:00:00,bef
1995-01-25 05:00:00,0.06,-0.03,-1.4671,1995-01-25,05:00:00,bef
1994-07-20 04:00:00,-0.07,-0.06,0.10130000000000002,1994-07-20,04:00:00,bef
1994-04-20 04:00:00,-0.08,-0.09,-0.2108,1994-04-20,04:00:00,bef
1994-01-26 05:00:00,-0.02,0.01,1.5,1994-01-26,05:00:00,bef
1993-10-20 04:00:00,-0.01,-0.18,-19.4082,1993-10-20,04:00:00,bef
1993-07-23 04:00:00,0.01,0.11,8.7493,1993-07-23,04:00:00,bef
1993-04-22 04:00:00,0.02,0.13,6.0922,1993-04-22,04:00:00,bef
1993-01-28 05:00:00,0.04,0.03,-0.32689999999999997,1993-01-28,05:00:00,bef
