Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 16:00:00,0.38,0.37,-0.018600000000000002,2022-08-03,16:00:00,aft
2022-05-04 16:00:00,0.42,0.34,-0.1962,2022-05-04,16:00:00,aft
2022-02-22 16:00:00,0.37,0.01,-0.9731000000000001,2022-02-22,16:00:00,aft
2021-11-01 16:00:00,0.39,0.34,-0.13269999999999998,2021-11-01,16:00:00,aft
2021-08-02 16:00:00,0.37,0.33,-0.1176,2021-08-02,16:00:00,aft
2021-05-03 16:00:00,0.3,0.26,-0.1216,2021-05-03,16:00:00,aft
2021-02-22 16:00:00,0.34,0.33,-0.0351,2021-02-22,16:00:00,aft
2020-11-02 16:00:00,0.35,0.07,-0.8,2020-11-02,16:00:00,aft
2020-08-03 16:00:00,0.32,0.31,-0.0221,2020-08-03,16:00:00,aft
2020-05-04 16:00:00,0.45,0.44,-0.0244,2020-05-04,16:00:00,aft
2020-02-19 16:00:00,0.34,0.39,0.15380000000000002,2020-02-19,16:00:00,aft
2019-11-04 16:00:00,0.33,0.32,-0.0184,2019-11-04,16:00:00,aft
2019-08-05 16:00:00,0.34,0.31,-0.0962,2019-08-05,16:00:00,aft
2019-05-01 16:00:00,0.34,0.37,0.0787,2019-05-01,16:00:00,aft
2019-02-20 16:00:00,0.31,0.29,-0.0645,2019-02-20,16:00:00,aft
2018-10-31 16:00:00,0.33,0.34,0.030299999999999997,2018-10-31,16:00:00,aft
2018-08-01 16:00:00,0.32,0.34,0.0526,2018-08-01,16:00:00,aft
2018-05-08 16:00:00,0.33,0.29,-0.12119999999999999,2018-05-08,16:00:00,aft
2018-02-21 16:00:00,0.32,0.22,-0.3038,2018-02-21,16:00:00,aft
2017-10-25 16:00:00,0.31,0.32,0.0323,2017-10-25,16:00:00,aft
2017-07-26 16:00:00,0.32,0.3,-0.0712,2017-07-26,16:00:00,aft
2017-04-25 16:00:00,0.29,0.27,-0.069,2017-04-25,16:00:00,aft
2017-02-22 16:00:00,0.3,0.33,0.10740000000000001,2017-02-22,16:00:00,aft
2016-10-26 16:00:00,0.29,0.27,-0.0753,2016-10-26,16:00:00,aft
2016-07-28 01:00:00,0.29,0.27,-0.0559,2016-07-28,01:00:00,bef
2016-04-26 16:00:00,0.28,0.25,-0.10070000000000001,2016-04-26,16:00:00,aft
2016-02-10 16:00:00,0.26,0.31,0.1923,2016-02-10,16:00:00,aft
2015-10-28 16:00:00,0.26,0.26,0.0117,2015-10-28,16:00:00,aft
2015-07-29 16:00:00,0.25,0.25,0.0121,2015-07-29,16:00:00,aft
2015-04-29 16:00:00,0.24,0.27,0.1489,2015-04-29,16:00:00,aft
2015-02-17 16:00:00,0.23,0.32,0.4222,2015-02-17,16:00:00,aft
2014-10-29 17:00:00,0.23,0.26,0.1304,2014-10-29,17:00:00,aft
2014-07-24 04:00:00,0.23,0.23,0.011000000000000001,2014-07-24,04:00:00,bef
2014-05-01 04:00:00,0.21,0.22,0.047599999999999996,2014-05-01,04:00:00,bef
2014-02-13 05:00:00,0.21,0.26,0.23809999999999998,2014-02-13,05:00:00,bef
2013-07-25 04:00:00,0.21,0.23,0.122,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.21,0.42,0.9688,2013-04-25,04:00:00,bef
2013-02-14 05:00:00,0.24,0.25,0.0417,2013-02-14,05:00:00,bef
2012-10-25 04:00:00,0.25,0.24,-0.027000000000000003,2012-10-25,04:00:00,bef
2012-07-26 04:00:00,0.24,0.25,0.027400000000000004,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,0.24,0.2,-0.1549,2012-04-26,04:00:00,bef
2012-02-09 05:00:00,0.28,0.26,-0.0647,2012-02-09,05:00:00,bef
2011-10-27 04:00:00,0.27,0.27,-0.0146,2011-10-27,04:00:00,bef
2011-07-28 04:00:00,0.27,0.26,-0.029900000000000003,2011-07-28,04:00:00,bef
2011-04-28 04:00:00,0.27,0.25,-0.056600000000000004,2011-04-28,04:00:00,bef
2011-02-10 05:00:00,0.26,0.29,0.1373,2011-02-10,05:00:00,bef
2010-10-27 04:00:00,0.24,0.25,0.0309,2010-10-27,04:00:00,bef
2010-04-28 04:00:00,0.25,0.23,-0.061200000000000004,2010-04-28,04:00:00,bef
2010-02-10 05:00:00,0.24,0.28,0.18309999999999998,2010-02-10,05:00:00,bef
2009-10-28 04:00:00,0.23,0.26,0.1143,2009-10-28,04:00:00,bef
2009-07-29 04:00:00,0.23,0.26,0.147,2009-07-29,04:00:00,bef
2009-04-29 04:00:00,0.25,0.23,-0.08,2009-04-29,04:00:00,bef
2009-02-11 05:00:00,0.24,0.27,0.1489,2009-02-11,05:00:00,bef
2008-10-29 04:00:00,0.24,0.29,0.1959,2008-10-29,04:00:00,bef
2008-07-30 04:00:00,0.25,0.27,0.0693,2008-07-30,04:00:00,bef
2008-04-30 04:00:00,0.27,0.24,-0.0943,2008-04-30,04:00:00,bef
2008-02-13 05:00:00,0.31,0.24,-0.23399999999999999,2008-02-13,05:00:00,bef
2007-10-31 04:00:00,0.31,0.25,-0.18480000000000002,2007-10-31,04:00:00,bef
2007-08-01 04:00:00,0.29,0.26,-0.09300000000000001,2007-08-01,04:00:00,bef
2007-05-02 04:00:00,0.3,0.28,-0.0667,2007-05-02,04:00:00,bef
2007-02-14 05:00:00,0.3,0.29,-0.0169,2007-02-14,05:00:00,bef
2006-11-03 05:00:00,0.28,0.26,-0.0796,2006-11-03,05:00:00,bef
2006-08-02 04:00:00,0.28,0.27,-0.047,2006-08-02,04:00:00,bef
2006-05-03 04:00:00,0.28,0.25,-0.10710000000000001,2006-05-03,04:00:00,bef
2006-02-15 05:00:00,0.28,0.26,-0.0714,2006-02-15,05:00:00,bef
2005-10-26 04:00:00,0.29,0.25,-0.12789999999999999,2005-10-26,04:00:00,bef
2005-07-27 04:00:00,0.27,0.28,0.037000000000000005,2005-07-27,04:00:00,bef
2005-04-27 04:00:00,0.26,0.27,0.0253,2005-04-27,04:00:00,bef
2005-02-02 05:00:00,0.27,0.25,-0.0741,2005-02-02,05:00:00,bef
2004-10-27 04:00:00,0.24,0.23,-0.0426,2004-10-27,04:00:00,bef
2004-07-28 04:00:00,0.22,0.21,-0.04650000000000001,2004-07-28,04:00:00,bef
