Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 07:00:00,0.61,0.64,0.056100000000000004,2022-08-04,07:00:00,bef
2022-05-03 07:00:00,0.51,0.6,0.1673,2022-05-03,07:00:00,bef
2022-02-15 16:00:00,0.43,0.26,-0.3897,2022-02-15,16:00:00,aft
2021-11-04 07:00:00,0.76,0.76,0.004,2021-11-04,07:00:00,bef
2021-08-05 07:00:00,0.96,0.97,0.0083,2021-08-05,07:00:00,bef
2021-05-06 07:00:00,1.22,1.52,0.24280000000000002,2021-05-06,07:00:00,bef
2021-02-24 16:00:00,1.01,1.04,0.0267,2021-02-24,16:00:00,aft
2020-11-06 07:00:00,0.8,0.91,0.1318,2020-11-06,07:00:00,bef
2020-08-06 07:00:00,0.93,1.25,0.34700000000000003,2020-08-06,07:00:00,bef
2020-05-07 07:00:00,0.96,1.13,0.1771,2020-05-07,07:00:00,bef
2020-02-20 07:00:00,1.44,0.97,-0.32549999999999996,2020-02-20,07:00:00,bef
2019-11-12 08:00:00,0.92,0.95,0.0383,2019-11-12,08:00:00,bef
2019-08-08 16:00:00,1.12,1.16,0.0329,2019-08-08,16:00:00,aft
2019-05-02 16:00:00,1.36,1.37,0.0059,2019-05-02,16:00:00,aft
2019-02-14 16:00:00,1.52,1.5,-0.015700000000000002,2019-02-14,16:00:00,aft
2018-11-01 16:00:00,1.22,1.24,0.0172,2018-11-01,16:00:00,aft
2018-08-02 16:00:00,1.11,1.12,0.013600000000000001,2018-08-02,16:00:00,aft
2018-05-03 16:00:00,1.19,1.34,0.1308,2018-05-03,16:00:00,aft
2018-02-15 16:00:00,1.14,1.2,0.050800000000000005,2018-02-15,16:00:00,aft
2017-11-02 16:00:00,1.07,1.11,0.0335,2017-11-02,16:00:00,aft
2017-08-07 16:00:00,0.98,1.04,0.0667,2017-08-07,16:00:00,aft
2017-05-04 16:00:00,0.95,1.06,0.11230000000000001,2017-05-04,16:00:00,aft
2017-02-15 16:00:00,1.1,1.11,0.011899999999999999,2017-02-15,16:00:00,aft
2016-11-03 16:00:00,0.98,1.05,0.0703,2016-11-03,16:00:00,aft
2016-07-28 16:00:00,0.86,0.93,0.08140000000000001,2016-07-28,16:00:00,aft
2016-05-03 16:00:00,0.94,1.02,0.0886,2016-05-03,16:00:00,aft
2016-02-11 16:00:00,0.92,0.92,0.0044,2016-02-11,16:00:00,aft
2015-11-03 16:00:00,0.81,0.88,0.09179999999999999,2015-11-03,16:00:00,aft
2015-08-05 15:00:00,0.72,0.74,0.0221,2015-08-05,15:00:00,bef
2015-05-07 16:00:00,0.75,0.78,0.0386,2015-05-07,16:00:00,aft
2015-02-12 16:00:00,0.76,0.77,0.0105,2015-02-12,16:00:00,aft
2014-11-05 16:00:00,0.72,0.74,0.0221,2014-11-05,16:00:00,aft
2014-08-07 04:00:00,0.71,0.72,0.01,2014-08-07,04:00:00,bef
2014-05-08 04:00:00,0.74,0.79,0.061900000000000004,2014-05-08,04:00:00,bef
2014-02-12 05:00:00,0.76,0.78,0.0315,2014-02-12,05:00:00,bef
2013-11-06 05:00:00,0.76,0.76,0.002,2013-11-06,05:00:00,bef
2013-07-31 04:00:00,0.72,0.76,0.0543,2013-07-31,04:00:00,bef
2013-05-01 04:00:00,0.68,0.73,0.0779,2013-05-01,04:00:00,bef
2013-02-14 05:00:00,0.68,0.64,-0.0633,2013-02-14,05:00:00,bef
2012-11-07 05:00:00,0.61,0.6,-0.0098,2012-11-07,05:00:00,bef
2012-08-02 04:00:00,0.59,0.65,0.1095,2012-08-02,04:00:00,bef
2012-05-01 04:00:00,0.44,0.53,0.203,2012-05-01,04:00:00,bef
2012-02-15 05:00:00,0.53,0.57,0.0688,2012-02-15,05:00:00,bef
2011-11-03 04:00:00,0.46,0.5,0.08109999999999999,2011-11-03,04:00:00,bef
2011-08-02 04:00:00,0.45,0.58,0.2759,2011-08-02,04:00:00,bef
2011-05-03 04:00:00,0.19,0.29,0.5083,2011-05-03,04:00:00,bef
2011-02-16 05:00:00,0.43,0.46,0.0581,2011-02-16,05:00:00,bef
2010-11-04 04:00:00,0.31,0.35,0.1259,2010-11-04,04:00:00,bef
2010-08-03 04:00:00,0.21,0.25,0.1771,2010-08-03,04:00:00,bef
2010-02-18 05:00:00,0.25,0.25,0.0101,2010-02-18,05:00:00,bef
2009-11-05 05:00:00,0.22,0.25,0.1218,2009-11-05,05:00:00,bef
2009-08-06 04:00:00,0.07,0.08,0.1594,2009-08-06,04:00:00,bef
2009-05-07 04:00:00,0.07,-0.08,-2.091,2009-05-07,04:00:00,bef
2009-02-18 05:00:00,0.26,0.34,0.3216,2009-02-18,05:00:00,bef
2008-10-30 04:00:00,0.4,0.4,-0.0094,2008-10-30,04:00:00,bef
2008-07-31 04:00:00,0.52,0.49,-0.055700000000000006,2008-07-31,04:00:00,bef
2008-04-29 04:00:00,0.33,0.4,0.20170000000000002,2008-04-29,04:00:00,bef
2008-02-26 05:00:00,0.52,0.54,0.0359,2008-02-26,05:00:00,bef
2007-11-01 04:00:00,0.43,0.48,0.10460000000000001,2007-11-01,04:00:00,bef
2007-07-31 04:00:00,0.51,0.54,0.0534,2007-07-31,04:00:00,bef
2007-05-03 04:00:00,0.32,0.33,0.0206,2007-05-03,04:00:00,bef
2007-02-27 05:00:00,0.47,0.59,0.2604,2007-02-27,05:00:00,bef
2006-11-02 05:00:00,0.4,0.42,0.054400000000000004,2006-11-02,05:00:00,bef
2006-08-03 04:00:00,0.5,0.49,-0.0212,2006-08-03,04:00:00,bef
2006-04-26 04:00:00,0.28,0.3,0.0853,2006-04-26,04:00:00,bef
2006-02-22 05:00:00,0.39,0.41,0.039,2006-02-22,05:00:00,bef
2005-11-01 05:00:00,0.45,0.47,0.0444,2005-11-01,05:00:00,bef
2005-08-04 04:00:00,0.46,0.47,0.0268,2005-08-04,04:00:00,bef
2005-04-19 04:00:00,0.31,0.36,0.163,2005-04-19,04:00:00,bef
2005-02-24 05:00:00,0.38,0.42,0.09550000000000002,2005-02-24,05:00:00,bef
2004-10-28 04:00:00,0.41,0.42,0.0298,2004-10-28,04:00:00,bef
2004-07-22 04:00:00,0.43,0.45,0.0529,2004-07-22,04:00:00,bef
2004-04-22 04:00:00,0.31,0.33,0.08199999999999999,2004-04-22,04:00:00,bef
2004-02-10 05:00:00,0.36,0.36,-0.0070999999999999995,2004-02-10,05:00:00,bef
2003-10-23 04:00:00,0.38,0.4,0.0442,2003-10-23,04:00:00,bef
2003-07-24 04:00:00,0.36,0.37,0.0176,2003-07-24,04:00:00,bef
2003-04-22 04:00:00,0.25,0.26,0.0484,2003-04-22,04:00:00,bef
2003-02-12 05:00:00,0.34,0.37,0.0882,2003-02-12,05:00:00,bef
2002-10-24 04:00:00,0.32,0.36,0.1097,2002-10-24,04:00:00,bef
2002-07-25 04:00:00,0.29,0.31,0.06230000000000001,2002-07-25,04:00:00,bef
2002-04-25 04:00:00,0.16,0.21,0.2766,2002-04-25,04:00:00,bef
2002-02-14 05:00:00,-0.11,-0.08,0.28300000000000003,2002-02-14,05:00:00,bef
2001-10-24 04:00:00,-0.02,-0.01,0.5349,2001-10-24,04:00:00,bef
2001-07-26 04:00:00,0.03,0.01,-0.6429,2001-07-26,04:00:00,bef
2001-02-14 05:00:00,0.03,0.05,0.6667000000000001,2001-02-14,05:00:00,bef
2000-10-26 04:00:00,0.3,0.02,-0.9333,2000-10-26,04:00:00,bef
2000-09-07 04:00:00,0.09,0.01,-0.8871,2000-09-07,04:00:00,bef
2000-04-26 04:00:00,0.08,0.11,0.4558,2000-04-26,04:00:00,bef
2000-02-16 05:00:00,0.14,0.19,0.3103,2000-02-16,05:00:00,bef
1999-10-21 04:00:00,0.16,0.16,-0.0281,1999-10-21,04:00:00,bef
1999-07-19 04:00:00,0.07,0.08,0.17079999999999998,1999-07-19,04:00:00,bef
1999-04-27 04:00:00,0.05,0.08,0.6,1999-04-27,04:00:00,bef
1999-02-25 05:00:00,0.07,0.05,-0.2917,1999-02-25,05:00:00,bef
1998-11-05 05:00:00,0.14,0.2,0.3929,1998-11-05,05:00:00,bef
1998-07-29 04:00:00,-0.04,-0.02,0.3951,1998-07-29,04:00:00,bef
1998-04-29 04:00:00,-0.09,-0.02,0.7804000000000001,1998-04-29,04:00:00,bef
1998-02-26 05:00:00,-0.18,-0.14,0.1814,1998-02-26,05:00:00,bef
1997-10-29 05:00:00,-0.02,0.03,2.4916,1997-10-29,05:00:00,bef
1997-08-05 04:00:00,-0.06,-0.04,0.2982,1997-08-05,04:00:00,bef
1997-05-07 04:00:00,-0.08,-0.05,0.30160000000000003,1997-05-07,04:00:00,bef
1997-03-04 05:00:00,-0.06,0.1,2.4918,1997-03-04,05:00:00,bef
1996-11-01 05:00:00,0.08,0.12,0.5337,1996-11-01,05:00:00,bef
1996-07-31 04:00:00,0.02,0.01,-0.5522,1996-07-31,04:00:00,bef
1996-05-03 04:00:00,-0.01,0.02,2.3333000000000004,1996-05-03,04:00:00,bef
1995-10-31 05:00:00,0.14,0.11,-0.2324,1995-10-31,05:00:00,bef
1995-07-27 04:00:00,0.06,0.05,-0.1764,1995-07-27,04:00:00,bef
1995-05-02 04:00:00,-0.02,0.07,3.7861000000000002,1995-05-02,04:00:00,bef
1995-02-22 05:00:00,0.04,-0.07,-2.6471,1995-02-22,05:00:00,bef
1994-11-14 05:00:00,-0.05,0.73,15.5,1994-11-14,05:00:00,bef
1994-08-15 04:00:00,-0.02,0.3,12.8,1994-08-15,04:00:00,bef
1994-05-20 04:00:00,0.09,0.23,1.5714,1994-05-20,04:00:00,bef
1994-02-28 05:00:00,0.1,0.06,-0.43229999999999996,1994-02-28,05:00:00,bef
1993-10-22 04:00:00,0.14,0.13,-0.12789999999999999,1993-10-22,04:00:00,bef
1993-07-23 04:00:00,0.12,0.18,0.4286,1993-07-23,04:00:00,bef
1993-04-28 04:00:00,0.1,0.3,1.95,1993-04-28,04:00:00,bef
1993-02-10 05:00:00,0.16,0.05,-0.6875,1993-02-10,05:00:00,bef
