Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 08:00:00,1.82,2.07,0.1392,2022-07-26,08:00:00,bef
2022-04-26 08:00:00,1.54,1.72,0.1162,2022-04-26,08:00:00,bef
2022-01-25 08:00:00,1.32,1.47,0.1153,2022-01-25,08:00:00,bef
2021-10-26 08:00:00,1.2,1.08,-0.10070000000000001,2021-10-26,08:00:00,bef
2021-07-27 08:00:00,1.39,1.41,0.0122,2021-07-27,08:00:00,bef
2021-04-27 08:00:00,1.27,1.35,0.059699999999999996,2021-04-27,08:00:00,bef
2021-01-26 08:00:00,1.22,1.17,-0.0418,2021-01-26,08:00:00,bef
2020-10-20 08:00:00,0.98,1.11,0.1373,2020-10-20,08:00:00,bef
2020-07-21 08:00:00,0.31,0.43,0.39159999999999995,2020-07-21,08:00:00,bef
2020-04-21 08:00:00,1.2,1.03,-0.141,2020-04-21,08:00:00,bef
2020-01-28 08:00:00,1.51,1.53,0.0159,2020-01-28,08:00:00,bef
2019-10-22 08:00:00,1.64,1.75,0.0651,2019-10-22,08:00:00,bef
2019-07-23 08:00:00,1.81,1.78,-0.0149,2019-07-23,08:00:00,bef
2019-04-30 08:00:00,1.65,1.81,0.0956,2019-04-30,08:00:00,bef
2019-01-29 08:00:00,1.53,1.65,0.077,2019-01-29,08:00:00,bef
2018-10-23 08:00:00,1.51,1.55,0.025099999999999997,2018-10-23,08:00:00,bef
2018-07-24 08:00:00,1.42,1.59,0.11970000000000001,2018-07-24,08:00:00,bef
2018-04-24 09:00:00,1.31,1.45,0.106,2018-04-24,09:00:00,bef
2018-01-30 09:00:00,1.12,1.18,0.0526,2018-01-30,09:00:00,bef
2017-10-24 08:00:00,1.08,1.14,0.0565,2017-10-24,08:00:00,bef
2017-07-25 08:00:00,0.99,1.06,0.0751,2017-07-25,08:00:00,bef
2017-04-25 08:00:00,0.87,0.88,0.0069,2017-04-25,08:00:00,bef
2017-01-31 05:00:00,0.86,0.82,-0.04650000000000001,2017-01-31,05:00:00,bef
2016-10-25 08:00:00,1.0,0.98,-0.0151,2016-10-25,08:00:00,bef
2016-07-26 08:00:00,1.02,1.06,0.0352,2016-07-26,08:00:00,bef
2016-04-26 08:00:00,0.96,0.99,0.0323,2016-04-26,08:00:00,bef
2016-01-29 08:00:00,1.02,0.98,-0.0373,2016-01-29,08:00:00,bef
2015-10-27 08:00:00,1.16,1.21,0.0404,2015-10-27,08:00:00,bef
2015-07-28 08:00:00,1.15,1.26,0.0928,2015-07-28,08:00:00,bef
2015-04-21 08:00:00,1.01,1.06,0.047400000000000005,2015-04-21,08:00:00,bef
2015-01-30 08:00:00,1.09,1.11,0.0146,2015-01-30,08:00:00,bef
2014-10-28 08:00:00,0.96,1.04,0.08109999999999999,2014-10-28,08:00:00,bef
2014-07-29 04:00:00,0.89,0.9,0.0102,2014-07-29,04:00:00,bef
2014-04-29 04:00:00,0.76,0.77,0.0143,2014-04-29,04:00:00,bef
2014-01-31 05:00:00,0.93,0.94,0.0141,2014-01-31,05:00:00,bef
2013-10-29 04:00:00,0.85,0.87,0.0201,2013-10-29,04:00:00,bef
2013-07-23 04:00:00,0.75,0.82,0.1003,2013-07-23,04:00:00,bef
2013-04-23 04:00:00,0.68,0.67,-0.0195,2013-04-23,04:00:00,bef
2013-01-31 05:00:00,0.68,0.72,0.057999999999999996,2013-01-31,05:00:00,bef
2012-10-25 04:00:00,0.65,0.66,0.016200000000000003,2012-10-25,04:00:00,bef
2012-07-24 04:00:00,0.82,0.83,0.0166,2012-07-24,04:00:00,bef
2012-04-24 04:00:00,0.78,0.91,0.16579999999999998,2012-04-24,04:00:00,bef
2012-01-31 05:00:00,0.79,0.91,0.1527,2012-01-31,05:00:00,bef
2011-10-25 04:00:00,0.7,0.77,0.1061,2011-10-25,04:00:00,bef
2011-07-26 04:00:00,0.69,0.65,-0.053899999999999997,2011-07-26,04:00:00,bef
2011-04-19 04:00:00,0.49,0.53,0.07780000000000001,2011-04-19,04:00:00,bef
2011-02-01 05:00:00,0.46,0.46,-0.006,2011-02-01,05:00:00,bef
2010-10-26 04:00:00,0.32,0.33,0.029500000000000002,2010-10-26,04:00:00,bef
2010-07-27 04:00:00,0.2,0.27,0.36200000000000004,2010-07-27,04:00:00,bef
2010-04-20 04:00:00,0.15,0.19,0.2459,2010-04-20,04:00:00,bef
2010-01-29 05:00:00,0.07,0.13,0.9808,2010-01-29,05:00:00,bef
2009-10-27 04:00:00,0.02,0.04,1.3697,2009-10-27,04:00:00,bef
2009-07-28 04:00:00,0.04,0.07,0.7229000000000001,2009-07-28,04:00:00,bef
2009-04-28 04:00:00,0.05,0.07,0.4999,2009-04-28,04:00:00,bef
2009-01-30 05:00:00,0.3,0.31,0.0449,2009-01-30,05:00:00,bef
2008-10-21 04:00:00,0.87,0.82,-0.0587,2008-10-21,04:00:00,bef
2008-07-22 04:00:00,0.84,0.86,0.0269,2008-07-22,04:00:00,bef
2008-04-22 04:00:00,0.77,0.79,0.0207,2008-04-22,04:00:00,bef
2008-01-29 05:00:00,0.82,0.71,-0.1389,2008-01-29,05:00:00,bef
2007-10-24 04:00:00,0.77,0.81,0.0519,2007-10-24,04:00:00,bef
2007-07-24 04:00:00,0.75,0.79,0.0625,2007-07-24,04:00:00,bef
2007-04-24 04:00:00,0.8,0.97,0.2175,2007-04-24,04:00:00,bef
2007-01-30 05:00:00,1.03,1.01,-0.0151,2007-01-30,05:00:00,bef
