Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 16:00:00,0.1,0.13,0.2353,2022-08-02,16:00:00,aft
2022-05-03 16:00:00,0.1,0.13,0.3,2022-05-03,16:00:00,aft
2022-02-08 17:00:00,0.08,0.05,-0.4048,2022-02-08,17:00:00,aft
2021-11-02 16:00:00,0.1,0.1,0.0204,2021-11-02,16:00:00,aft
2021-08-03 16:00:00,0.18,0.51,1.7869,2021-08-03,16:00:00,aft
2021-05-04 16:00:00,0.09,0.27,1.8722999999999999,2021-05-04,16:00:00,aft
2021-02-09 16:00:00,0.04,0.27,5.75,2021-02-09,16:00:00,aft
2020-11-02 16:00:00,0.01,-0.12,-10.2308,2020-11-02,16:00:00,aft
2020-08-04 16:00:00,0.05,0.09,0.8,2020-08-04,16:00:00,aft
2020-05-05 16:00:00,0.1,0.54,4.2941,2020-05-05,16:00:00,aft
2020-02-11 16:00:00,0.08,0.09,0.11109999999999999,2020-02-11,16:00:00,aft
2019-10-30 16:00:00,0.05,-0.09,-2.7308,2019-10-30,16:00:00,aft
2019-07-31 16:00:00,0.13,-0.03,-1.2326000000000001,2019-07-31,16:00:00,aft
2019-05-01 16:00:00,0.13,0.13,0.0317,2019-05-01,16:00:00,aft
2019-02-13 16:00:00,0.21,1.73,7.1604,2019-02-13,16:00:00,aft
2018-10-31 08:00:00,0.11,0.21,0.9091,2018-10-31,08:00:00,bef
2018-08-02 08:00:00,0.15,0.19,0.2338,2018-08-02,08:00:00,bef
2018-05-03 08:00:00,0.15,0.08,-0.4595,2018-05-03,08:00:00,bef
2018-02-13 08:00:00,0.17,-0.13,-1.7691999999999999,2018-02-13,08:00:00,bef
2017-11-02 08:00:00,0.15,-0.02,-1.1333,2017-11-02,08:00:00,bef
2017-08-01 08:00:00,0.16,0.04,-0.7452,2017-08-01,08:00:00,bef
2017-05-02 09:00:00,0.31,0.97,2.119,2017-05-02,09:00:00,bef
