Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 07:00:00,0.64,0.64,-0.0062,2022-08-02,07:00:00,bef
2022-05-03 07:00:00,1.12,1.33,0.1875,2022-05-03,07:00:00,bef
2022-02-24 07:00:00,0.67,0.69,0.0376,2022-02-24,07:00:00,bef
2021-11-02 07:00:00,0.92,0.98,0.0618,2021-11-02,07:00:00,bef
2021-08-03 07:00:00,0.7,0.7,-0.0043,2021-08-03,07:00:00,bef
2021-05-05 07:00:00,1.12,1.28,0.1449,2021-05-05,07:00:00,bef
2021-02-26 09:00:00,0.65,0.65,0.0015,2021-02-26,09:00:00,bef
2020-10-30 07:00:00,0.97,0.96,-0.0123,2020-10-30,07:00:00,bef
2020-07-31 07:00:00,0.6,0.79,0.31010000000000004,2020-07-31,07:00:00,bef
2020-05-04 07:00:00,1.01,1.03,0.0148,2020-05-04,07:00:00,bef
2020-02-26 07:00:00,0.62,0.64,0.04070000000000001,2020-02-26,07:00:00,bef
2019-10-31 07:00:00,0.96,0.98,0.025099999999999997,2019-10-31,07:00:00,bef
2019-07-30 07:00:00,0.6,0.58,-0.0349,2019-07-30,07:00:00,bef
2019-05-02 07:00:00,1.0,1.08,0.08320000000000001,2019-05-02,07:00:00,bef
2019-02-27 07:00:00,0.55,0.56,0.0256,2019-02-27,07:00:00,bef
2018-10-30 07:00:00,0.91,0.95,0.044000000000000004,2018-10-30,07:00:00,bef
2018-08-01 07:00:00,0.63,0.64,0.012700000000000001,2018-08-01,07:00:00,bef
2018-04-30 07:00:00,0.99,0.97,-0.0222,2018-04-30,07:00:00,bef
2018-02-23 07:00:00,0.56,0.57,0.0124,2018-02-23,07:00:00,bef
2017-10-31 07:00:00,0.84,0.82,-0.0191,2017-10-31,07:00:00,bef
2017-07-28 07:00:00,0.58,0.62,0.0653,2017-07-28,07:00:00,bef
2017-04-28 07:00:00,0.85,0.92,0.0849,2017-04-28,07:00:00,bef
2017-02-24 07:00:00,0.53,0.54,0.026600000000000002,2017-02-24,07:00:00,bef
2016-10-31 07:00:00,0.83,0.88,0.059000000000000004,2016-10-31,07:00:00,bef
2016-07-29 07:00:00,0.58,0.57,-0.0223,2016-07-29,07:00:00,bef
2016-04-29 07:00:00,0.88,0.91,0.0317,2016-04-29,07:00:00,bef
2016-02-19 07:00:00,0.5,0.5,0.004,2016-02-19,07:00:00,bef
2015-10-30 07:00:00,0.81,0.8,-0.013600000000000001,2015-10-30,07:00:00,bef
2015-07-31 07:00:00,0.54,0.57,0.0497,2015-07-31,07:00:00,bef
2015-05-01 07:00:00,0.95,1.04,0.09240000000000001,2015-05-01,07:00:00,bef
2015-02-20 07:00:00,0.46,0.49,0.058300000000000005,2015-02-20,07:00:00,bef
2014-10-30 07:00:00,0.74,0.77,0.0391,2014-10-30,07:00:00,bef
2014-07-30 04:00:00,0.51,0.49,-0.0404,2014-07-30,04:00:00,bef
2014-05-01 04:00:00,0.97,1.01,0.044000000000000004,2014-05-01,04:00:00,bef
2014-02-20 05:00:00,0.45,0.49,0.09,2014-02-20,05:00:00,bef
2013-10-30 04:00:00,0.76,0.76,0.0036,2013-10-30,04:00:00,bef
2013-07-30 04:00:00,0.45,0.48,0.0591,2013-07-30,04:00:00,bef
2013-04-30 04:00:00,0.74,0.85,0.1446,2013-04-30,04:00:00,bef
2013-02-21 05:00:00,0.39,0.41,0.062000000000000006,2013-02-21,05:00:00,bef
2012-11-01 04:00:00,0.72,0.75,0.0466,2012-11-01,04:00:00,bef
2012-07-31 04:00:00,0.45,0.43,-0.038700000000000005,2012-07-31,04:00:00,bef
2012-05-02 04:00:00,0.67,0.85,0.27190000000000003,2012-05-02,04:00:00,bef
2012-02-23 05:00:00,0.48,0.47,-0.0129,2012-02-23,05:00:00,bef
2011-11-01 04:00:00,0.81,0.83,0.0246,2011-11-01,04:00:00,bef
2011-08-03 04:00:00,0.55,0.59,0.0721,2011-08-03,04:00:00,bef
2011-05-05 04:00:00,0.77,0.85,0.1061,2011-05-05,04:00:00,bef
2011-02-22 05:00:00,0.62,0.6,-0.0358,2011-02-22,05:00:00,bef
2010-10-27 04:00:00,0.96,1.06,0.10869999999999999,2010-10-27,04:00:00,bef
2010-07-30 04:00:00,0.64,0.65,0.0125,2010-07-30,04:00:00,bef
2010-05-05 04:00:00,0.86,0.84,-0.0212,2010-05-05,04:00:00,bef
2010-02-18 05:00:00,0.6,0.62,0.039,2010-02-18,05:00:00,bef
2009-10-28 04:00:00,0.89,0.92,0.035,2009-10-28,04:00:00,bef
2009-07-31 04:00:00,0.62,0.63,0.0085,2009-07-31,04:00:00,bef
2009-05-04 04:00:00,0.8,0.95,0.1821,2009-05-04,04:00:00,bef
2009-02-03 05:00:00,0.53,0.49,-0.0676,2009-02-03,05:00:00,bef
2008-10-31 04:00:00,0.99,0.94,-0.049100000000000005,2008-10-31,04:00:00,bef
2008-08-01 04:00:00,0.6,0.64,0.0637,2008-08-01,04:00:00,bef
2008-05-06 04:00:00,0.75,0.85,0.1277,2008-05-06,04:00:00,bef
2008-02-01 05:00:00,0.91,0.55,-0.4019,2008-02-01,05:00:00,bef
2007-11-01 04:00:00,0.91,1.0,0.1024,2007-11-01,04:00:00,bef
2007-08-01 04:00:00,0.48,0.57,0.18730000000000002,2007-08-01,04:00:00,bef
